,SCTA
12/2018,
01/2019,
02/2019,
03/2019,
04/2019,
05/2019,
06/2019,0.00337534579985043
07/2019,0.010674643397482211
08/2019,0.01657756634271612
09/2019,-0.022666094064112772
10/2019,0.013508878621310406
11/2019,-0.03778170379878991
12/2019,0.005003249687821397
01/2020,-0.033729132972077816
02/2020,-0.03895467844912723
03/2020,0.022881510932578297
04/2020,0.033532888316169754
05/2020,0.030442101338958773
06/2020,0.025792514902173706
07/2020,0.0018457070809729395
08/2020,0.0007855860877660197
09/2020,-0.021426305599955873
10/2020,-0.018385306691456424
11/2020,0.009615613408452418
12/2020,0.010683620181075324
01/2021,-0.004478568363297368
02/2021,0.013648181868610635
03/2021,-0.02029637446736825
04/2021,0.013120634559758105
05/2021,0.0023986934983028763
06/2021,0.005453776987385132
07/2021,0.007357825337401495
08/2021,0.041608046033562884
09/2021,-0.0002049976741327641
10/2021,-0.012988753184292866
11/2021,0.012532786284612475
12/2021,0.004284759901170497
01/2022,0.018871046408057632
02/2022,-0.006575922386556384
03/2022,0.03654179945190113
04/2022,-0.027096489398451704
05/2022,-0.030814473993170974
06/2022,-0.03325424923575938
07/2022,-0.02033487361481061
08/2022,-0.036896148236754134
09/2022,0.04543232595096949
10/2022,0.019000109867206974
11/2022,0.016768232718493103
12/2022,-0.01883670115729913
01/2023,0.020471583540085644
02/2023,0.033017347579841066
03/2023,-0.03799200730434309
04/2023,-0.018422104864708064
05/2023,-0.000891392231322593
06/2023,5.1272312310216527e-05
07/2023,0.0018753585649140684
08/2023,-0.020656389461330776
09/2023,
10/2023,
11/2023,
12/2023,
01/2024,
02/2024,
