Year,PR
01/2018,
02/2018,
03/2018,
04/2018,
05/2018,
06/2018,
07/2018,-1.0454062500000023
08/2018,-0.6846423611111107
09/2018,-0.31005902777777694
10/2018,-0.0511701388888855
11/2018,0.06869097222222337
12/2018,0.33635763888888925
01/2019,0.5138576388888886
02/2019,0.9878576388888884
03/2019,1.16044097222222
04/2019,1.3200243055555538
05/2019,1.3608576388888882
06/2019,-0.963475694444444
07/2019,-0.6041562499999986
08/2019,-0.023809027777774383
09/2019,0.2657743055555567
10/2019,0.8625798611111113
11/2019,1.017024305555554
12/2019,0.9409409722222216
01/2020,1.2076076388888883
02/2020,0.1686909722222225
03/2020,0.5546076388888904
04/2020,0.6758576388888885
05/2020,0.2541909722222244
06/2020,-2.859309027777776
07/2020,-2.712489583333332
08/2020,-1.807142361111111
09/2020,-1.3333923611111103
10/2020,-0.8232534722222236
11/2020,-0.5179756944444445
12/2020,-0.2198923611111111
01/2021,-0.12322569444444531
02/2021,0.17702430555555626
03/2021,0.5325243055555559
04/2021,1.002940972222223
05/2021,1.5791909722222228
06/2021,-1.2276423611111111
07/2021,-1.1129062499999978
08/2021,-0.6813090277777768
09/2021,-0.5454756944444427
10/2021,-0.42867013888888855
11/2021,-0.47880902777777784
12/2021,-0.6111423611111105
01/2022,-1.3240590277777762
02/2022,-1.652975694444443
03/2022,-2.958309027777777
04/2022,-4.227059027777778
05/2022,-5.317475694444447
06/2022,4.73819097222222
07/2022,4.636260416666666
08/2022,3.7470243055555543
09/2022,2.5978576388888883
10/2022,1.5879965277777754
11/2022,0.5170243055555575
12/2022,0.1596909722222234
01/2023,0.3317743055555574
02/2023,0.9253576388888884
03/2023,1.3166909722222235
04/2023,1.8341909722222254
05/2023,2.729190972222224
06/2023,0.9181909722222237
07/2023,1.5658437499999995
08/2023,0.17702430555555393
09/2023,0.05244097222222022
10/2023,-0.4203368055555539
11/2023,
12/2023,
01/2024,
02/2024,
03/2024,
04/2024,
