,NIA
01/2019,0.0342196056066783
02/2019,0.0421063256603121
04/2019,-0.0220287275520686
05/2019,-0.0347922503956404
06/2019,0.0314973633845051
07/2019,0.0992895130026163
08/2019,-0.0492690462169732
10/2019,-0.0358093260132557
11/2019,0.0740100152190977
12/2019,0.0884390169128468
01/2020,-0.0645454959167873
02/2020,-0.0941037961243227
03/2020,0.204584159522894
04/2020,-0.0931893723379465
05/2020,-0.0807596000956104
06/2020,0.0522821096617188
07/2020,-0.0089651901250561
09/2020,0.0129546168534657
10/2020,0.0145395549896499
11/2020,-0.0134377120156899
01/2021,-0.1261970482034843
02/2021,0.03497109964303
03/2021,0.1810746309366557
04/2021,-0.106030883491458
05/2021,-0.1392020355752899
07/2021,0.1307972586145328
08/2021,-0.0563989299239548
09/2021,-0.0271577747192861
10/2021,-0.0355496048119323
11/2021,0.1483513085179234
01/2022,-0.0304330820770881
02/2022,-0.0325660318478854
05/2022,-0.0512212324198347
06/2022,-0.0054657195428726
07/2022,-0.0577538216698206
08/2022,-0.0436106971420482
09/2022,0.2179888116126989
10/2022,-0.057498830804719
11/2022,-0.0135456344988616
12/2022,0.0315125243167091
01/2023,-0.0890229667615686
02/2023,-0.036748547816204
03/2023,0.0823572182037863
04/2023,-0.0329370303544018
05/2023,0.042980517952908
06/2023,0.0273183670015439
07/2023,-0.0223057216328207
08/2023,-0.0347860723433678
10/2023,-0.0857400625688894
01/2024,-0.0292182491442003
02/2024,0.0172930712292047
