,CR
01/2019,0.0227072476469545
02/2019,-0.0162024867930297
04/2019,0.0093903958538743
05/2019,-0.0196898716739961
06/2019,0.0108436456695342
07/2019,0.0400182121571197
08/2019,0.0131815431612167
10/2019,0.0803050102788365
11/2019,0.0393961760555052
12/2019,-0.0549312875297021
01/2020,-0.0083474961792329
02/2020,-0.0141776222148797
03/2020,-0.006245670212182
04/2020,0.0072134114643911
05/2020,0.0615925029445652
06/2020,-0.0698388105322935
07/2020,-0.0072416669578885
09/2020,-0.0160792977441723
10/2020,0.0194751632287979
11/2020,0.0630857662328443
01/2021,-0.055887186041245
02/2021,-0.0544181161298242
03/2021,-0.0298925238809573
04/2021,0.0411290796552654
05/2021,0.0046354119851215
07/2021,0.0212217973598423
08/2021,0.0251395361733817
09/2021,-0.0688379933893403
10/2021,-0.0144656825817941
11/2021,0.0410173609230599
01/2022,0.0128214417633005
02/2022,-0.0984217903390867
05/2022,-0.0630496088372738
06/2022,0.0591400566315734
07/2022,0.0632338888481081
08/2022,-0.0100364725410699
09/2022,-0.0331718818438506
10/2022,0.0029934095296195
11/2022,-0.0315956583076935
12/2022,0.0550032077278426
01/2023,0.0392789791908856
02/2023,-0.0190012559672374
03/2023,-0.0213311322089833
04/2023,-0.0202933479275913
05/2023,-0.0332352675084304
06/2023,-0.0620066688738663
07/2023,0.0757236948229116
08/2023,0.0675522538657773
10/2023,-0.0229193421489597
01/2024,0.0048846124809172
02/2024,0.0067595881779993
