,NIM
01/2019,0.0024580318631558
02/2019,0.0023201486435476
03/2019,-0.0041811124633245
04/2019,-0.0002038395810722
05/2019,0.0009475431537987
09/2019,-0.0008112989886031
10/2019,0.0010366841114711
11/2019,-0.002335917940304
12/2019,0.0002389376591983
03/2020,0.0009985765261864
04/2020,-0.0025282612377821
07/2020,0.0023175355368249
08/2020,6.632680107245686e-05
09/2020,-0.0010614070105845
12/2020,-0.0015125220413325
01/2021,0.0020816622420421
05/2021,0.0018691379200863
06/2021,-0.001009146255188
07/2021,0.0020388883035579
12/2021,0.0045635099943229
01/2022,0.0026795881841022
07/2022,0.0039293195108721
08/2022,-0.0032091653553295
12/2022,0.0012588034247781
04/2023,-0.0014594403320583
06/2023,-0.0025243786939383
07/2023,0.0037052714739203
08/2023,0.0015766959183404
12/2023,0.0026055747679966
01/2024,0.0007285124216972
