,CDR
12/2018,
01/2019,-0.01807776645954462
02/2019,-0.013655678543274541
03/2019,0.03592650401284736
04/2019,-0.0009940033533416548
05/2019,-0.007435534046162928
06/2019,-0.021729452677294314
07/2019,-0.010418148204805133
08/2019,0.016564548021787084
09/2019,0.006390501922241443
10/2019,-0.003727144555902173
11/2019,0.00676866811924115
12/2019,-0.06414473156775025
01/2020,-0.056816659885836174
02/2020,-0.014036545230634911
03/2020,0.03722202169072819
04/2020,-0.026062847221115404
05/2020,-0.03898783239055681
06/2020,-0.009210611339404151
07/2020,-0.00825515236662222
08/2020,0.011524964905211377
09/2020,-0.008174971136285736
10/2020,0.008900767323351877
11/2020,0.00757081355756184
12/2020,-0.061742623321875634
01/2021,-0.0022098528455695154
02/2021,0.014017692145071203
03/2021,-0.011695093285258973
04/2021,0.028256611964543543
05/2021,0.020746188275049038
06/2021,0.009239207363060498
07/2021,0.0020526141760293104
08/2021,0.04614057424671536
09/2021,-0.005094163440271915
10/2021,0.025337850603634138
11/2021,0.012265349068422138
12/2021,-0.06915979299003927
01/2022,0.028851686514361985
02/2022,0.09307396142745916
03/2022,-0.05126739890201992
04/2022,-0.04800915953536533
05/2022,-0.0036766800955407852
06/2022,-0.05768467162736024
07/2022,-0.0408670433414724
08/2022,-0.02856962054581902
09/2022,-0.03633853652629282
10/2022,-0.053205343841044916
11/2022,-0.064301439620851
12/2022,-0.11431112150405875
01/2023,-0.02764062669391687
02/2023,-0.047678031619508565
03/2023,-0.02857699580974704
04/2023,-0.03850688935874125
05/2023,-0.02613306517912617
06/2023,-0.03485321029486832
07/2023,-0.0127904369802877
08/2023,-0.00010407271920453987
09/2023,0.014332405800757897
10/2023,-0.010526648559174068
11/2023,0.0024243632587097608
12/2023,-0.0676462877853784
01/2024,0.005108283721126483
02/2024,-0.012034217922680335
