Bank,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01
a-bank,1201335.02483,83247.9453,154432.44038,281103.76595,383918.82569,486192.82626,589738.64752,706894.02009,862590.26692,984994.9215,1144548.6894099999,1306887.8842799999,1443184.61692,162008.10197999998,334992.72151,408764.81467,537017.89328,675024.71736,813136.02373,971842.8625599999,1131782.02044,1293277.4903199999,1468528.19367,1639754.28306,1821455.28106,199128.79007999998,395788.32535999996,528469.99411,738418.46457,917779.41567,1109302.8055299998,1300867.4611,1534225.26034,1747282.39786,1965016.20059,2209718.66315,2458824.7814,248677.41988,482175.49083,828922.51849,1093023.07249,1366786.7082099998,1615632.93777,1852868.01719,2128214.28543,2360374.65486,2596819.35651,2807262.1212600004,2685867.88749,224253.23502,402501.08005,603319.40437,803924.4394500001,1009598.20959,1222400.92579,1453534.71597,1669244.27038,1928801.8598500001,2180527.5162500003,2444336.95081,2705539.59362,301734.75832,587493.22924
alpari bank,34626.65962,3302.09094,6161.33648,9318.90737,12342.38332,15334.8057,18288.68619,21291.08825,24412.86953,27138.61106,30123.87879,32901.73767,35820.77577,2864.7431,5408.21794,8212.82014,10922.5717,13658.85097,15908.32817,17948.23014,20249.899419999998,22607.17432,24679.73334,26986.77627,29064.858269999997,1259.7648299999998,2386.35604,3851.29031,5407.3792300000005,7117.97081,8685.43094,10721.0329,12904.797990000001,14925.420900000001,16694.286519999998,18186.522660000002,20033.29707,1753.13635,3357.4752399999998,5198.5523,7006.30081,8851.336870000001,10683.74007,12702.40712,14956.88522,17196.406410000003,19508.57647,21667.28324,24095.23193,2595.62962,4933.2640200000005,8127.3641800000005,11006.56418,13884.28528,16663.84229,19500.45226,22059.315720000002,24371.85687,26638.76339,28826.84041,31006.58958,2039.24842,4008.7532499999998
altbank,47742.8483,5313.65493,9064.23137,13033.98783,17124.3007,21409.69486,25234.31551,29116.47076,33269.335230000004,37121.49211,40910.952979999995,44646.82375,49214.91305,5199.01502,8583.32007,11635.370509999999,14458.555199999999,17266.127829999998,20449.26542,24128.69437,28016.60908,32195.857580000004,36742.24011,41098.952320000004,45860.31489,5129.67566,9573.66497,14403.43915,18991.79522,23718.405010000002,28611.09111,34213.27061,39175.64557,44081.271440000004,49437.683769999996,55144.01645,60447.77112,5249.3732199999995,9669.58789,15222.62032,22538.55925,29054.94248,36425.79618,42417.47632,48423.782459999995,54985.32832,62967.32436,72335.67422999999,83439.63207,13679.298299999999,22253.502350000002,31575.43896,39585.45376,48869.23605,58244.17066,68114.38527,77261.80103999999,85551.78366,93499.8499,101781.63011,110460.75689,9089.72119,17022.62915
ap bank,82913.56388,8271.01622,15757.14805,25168.06863,33898.18815,42452.91953,49718.2174,57992.35744,66717.49979,75507.04495,84663.14308,92454.78616,100554.04216,8029.33863,15085.8676,22344.5822,29387.102160000002,36179.237870000004,42839.19925,49881.24337,56824.92442,63792.78909,70079.99220000001,76271.98973,81693.78591,6681.76577,14918.70512,23337.44921,32909.36488,43459.35374,52986.25605,64247.97792,74744.71196,84563.45874999999,95901.05308,105767.22187,115485.46804,9273.08539,17843.61588,26249.23921,34923.31265,43621.00543,50901.64094,58550.099109999996,66069.86692,73087.07479,82251.11688,93309.08182,107940.01501,15970.0004,28833.69861,43929.511419999995,57343.1645,73269.87250000001,89637.08791,106639.53526,124895.44498,140597.89893999998,154360.99139,170917.74174,187392.50830000002,16406.12335,32277.50373
asvio bank,100683.63126,7463.31699,14140.91074,21445.65005,28857.90324,36911.54613,44446.84547,52080.28005,59884.29903,67435.79522,75024.42375,82111.22454,84636.72197,6651.48273,12711.605450000001,18791.94385,24958.43781,31465.592220000002,37307.5122,43913.21945,50597.103279999996,56874.80573,63293.95524,69776.37788,76125.38408999999,6220.96285,12279.73446,20091.038999999997,27993.52404,35053.65963,41847.89316,49081.761790000004,57086.10805,64064.08604000001,72557.22915,81780.06136,92026.88603,10051.053960000001,18946.547290000002,28320.72338,37962.89982,47624.494210000004,60057.57714,70572.66663,79833.78528,89009.20583,98791.77008,108724.82832,119798.50158000001,11398.69723,22953.827690000002,37715.13506,50568.07219,62940.38856,74480.17658,85999.57714,100608.74102,112837.11416,126613.32243,140613.82341,155585.71495000002,15365.11882,28123.339640000002
b concord,77382.0092,7667.34852,14916.70903,21802.48024,28501.33699,34104.51419,39806.6556,45503.71676,53005.17949,58982.381680000006,65316.487519999995,71205.43075,77105.25605,5354.07524,9260.980010000001,13098.83992,16409.50459,20191.4318,21222.561550000002,25716.538490000003,30672.63106,36610.000929999995,43580.0098,48912.27934,55756.41998,8575.723829999999,17124.065049999997,26875.44355,37467.26707,56494.10274,72203.41794,90354.40877000001,109906.83629,134237.36191,157005.60179,172744.73669,187611.33726,15186.33262,31118.39561,51882.62434,76435.86239,97480.44608,112937.27695,124047.37636,142341.42291,161014.74425999998,184368.3946,211397.36932,263538.58916000003,56103.37599,105825.58909,142432.03571,173226.39909,205058.97381,234902.31101,,,,,,,,
b industrialbank,,,,,,,,195834.47053,220762.49513999998,245794.35332,272808.30605,298544.83957999997,334414.55276,25260.7708,46524.52604,69731.34572,95694.96671000001,117017.72176,140407.59229,164272.57051000002,186674.14794000002,207230.49563999998,226446.07162,247075.72032999998,259388.99751000002,21995.41184,42580.28143,66968.12067999999,89084.41371000001,109328.52093,130319.82272,149033.06665,175890.8706,203191.05443000002,228115.21159,248576.92356999998,276106.35393,26464.29878,47199.8168,67687.21891,84935.513,102340.61516,104152.10906999999,103852.01374000001,112570.10271,112936.19565000001,114211.32405,115204.43039,120209.76366,3854.2445500000003,8091.52531,16475.240070000003,27419.35284,42673.20531,57290.94207,73844.62258000001,89007.04024,103868.00846,118489.42138,130374.6592,144025.89109,11521.43827,24936.755940000003
b lviv,75934.30848,9093.06595,16897.84223,24937.12164,33842.92686,43377.68747,52742.28772,63255.12357,74406.75944000001,86603.38455,99933.72327,112908.66692,127044.20336,14383.656630000001,25790.47722,40978.659810000005,55063.1094,69963.288,83937.85443,98795.45881,117151.31202000001,134215.94992,152292.20813,169575.44485,190183.66914999997,18840.236090000002,36516.40827,58743.24545,84620.18064,111189.67938999999,140187.71581999998,165289.26849000002,194590.95055,224456.59789,255988.60202,288352.94709,322628.89186000003,38035.648440000004,71983.73071,103251.00654,138440.37915000002,170797.01804000002,204827.4407,233153.64334,277556.87857,317500.33611,406658.77921999997,447974.14132,496543.72993,,,,,,,,,,,,,,
bank 3/4,79799.99489,8612.53328,15226.85903,22932.48818,30545.40573,38688.61297,45507.181,52959.19724,60095.99959,66976.90157,74425.70984,81889.1579,89229.26221,7785.66243,15054.97558,22362.38953,31175.10554,39846.14689,48652.88826,58274.2852,68802.25816,78792.78417,88968.44153000001,98557.4814,108978.64472000001,10103.29093,19358.74455,28753.8462,37864.21109,46943.657020000006,57287.60512,68899.4931,80070.50119,90270.00108,100052.06559,109203.87415999999,118740.15843,9320.371290000001,17006.55747,24219.45113,31278.227059999997,38885.99028,38250.85687,35246.902570000006,33037.73393,31346.21262,31344.51959,32148.659119999997,30606.769220000002,-1326.04915,-3309.51247,-3937.39516,-994.34912,9810.36644,10548.53061,16305.133479999999,22399.938420000002,28887.61101,36039.90861,43623.637500000004,51138.50696,7669.3743,15099.59629
bank alliance,129240.53982,12189.30483,22431.21638,36030.89506,48189.42067,61184.88764,75509.50306,89858.60679,103332.45921,115164.59852,126038.07641000001,135817.3604,151901.17038,13582.56584,25493.39306,38357.38132,53597.945770000006,68671.64486999999,82783.35674,100369.55875,118404.47912999999,136302.87838,153368.21234000003,172385.93516,188090.64321,19060.40083,35025.68841,51125.381089999995,67024.70942,84461.1211,94427.09974,103859.61773,121959.62369000001,130066.43718999998,141304.66203,152906.05332,164961.56925,12012.76996,24713.31454,31272.37987,35089.411239999994,36491.879140000005,939.9792,-53636.83139,-108631.67371,-161015.80828,-172616.96919,-185106.89081,-161376.4644,30600.02951,52738.31076,107754.29396,141744.04622,176615.41774,221384.53865,263315.84495,285092.33793,292397.70040000003,309857.18353,330572.23241999996,387388.91723,30565.1173,58474.10995
