Bank,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01
a-bank,43452.42434,64201.09329,68945.50389,58588.74038,67573.72861,54929.84538,80721.13682,70323.06902,78773.09156999999,76052.85363,76129.77848,91893.61346,95815.75689,103773.05463,108394.93106999999,117818.49708,138761.86253,169430.21217,168115.77923,190815.26194,209235.4435,249540.54072000002,253569.52955999997,256496.97572000002,293403.86127,350632.25462,387661.11327,374690.72502,380948.35972,442637.97705000004,588861.8071400002,479462.15312000003,510442.40398,671718.60232,589034.75557,756079.52727,746283.03041,836889.7312,594575.21262,700210.6225699999,784070.84691,697823.55835,766865.6638499999,692794.2965699999,981625.52692,1598614.0175,1063441.58595,1262973.0246599999,1513262.92291,1965563.27619,1387970.58737,1237919.50284,1361166.61306,1220934.8039199999,1244044.42385,1102874.06145,1359455.39517,1523101.7899399998,1370905.05235,1378846.95069,1150575.1104599999,1445808.35083,1408790.63417
alpari bank,1533.37726,1572.29934,1650.22802,830.11564,5135.431,881.16207,5259.77315,4843.40969,3119.57812,7076.86701,5832.11792,3644.8025,1761.5470500000001,2890.63735,3316.04217,3547.3011699999997,5486.3351600000005,3315.4404,7189.427839999999,5731.769160000001,7892.76147,9564.49441,4123.55591,6876.95635,5609.27837,5267.181310000001,1794.07548,7862.3877,4437.15941,3917.91781,1195.3242500000001,2583.9349899999997,6487.12435,2781.5582499999996,2926.5000200000004,1309.49299,2423.84471,1586.7121100000002,1363.54573,1303.61941,1241.22241,1098.3486,1560.95561,1759.9147600000001,1675.75507,1589.76162,1564.77059,1470.2275900000002,1471.5757600000002,1504.34747,1495.01196,1494.0195899999999,1489.9824800000001,1481.6191299999998,1481.7689,1492.94986,2050.5587699999996,2035.22947,2024.2132100000001,2055.9744699999997,765.78297,814.97857,0.0
altbank,28996.97584,36829.17201,28535.56028,35977.98307,29414.21018,34337.5404,26355.9645,24394.1437,25061.555689999997,29001.99697,27911.2691,28164.770689999998,16632.612940000003,30018.72136,29232.51068,34381.210770000005,175599.60678,123850.31033,133777.23416999998,311184.17400000006,361477.94346,254338.10561000003,93515.57272,38963.32722,56462.41114999999,68835.71989000001,74430.31748999999,55637.53592,57960.22363,68691.66045,73413.44352,72332.33164,90546.45714,75459.74701,69458.43269,66568.84658999999,73870.77413,117193.72464999999,65670.44285,60044.75549,65204.54833,82197.98138,74673.70338,78437.51043000001,78832.9483,82026.25951999999,113984.41265,76989.40849999999,122544.40884999999,116216.64875000001,108448.43026000001,111697.40676000001,99610.45506,88236.69628999999,85210.12517,97849.84928,83605.48543,73881.88819999999,78235.42014999999,83685.26444,72147.46370000001,91879.80596,93013.82805
ap bank,5769.00234,5771.45755,7697.38983,8389.68506,10130.37952,10406.99876,12364.49844,11715.15709,14892.87042,14886.21578,18298.92755,14350.74327,19957.9355,17761.15883,13899.878729999999,24545.41657,27284.25708,17490.738960000002,21135.35328,16165.87422,14934.12438,20160.18582,20919.32773,22271.643490000002,19347.04334,11724.117619999999,26491.46961,20863.76424,21119.15104,24134.47556,18506.63641,20422.208590000002,25678.480910000002,19832.831710000002,20326.77574,14634.02873,20938.27725,21555.86058,23818.517509999998,19403.809989999998,15187.178020000001,14634.63389,21978.55301,21503.14024,20173.63473,37847.347830000006,23625.104989999996,23543.98002,45215.80443,51800.89078,55178.680510000006,47954.71525,71223.82258000001,59085.09741,55208.43763,58581.62313,50042.233629999995,52290.31744,46592.32481,54339.39237,41686.92555,56470.47474,48822.32177
asvio bank,25261.41834,36299.4172,32342.50842,39307.03958,33129.45918,39743.63713,41743.36609,36751.90094,35950.200639999995,56417.10189,41193.661,34390.734,41264.71261,39699.94696,38630.87978,50794.37104,47103.17817000001,51710.8938,59144.63241,61749.129949999995,51499.9286,62855.54557,58666.13444,43954.644049999995,44010.98845,60298.37483,69581.49692,78644.08102,69593.88261,78286.26518,76486.42619,87361.1525,71994.74985000001,84074.006,74835.38977000001,82587.32488000001,78013.35292,98709.81414,52939.779299999995,51842.448019999996,49693.34634,54992.625140000004,62014.52275,78927.58757999999,67073.19107,73023.15566,85883.01305,69380.34786,60411.083770000005,67859.2851,67127.73955,60076.12657,110513.29219,121342.58740000002,139106.92143,125798.17383999999,136676.99174,155056.30081,142126.46139999997,122798.20546,113023.07278,170739.77643,184130.23281
b concord,198822.13731,194729.58339,186186.15636,192363.58243,194200.01421,201768.99841,151657.81459,128565.55495,140675.80902000002,199289.92909000002,196297.57303,200589.74498,202616.04582,257492.23568,254019.27501,332756.30407,302923.28567,347819.14446999994,267180.28293,328174.92379,344785.03876,404047.10868,421760.53449,377676.83811,376090.59618000005,345046.03749,397853.19904000004,387992.53514999995,392919.83935,373322.57960000006,317098.71223,363207.10608,356904.30968,392279.41466000007,352308.37564,363124.78336999996,338046.91871,366152.34154999995,370525.51525,409441.32060000004,514258.36866,492930.54951,554005.35906,716530.24188,479001.31343,474698.2906,481403.71752,482600.41698,499540.70288,480221.16117,488759.78594000003,229810.93834,197459.17304,207562.94721,224819.29536,,,,,,,,
b industrialbank,,,,,,,,169564.48718,195220.65675,182280.75423000002,153505.07538,136868.85397,166375.43033,167649.92274,173966.34085,195238.38868,159266.73549999998,157069.38471,174361.18176,156686.15923,154362.33135999998,164600.03274000002,156706.39180999997,164627.04554,196109.08012,181544.50731999998,188523.25795000003,168082.71508000002,162599.06777,180115.58374,160914.83087,156023.01671999999,177125.91821,172199.54916,151590.317,170026.23338000002,161993.29644,174713.89087,118622.09193999998,88729.07496000001,90194.28524,70541.50163,58606.53434,58204.93000000001,61645.50193,56775.78912,50282.027830000006,48344.86619000001,42799.38753000001,48852.46051,39897.90267,40426.20381,42812.86547,39868.82963,40411.51362,46287.14819,42226.628489999996,41907.45872,45436.32678,46288.84713,48130.91942,59329.802939999994,74889.09092
b lviv,66405.79837,92186.72775,81245.9151,82374.86932,83425.90006,81435.78042,97285.35873,89794.73026,83267.60316,105502.37997000001,80233.44582,75722.69707,72688.25316000001,98222.70990999999,82695.3222,63332.19095,72653.78730000001,74392.09915000001,97897.00316,103916.82383,104756.65458,113239.22138,96163.28889000001,115564.26101,131742.43555,142959.38562999998,123947.73332,109906.90732,124727.71463999999,120542.71263000001,143521.22788,120519.45029,132443.47741000002,117524.6863,130978.19132999999,123396.81361000001,131530.51879,126189.44673000001,127942.99214999999,183648.15236,153638.61189,131497.4928,129226.14073,140914.24904000002,132413.12274,180418.15315,120938.29405,140450.71664,181910.74910000002,,,,,,,,,,,,,,
bank 3/4,34881.39614,102640.29174,31903.01935,31212.89757,26107.79671,33648.78453,33426.9311,27779.22842,30242.9359,39052.469509999995,41322.63443,27985.186139999998,44686.37778999999,40768.3074,36233.75757,207001.73387,46361.79106,49036.54719,65495.86875999999,66900.95830999999,54079.856270000004,84385.60738999999,68579.22514000001,73672.93929000001,83334.80333,51717.96175999999,69651.07111,62443.692970000004,48073.12251,63910.18454,80051.06127,59825.699049999996,60796.61292,55337.03943,54428.47473,105958.04038,84736.67066999999,79754.64855999999,127972.03389,66274.30108,42224.14595,52894.506,44436.369490000005,67259.78515,55712.43370000001,70269.7922,65152.62224999999,76042.82027000001,43527.47035999999,63615.58459,54233.427930000005,72255.83286,54765.679390000005,45075.81695,59759.67816000001,42333.317780000005,36497.031019999995,54627.65691,51404.41843,60894.75776000001,67250.88276,49007.90393,62035.34329
bank alliance,123225.44108,120737.07427,184042.83199,203724.98376,164723.78926,188404.35241,212153.43159,218035.21191,221097.59459,201733.8697,82506.84658,122827.64388000002,180437.40996999998,187599.96135,251319.25059999997,285134.66966,299859.09226,306874.31584,335790.49931000004,247748.12728000002,370957.13321,413084.86715000006,396570.92271,467570.52876,446174.44901,385618.8804,270716.51843,312848.88092,235278.95136,263705.64928,420453.72430999996,379559.77294,445697.01858000003,437837.9699,485134.11702999996,616516.00297,521482.15366,597445.96102,505907.37771,427082.92991999997,445904.07022,481573.42422,465881.03677999997,556915.6983400001,109882.98405,124781.90036999999,108154.05211,148155.23252,127014.59054,303206.72135,275490.82146,258215.52039,284831.80536999996,240915.98565,190986.94517000002,178543.48661,282232.49418,341783.8048,442509.00695,379526.72741000005,568727.49724,606279.0028,293463.5228
