Bank,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01
a-bank,5787419.47093,5712933.15361,5832911.91655,6240793.21859,6439064.89607,6277371.20503,6439369.27512,6630578.45881,6865653.74589,7053838.20662,7330971.45421,7634746.22962,8203238.354790001,8779968.31421,8947650.15371,8648673.338860001,8477947.462129999,8678346.041860001,8964535.233860001,9264703.75843,9527431.650870001,9959092.45229,10284910.74064,10606792.82652,10878823.26309,11357024.92577,11483969.205759998,11346905.572379999,11627638.96115,11990081.919329999,12381111.752460001,13195177.271399999,13731311.40337,14840883.50926,15381037.546079999,15442960.06738,15951074.99147,15840516.711760001,15964753.49448,16596939.90175,16155725.012579998,16759178.13598,17356999.018549997,18171492.336179998,18801718.330620002,20286333.18697,20377257.70344,21321763.634460002,22072445.27729,23142458.29454,24148182.77273,23927839.74002,24166058.95751,24694745.282449998,25327807.23215,25180112.775640003,25596522.876069997,26496036.525879998,26713793.7458,27628774.864439998,28162092.9646,27366892.84822,28183753.554939996
alpari bank,247781.91513,269288.42259,267631.22961,264360.42526,260296.39681,316769.96137,295404.95623,299715.14522,279125.35014,270195.20774999994,262647.88412,281207.69425000006,244259.26689,314127.34158999997,299154.98370999994,259423.05261999997,281683.1689,309624.87651,253377.37407,247097.83055999997,243168.79249000002,245112.04666,247064.57481000002,304015.90935000003,250521.94997,267973.31428999995,262714.27562,269358.41959,267923.12241999997,250574.23103000002,259203.51219000004,292047.40894,268913.8019,245699.3725,232000.38744,230811.64024,228057.34137,228246.72777,225953.70738,221619.87313,223343.58974,220084.33268,215741.4064,213692.64855999997,219395.91478,213383.52631,211519.62147,208836.06289,212971.38565999997,208979.98313,215778.60278,214066.80916,213978.11117000002,210410.56731,210510.26265,212854.72115,211932.77038,211615.42901999998,210908.99187,205650.66290000002,203799.84078,202845.04164,191846.45545
altbank,688721.82555,607359.71562,665968.48881,696102.27256,679460.35073,708571.57341,637546.52965,748167.73397,746469.64135,615699.81352,695603.12579,697630.62006,1364443.6476999999,915449.31785,966002.34272,1504498.37817,1579878.14281,1492603.8441299999,1730154.63811,1527323.6485799998,1309170.6978,1241898.2586100001,1136970.5152500002,1152312.6008300001,1580217.96019,1036705.7652399999,1043072.14488,874533.03192,934786.0342600001,934208.26327,961085.77333,1005938.55511,988137.09202,1073907.42387,1053548.90625,1146637.17386,1485007.02141,1360902.9007599999,1325135.383,1452352.1376600002,1390936.3528899997,1335934.3625699999,1203599.0197400001,1199973.21179,1160601.54858,1167398.5950500001,1341657.1052700002,1497436.69038,1910234.8079000001,1441905.59508,1622805.58306,1402788.3542199999,1377053.32791,1484247.4209699999,1567007.72528,1566560.5927199998,1369667.6717599998,1448670.2120700001,1383685.6769700001,1462045.8670799998,1622837.12114,1575141.4208299997,1593926.9689899997
ap bank,942932.83813,1001727.30184,1129707.42937,1012793.9936,948145.10805,979926.56584,990601.40934,1077807.31658,1006959.55327,1063401.9935,1150843.11589,1146116.75143,1140583.49236,1377597.83887,1222564.32831,1194218.2578299998,1432088.8662000003,1490607.07177,1499978.58865,1539825.54286,1527686.9985399998,1710838.87814,1604823.58297,1545749.73505,1740514.96045,1788692.4076599998,1726178.9761599998,1952326.41903,1964370.76663,1940977.04526,1998866.40816,2039077.6665200002,2050444.0856299999,2117714.61372,2096056.7947300002,2246710.2267,2244033.46691,2125315.68927,2224790.49463,2132970.4147,2078584.4697699999,1971862.60758,2128399.54804,2120405.99613,2040697.0758800001,2296932.83079,2256078.3679400003,2636640.89442,2776911.09726,3486420.09186,3309879.91033,3768465.70714,4488215.29331,5021498.95716,5535198.85599,5317515.808,4845337.67844,4680553.53012,3752475.35394,3436972.558,4122031.9072399996,3812545.70254,4689533.07396
asvio bank,953455.06029,990766.48619,969082.03708,940083.19873,977660.31136,931206.03825,962403.69501,910356.92571,948813.8793999999,897297.13263,977619.7443899999,1043661.1452899999,1103287.6619000002,1088293.51278,1170875.3351300003,1092517.1646899998,1098352.33881,1101242.78318,1101849.90408,1108809.58832,1139726.88064,1263301.86493,1242494.19624,1199510.64397,1499364.16945,1501017.2682900003,1720453.8116300001,1411018.56811,1291781.6023000001,1376043.53241,1427508.03832,1467513.6566599999,1448127.25721,1491505.22652,1514017.8113199999,1822973.17041,1718346.3514,1859951.30865,1610702.1230799998,1775672.11043,1663584.2977900002,1588156.17753,1569397.74018,1640959.42741,1550694.18922,1602560.5086599998,1679268.8554399998,1615905.55853,1741550.71686,1726425.36918,1739392.80416,1924436.86769,1874754.63172,1885132.4691200003,2132081.98875,2035482.79657,2060231.0600800002,2083207.94062,2635509.2527400004,2402183.54602,2702550.64716,2730007.0472399998,2666192.72094
b concord,1076448.72683,1057193.8638,968420.85753,1065365.62405,1143270.52481,1157322.55391,1319394.29392,1236967.47217,1344165.7994900001,1453398.4503199998,1476627.49035,1619242.13994,2092995.5266899997,1912228.66948,1911293.4868100001,1912616.83257,1839076.08251,2085416.3816999998,2122849.5420500003,2028644.75289,2224491.60561,2341722.9644600004,2606643.2309299996,2511194.72601,2826117.76285,3434149.17021,3520991.3542899997,3380353.3774499996,3938496.8675599997,4911582.28581,4456691.64095,4969572.94058,5092840.136,6655967.14413,4588758.97789,4216337.12692,4209745.18015,4284306.36078,4863627.90235,5613487.53632,5037746.172460001,4738093.06209,4084485.9202199997,4105703.81414,3988806.5528899995,4179867.21622,4038978.6682999996,4889228.38752,5898280.724839999,5598892.59607,5973133.078439999,4680551.19499,4725781.57936,4833312.0378,4668801.611729999,,,,,,,,
b industrialbank,,,,,,,,4497190.69458,4546330.61497,4644919.1479,4618407.70721,4270510.590179999,4247285.652249999,4277544.59356,4287360.26011,4288393.7466899995,4312700.77078,4375511.280540001,4564455.27186,4556377.76085,4487806.71704,4389039.584319999,4395429.73363,4601189.54552,4601073.75315,4544418.4273,4724548.71121,4723526.11799,4588866.22518,4555948.9441100005,5049112.53459,5018513.01264,5013318.81859,5016589.83344,5298035.91897,5692771.132119999,6041398.5517,6004068.8450299995,6401095.16658,5736281.1844999995,5705313.306650001,5563821.2751,5396557.53189,5595895.246660001,5459736.25743,5394116.61713,5343408.70766,4755699.77132,4738438.065750001,4614202.16795,4110436.97309,3796283.96824,3786377.42503,3817615.51755,3827679.99896,3984350.7853800002,3933912.4683700004,3934011.66305,3928285.78361,4001891.31851,4139697.24897,4291142.018759999,4214019.42547
b lviv,2449525.12805,2435089.18759,2487660.57443,2510744.60352,2668508.99469,2723642.71663,2734281.79693,2813256.8796,2890578.15342,2933956.71585,3067739.99413,3096955.33367,3231086.6753499997,3365671.3970400007,3392043.34518,3458206.88914,3379568.86917,3427419.96987,3635052.46606,3916029.38571,4021731.84217,4153644.86707,4165289.84099,4404005.61165,5042892.01337,4943762.963249999,4996333.88401,5086921.51868,4969141.55846,5185057.451640001,5578325.04266,5610536.664220001,5754707.0223199995,6044393.4241700005,6034652.08898,6169930.88937,6638748.11857,6506131.509,6759530.521160001,6511587.96619,6438385.574620001,6526806.60725,6668155.52766,6751392.40638,6978126.233270001,7087828.36397,7461108.65042,7461272.24665,7617356.98843,,,,,,,,,,,,,,
bank 3/4,1045094.58424,945940.8139,1000781.09854,872060.5029,873881.93933,876861.96081,1038036.44867,1066165.5069,1037963.3080000001,943783.1116399999,960423.3459900001,897679.61498,956290.31979,923877.95265,837889.57816,1202832.2699799999,1126766.8291200001,1135103.37439,1277105.52312,1229026.67478,1401314.9170000001,1360914.0753,1351209.79498,1345459.83434,1400792.77974,1433415.78538,1475669.38024,1294999.6363899999,1308975.7871899998,1555836.2151,1660967.60741,1817427.88081,1713079.03658,1640446.64853,1617719.6454,1880882.0305899999,1645861.95415,1578789.5504599998,1693466.33616,1674148.2793599998,1730494.3665,1694174.34789,1714066.92763,1694912.30535,1553013.84312,2158716.5455099996,1573098.26411,1772534.44974,1667324.54498,1609268.75773,1757870.9822200001,1678657.63967,1716202.64095,1728391.69789,1517148.36867,1526501.5250699997,1224122.7656200002,1132937.8535,1374022.54244,1547379.5023,1560987.33209,1519171.73207,1548946.17446
bank alliance,2230771.57934,2411049.12397,2780817.80172,2862325.12739,2825789.55389,2875299.68557,3136572.92801,3311582.47748,2896555.05547,3069185.9885599995,3513895.8817000003,3404616.8118,3608932.30739,3766412.50744,3759085.77588,3939913.78433,3670544.8144900003,3983277.27388,4615716.53421,5149745.238519999,4840016.09257,5379072.580829999,5412668.737199999,6107107.93923,7664343.48599,8834008.15992,7882197.48541,9157909.56821,9303552.262600001,10723647.575499998,11155512.168159999,12487624.02416,12925615.50182,12837330.669499999,12720226.81312,15253437.6749,12004835.40736,11838218.63123,13856247.35053,12669957.239629999,12188871.252539998,12388596.080769999,11568305.33834,11943130.85391,12196883.688480001,11832373.39058,12066784.125689998,12148083.40503,11195715.79772,11160893.82832,11910080.80211,12892089.89848,13900640.11162,13824691.49519,12418742.25778,11972141.48232,12405201.91852,12858305.164360002,13068922.48632,13325150.43246,13716111.33968,13325655.943580002,12872654.513150001
