Bank,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01
a-bank,777367.99054,44261.24625,112711.09966,183051.35582,249801.55425,316312.13094,391417.26448,480671.85123,550161.8028399999,625291.61061,704490.31872,781443.32892,911112.9539999999,62684.43569,145620.16924,238800.43591,331953.41793,428589.23646,530280.67663,622875.38951,719684.48113,840395.88347,942648.57486,1046766.25715,1177473.81563,80312.00262,286477.78517,414490.12871,547666.7291,686028.6861299999,807531.76338,931150.92797,1046671.82376,1042571.62782,1175962.49395,1304791.44645,1494516.71444,122067.1995,272804.58953,427876.09946,538251.2481,655240.51222,779160.6449,927186.42343,1062263.85871,1182165.98827,1300731.9752200001,1421322.3660900001,1587368.86103,119717.31513,275807.05195,418975.50798,582914.16021,787639.8122099999,962340.59215,1134535.3857200001,1337822.38549,1514869.10947,1738657.9164,1966763.26739,2344600.9503800003,195735.13176,411548.69501
alpari bank,41520.76773,5346.74548,10688.81467,16246.33042,22692.22065,28543.5124,35480.61973,41021.13108,47312.21032,51515.56317,55516.31835,60066.526600000005,63905.05058,3623.6208699999997,7336.881090000001,11531.22282,14989.12299,18691.81106,22905.01515,26587.48014,30300.28917,34190.4142,37808.24413,41183.44432,45393.84947,3561.92582,7262.3013900000005,11126.76833,14609.76795,19224.70061,22732.74398,26249.85329,29804.93568,33716.75702999999,37217.31812,40698.0725,44683.11591,3539.98052,7221.72368,9837.232820000001,12436.84586,16325.63044,19152.5514,22148.35805,24733.367860000002,27424.22856,30638.34411,34266.67588,37388.43666000001,2659.42812,5576.625410000001,8366.73011,11347.4383,14281.47035,17092.62123,19825.08875,22510.052359999998,25434.79565,28119.00463,30789.88781,34696.65784,2642.8084400000002,5224.75653
altbank,57506.31321,5170.87025,10950.27141,17231.17638,22820.3044,28995.65392,34904.8877,40513.77724,46977.44043,53402.440740000005,59787.37702,66348.67878999999,75170.81173,7404.23038,13744.31307,22929.557530000002,29753.74927,36898.50783,46003.683379999995,53979.113,61824.66549,69668.34572000001,77662.76121,86175.37944,94503.73947999999,7695.223379999999,15514.82547,23736.447,31697.32377,39228.648499999996,47212.98833,54961.36078,62471.36466,70457.0852,78654.47038000001,87028.48335,96225.56521999999,8835.468560000001,17199.9636,23683.31072,31629.10526,39233.64344,47268.581,55639.895950000006,64272.88922,73191.36439,83166.67635000001,93019.35088,105575.40308999999,9960.08594,23167.2717,34896.7677,46985.02144,59575.13499,70867.81025000001,82632.41412,94545.87121,106892.24122,119775.93862,132892.43339000002,152800.73838999998,13014.741320000001,27320.46809
ap bank,76117.51453,5133.65938,11234.86023,18315.79996,26078.9245,32964.79962,39240.69895,46351.74887,52599.61774,59901.7567,68223.19104,75673.42485000001,95405.38234,6893.64121,15520.484980000001,30400.92258,39481.48042,48503.71089,57243.64731,66438.52424000001,75208.46247999999,84416.99605,94906.00521999999,104284.56647,114136.84351,8606.403139999999,18213.645089999998,29101.325389999998,40644.21176,50642.01525,62530.893749999996,73517.17983000001,82831.7298,93527.53583000001,105127.84723,115879.09913999999,143085.12728,9880.00318,26977.4658,35365.8681,46648.50214,56510.00298999999,72634.95573,83745.70456,94319.59492999999,104524.97517,117222.68757000001,128386.74227000002,144408.66839,10724.90853,22312.10121,34106.66544,49369.31688,62479.44518,75992.09992000001,90665.66065,102714.35922000001,115563.18236,130649.20509,143894.08921,184153.70841000002,13814.58649,28405.025510000003
asvio bank,88537.0743,9328.79241,18420.26198,28134.26938,39914.4601,50375.65603,59421.15354,68625.36507,78427.0643,87835.03498,97987.72166000001,108731.19776,116899.98711,9981.91797,18925.79996,31020.98925,38951.60686,49839.88161,59729.2165,69799.6402,79263.79724,90024.10591,100013.96613,110815.89065999999,123552.00269,9498.03167,20173.15336,32060.32324,42939.3016,53403.80693,64225.0264,74885.70310999999,85665.93513,96759.20927,108032.63817,120017.77769,135605.63853,11356.895,25316.22693,30995.12669,38334.9703,48648.21512,60093.92901,69295.02121,79404.73612,90086.83136000001,100170.92151,113931.15003,132042.49445,13054.06035,24999.62902,38263.813,49694.19262,67351.23637,85883.97146,102283.84669,122104.14895,142109.60108,175555.67223,209364.52863,271723.70992,29637.652240000003,64127.58286
b concord,132418.41556,13345.09167,26317.37892,39495.87763,52140.02294,77400.82039,95823.00876,116659.77723,137402.85269,157012.33321,181574.08745000002,205016.01296000002,232375.04561,29607.2729,57557.82361,86880.21513,120412.85985000001,150825.20272,180093.67537,217811.50538,254609.29008,292617.5379,338965.51598,388401.748,445306.31941,44346.93838,88325.68971,129897.897,185304.69264999998,241787.06699,299507.77073,355223.14632,410040.51172999997,475006.63005000004,531284.60971,586602.13205,649111.0836,64298.61723,129815.95933,218787.63376,263563.97688,321280.03078000003,378476.29358,502400.66138999996,570165.9356,630976.2369799999,700501.48997,768561.24954,861030.32984,84195.59820000001,178435.9578,257414.29317000002,325219.47802,401754.4007,475685.80072,,,,,,,,
b industrialbank,,,,,,,,241570.55823,274638.58387,310257.89960999996,348376.58985,391689.65181,446678.85621,35420.59384,64937.40746,102340.37635,143146.08941000002,177173.29538999998,214171.73930000002,242326.88209,278151.51895999996,309434.96996,338599.53464,383710.38432,436824.87791,34712.14084,72248.67013,107390.50548,162390.05767,193341.51968,223958.2428,251884.99124,281247.93095,313053.79319,342355.87820000004,375414.58142,414091.20703000005,34518.61649,84902.20237,120960.94325,143874.54602,165341.31195,186181.36956999998,209205.59036,238104.11622999999,268486.25351999997,295694.68437000003,321155.24090000003,378769.01364,40078.38508,81547.71849,121734.11596,159288.87375,192243.10051000002,225398.40378,255591.01131,286724.32035999995,319633.33288,347656.72254,379156.22652,539546.76453,29168.24225,76345.55928
b lviv,174265.75146,10555.62438,22109.97804,40021.21089,54261.16049,68997.53822,83680.55597,97839.87468,112156.66947,128318.87404,143918.89115,160555.73742000002,183223.18068000002,15818.37874,32994.61095,50854.951380000006,66757.58558,83272.66738,100204.16506,116624.78233999999,134716.28369,152629.62922,171075.57032,190145.39211,218975.67021,19560.939909999997,40552.35116,62455.986639999996,86837.00493000001,113165.79355,135969.93599,161297.41412,184678.52059,211615.61314,237675.38517,265213.34942,309210.18571,26685.43086,55336.31381,87931.70771,114051.92941,140577.62221,166423.26778,192205.4865,219250.43349,247194.42721,281166.40852,311692.18339,372353.48162000004,,,,,,,,,,,,,,
bank 3/4,305949.2259,36696.22141,72790.62149,80123.40098,87519.19962,125806.89872,160079.80458,185128.48436,208402.26884,231435.56496,265817.73409,285790.97888,307151.27576,19551.40382,32708.065329999998,100747.15548999999,144687.6215,173341.46015,199288.76946,230550.64514,261069.36918999997,282979.52783,309367.5953,331776.52451,359761.55273,10834.42295,23894.765199999998,39296.86225,55873.15796,77663.17081,90001.03330000001,109791.15672,144253.20726000002,160967.39586000002,180860.25295999998,195020.48866,221985.97566,11856.40712,23994.0477,35683.81524,44824.70482,62598.06047,83696.16797000001,115957.20568,126261.66001,142501.97133,164798.59458,191930.99839000002,217195.5897,21895.64816,62241.4736,93603.45683,123612.28452,168611.82692,196330.83758000002,220837.58123,234112.91584,275323.70973,308826.16667,339224.00706000003,365826.37035,14754.17942,35424.099740000005
bank alliance,136634.46052,14142.25585,29331.25582,44624.92621,66618.05564,88793.21604,107848.93983,127295.01006,147597.99178,171962.01257000002,196789.46736,214566.81172,252602.61439,39899.326909999996,67539.9473,90591.20951,114460.00517,140249.5501,174963.56650000002,198442.06263,222381.39193,251590.98367000002,281440.27759,306917.70947999996,341214.18046999996,25039.91729,64482.31207000001,97001.53757,126706.65494000001,158368.04152,192873.39528,227553.56277000002,258716.04575999998,295320.46339,326332.5797,371043.79855,415031.3882,35540.99988,80392.34999999999,115248.96582,139176.70111999998,169728.23136,202655.47588,232877.42872000003,261793.35158999998,311704.25117,349398.93781000003,409260.44222,602713.73164,42906.28152,83424.28709000001,132046.04961000002,169066.61784,218911.34375,268148.50506,318371.54017,389883.36539,456253.3271,520223.59478,590094.0780900001,663503.62549,50886.0891,104389.2234
