,SCTA
01/2019,0.026453902553414562
02/2019,0.026420641780686687
04/2019,0.03674279200034401
05/2019,0.02793908146568885
06/2019,0.031096429042691318
07/2019,0.030460417646622263
08/2019,0.03045070418539171
10/2019,0.030883348394896187
11/2019,0.028344194206963984
12/2019,0.034289132035745205
01/2020,0.028883324072150454
02/2020,0.02915836517700331
03/2020,0.03678827710747929
04/2020,0.03576396514038064
05/2020,0.035069104673501314
06/2020,0.03601929937217447
07/2020,0.03486824128428083
09/2020,0.035478374628028005
10/2020,0.03444963210915896
11/2020,0.03788567490734242
01/2021,0.0360926871856283
02/2021,0.037300672012711186
03/2021,0.03804614367494395
04/2021,0.039739973069268686
05/2021,0.03814095981212952
07/2021,0.03785324831262862
08/2021,0.04081333881975927
09/2021,0.038864326013861146
10/2021,0.03538719396658068
11/2021,0.039094256364815325
01/2022,0.03754840096355829
02/2022,0.032839724133611435
05/2022,0.03394130428231622
06/2022,0.030778543692597148
07/2022,0.028502927335656996
08/2022,0.02994966689205793
09/2022,0.039810175218869794
10/2022,0.03220530006658279
11/2022,0.03307397488906116
12/2022,0.030454213988002403
01/2023,0.03416999609465045
02/2023,0.0340264823480551
03/2023,0.030056174239204387
04/2023,0.028331036585596173
05/2023,0.02993193081160254
06/2023,0.0303483700025203
07/2023,0.02864674015510142
08/2023,0.026835808538766825
10/2023,0.027307090400298436
01/2024,0.033864815682326466
02/2024,0.03032661885246118
