,OE
01/2019,0.002666007356444202
02/2019,0.004271999995341355
04/2019,0.0034753485136735335
05/2019,0.003411365371490918
06/2019,0.003324873843026168
07/2019,0.0033363215448073366
08/2019,0.0033583198549329983
10/2019,0.003534619928122071
11/2019,0.003732644295861137
12/2019,0.005518824554318287
01/2020,0.003112745293047944
02/2020,0.003539431224708898
03/2020,0.0037237626384309325
04/2020,0.0035257348606690456
05/2020,0.003319779985634644
06/2020,0.003783191034784709
07/2020,0.0034741292771607907
09/2020,0.0036524027494823285
10/2020,0.003947708903413131
11/2020,0.003888147310238433
01/2021,0.003134787600196362
02/2021,0.0035165065562429514
03/2021,0.003798987585562816
04/2021,0.0037584708476337786
05/2021,0.003736671796719315
07/2021,0.0036833311050735724
08/2021,0.003623283321113276
09/2021,0.003924986543110579
10/2021,0.00401137569621872
11/2021,0.004096923771304062
01/2022,0.0034834640558961435
02/2022,0.0039628149494869095
05/2022,0.0032749855386785373
06/2022,0.003803960342213373
07/2022,0.0031244032263503733
08/2022,0.0031741739594157337
09/2022,0.003953080848008412
10/2022,0.0037253789450360755
11/2022,0.003550309423760784
12/2022,0.005285007677895068
01/2023,0.003034459544508062
02/2023,0.003362059416970635
03/2023,0.00384050792907092
04/2023,0.003616498473008426
05/2023,0.0035320590055078036
06/2023,0.0036364943187535462
07/2023,0.0033103149753549066
08/2023,0.0033324152870055934
10/2023,0.0034609370268111296
01/2024,0.003004015579068255
02/2024,0.0032169961887231454
