,CDR
01/2019,0.4906747965167448
02/2019,0.482747040864785
04/2019,0.5063702056881586
05/2019,0.5080210025877236
06/2019,0.49104493715649006
07/2019,0.4941630438927929
08/2019,0.49578033444699565
10/2019,0.5008902693353018
11/2019,0.5030486214916612
12/2019,0.4648516842139955
01/2020,0.4372972704885418
02/2020,0.4427994825831871
03/2020,0.4612971046324978
04/2020,0.44099084219528867
05/2020,0.4237127539424395
06/2020,0.42133358142013844
07/2020,0.4157172089215358
09/2020,0.41205717480719567
10/2020,0.4130470131939144
11/2020,0.4159602305511818
01/2021,0.40383910920719296
02/2021,0.40475437531472624
03/2021,0.40160745197220277
04/2021,0.409948914363602
05/2021,0.4202427892531099
07/2021,0.43024270066638803
08/2021,0.4590219494618083
09/2021,0.46183962457206446
10/2021,0.47745591762250145
11/2021,0.4894921193483719
01/2022,0.4855507292198287
02/2022,0.5185731843643149
05/2022,0.44840023589280986
06/2022,0.4221107395024157
07/2022,0.40854009918218254
08/2022,0.3967228202670881
09/2022,0.3845215328909864
10/2022,0.3637983283057343
11/2022,0.34748511841391483
12/2022,0.3121947230328129
01/2023,0.307244026469795
02/2023,0.29524775237045625
03/2023,0.28972568726799236
04/2023,0.27921190893820996
05/2023,0.2754475700042953
06/2023,0.2689199943871202
07/2023,0.26621262272496815
08/2023,0.2716721395954381
10/2023,0.27725638839042643
01/2024,0.26335217857461307
02/2024,0.25889151677087
