,ROA
01/2019,0.007566323951566053
02/2019,0.007581250923632739
04/2019,0.0066141535873175
05/2019,0.008360929820680253
06/2019,0.009011023250090856
07/2019,0.006705731727644476
08/2019,0.009501900096302768
10/2019,0.0060356718224727005
11/2019,0.007563379865306615
12/2019,0.0071720990583397735
01/2020,0.008329806007420702
02/2020,0.00963136702111848
03/2020,0.0074365256237941815
04/2020,0.010376678686056247
05/2020,0.006471945824525017
06/2020,0.006728359918553379
07/2020,0.00752814208917904
09/2020,0.007358648093590762
10/2020,0.0069283086971814265
11/2020,0.007046125149402628
01/2021,0.005987438988983118
02/2021,0.004575026697902998
03/2021,0.006638526370867028
04/2021,0.008430802297439102
05/2021,0.007370106680720618
07/2021,0.009581758400044087
08/2021,0.007465682858583324
09/2021,0.007389575095614209
10/2021,0.0077812067184808605
11/2021,0.008734220679537207
01/2022,0.008479832985549994
02/2022,0.008213949635867402
05/2022,0.010116225413466337
06/2022,0.010396408662587463
07/2022,0.015244559815311106
08/2022,0.014581635276122978
09/2022,0.007826583967734632
10/2022,0.009736228472822451
11/2022,0.010441894209199066
12/2022,0.010391667400339599
01/2023,0.011519881219132277
02/2023,0.006774157463919809
03/2023,0.011396802052802874
04/2023,0.00811339320680271
05/2023,0.008933252738534606
06/2023,0.01026926026560324
07/2023,0.010693648551350986
08/2023,0.009505881847664249
10/2023,0.008944213257919562
01/2024,0.009669816205247598
02/2024,0.007463988767845682
