,TA
01/2019,20.82525621819124
02/2019,20.828852747406724
04/2019,20.82687855133868
05/2019,20.81663259680829
06/2019,20.83871975754966
07/2019,20.825995951036468
08/2019,20.84513673793092
10/2019,20.89431982447786
11/2019,20.907502498311704
12/2019,20.96315660754051
01/2020,20.992735546634492
02/2020,20.995862020916462
03/2020,21.02800853642259
04/2020,21.023387586826033
05/2020,21.039794383726655
06/2020,21.00572265132163
07/2020,21.031997023379947
09/2020,21.053087307241164
10/2020,21.035674410589515
11/2020,21.01573781680833
01/2021,21.030924321288573
02/2021,21.018329336987666
03/2021,21.012322344882545
04/2021,21.024784806166945
05/2021,21.015140519171613
07/2021,21.016209615654386
08/2021,21.00064330237926
09/2021,21.007736216783915
10/2021,21.00946265018801
11/2021,21.028905362085847
01/2022,21.06300124105691
02/2022,21.061156055831994
05/2022,21.02562484866862
06/2022,21.02115506459545
07/2022,21.082392852163288
08/2022,21.08062173453932
09/2022,21.06823564929711
10/2022,21.0760294386683
11/2022,21.098145939830584
12/2022,21.14282191809512
01/2023,21.14686419548742
02/2023,21.171034229467022
03/2023,21.20838792341523
04/2023,21.26101312457685
05/2023,21.27567773004986
06/2023,21.325443348354614
07/2023,21.361830153281925
08/2023,21.39261217456318
10/2023,21.447736538166208
01/2024,21.52653670318774
02/2024,21.53422172002962
