,NIM
01/2019,0.004170118437524675
02/2019,0.004653126687111887
04/2019,0.0037774035467878597
05/2019,0.003913859154938911
06/2019,0.0036729759023937237
07/2019,0.003883386194805865
08/2019,0.0036934880668063838
10/2019,0.0037950835468460327
11/2019,0.003787879993631092
12/2019,0.003608398431453941
01/2020,0.0038801532489406397
02/2020,0.0037221796844664045
03/2020,0.003731499268257818
04/2020,0.003756377484624514
05/2020,0.00372147198642051
06/2020,0.003737985596353982
07/2020,0.003894338743780617
09/2020,0.003644406484033069
10/2020,0.003975022284895417
11/2020,0.00404915253929054
01/2021,0.004405901412201109
02/2021,0.004094685002136965
03/2021,0.004549089520707278
04/2021,0.004553668530283244
05/2021,0.004784946305142477
07/2021,0.0050355574149260176
08/2021,0.0050749951273561305
09/2021,0.0051033138310895496
10/2021,0.0052725185691978
11/2021,0.005341051527844282
01/2022,0.005696969145696871
02/2022,0.005124118740823735
05/2022,0.005264165821273369
06/2022,0.005660220287410872
07/2022,0.005802182341611738
08/2022,0.005718068857622116
09/2022,0.006511557551077927
10/2022,0.006504546136729038
11/2022,0.006686251663768997
12/2022,0.006691332005234706
01/2023,0.006868282249018504
02/2023,0.005833370983783904
03/2023,0.006397299629712746
04/2023,0.006012159692394368
05/2023,0.006341360979540119
06/2023,0.0060988368179480555
07/2023,0.006676144833446368
08/2023,0.006641524858318757
10/2023,0.00639875246717653
01/2024,0.006393070812105346
02/2024,0.0059109827774369225
