,SCTA
01/2019,-0.0025776190198031103
02/2019,-0.0033500450124238773
04/2019,0.006550694756743542
05/2019,-0.002235245969373141
06/2019,0.0007886386915577324
07/2019,4.596027136062955e-05
08/2019,-4.405673998466447e-05
10/2019,0.000275974209660558
11/2019,-0.0022651293019413585
12/2019,0.003777844316276778
01/2020,-0.002073676762875832
02/2020,-0.0028230098650917843
03/2020,0.003501683755165276
04/2020,0.0007208423682052226
05/2020,-0.0009245917656371741
06/2020,-4.823770307284259e-06
07/2020,-0.0010128754190163944
09/2020,0.0002470820246856728
10/2020,-0.0007864813068521742
11/2020,0.0018563086549720498
01/2021,-0.0006788927328079675
02/2021,-0.00046270557296099885
03/2021,-0.0003481691351714042
04/2021,0.001196481424726538
05/2021,-0.0006051656288567492
07/2021,-0.000977560925226141
08/2021,0.0020861740681568652
09/2021,0.000389444413136035
10/2021,-0.002576789966822479
11/2021,0.001916110618126736
01/2022,0.0013526517493118728
02/2022,-0.0021467785452572996
05/2022,0.00045417238632926293
06/2022,-0.0009165575863629184
07/2022,-0.002396694041731519
08/2022,-0.0012631227858298684
09/2022,0.007795583080866947
10/2022,-0.0014616530726588861
11/2022,-0.0011634774147083887
12/2022,-0.0031104827320667
01/2023,0.0012715546029989158
02/2023,0.002277054609669378
03/2023,-0.0007862155383119192
04/2023,-0.0019852749909559514
05/2023,0.0005119916916065982
06/2023,0.0020122054947347492
07/2023,0.0006271529289398198
08/2023,-0.0016324561241372916
10/2023,-0.0020579403170528122
01/2024,0.002912281644495914
02/2024,-0.0015120483146455477
