,CDR
01/2019,-0.001375036210963132
02/2019,-0.010678538214713817
04/2019,0.011207726503927595
05/2019,0.011038910573453298
06/2019,-0.009091059898394205
07/2019,-0.010322227532061412
08/2019,-0.007035641427988237
10/2019,0.0062453783114571615
11/2019,0.01973949510384332
12/2019,-0.001993296563230773
01/2020,-0.017811515955290458
02/2020,-0.00611024095778312
03/2020,0.019516823966414465
04/2020,0.00479790147323339
05/2020,-0.006645408908237227
06/2020,-0.0023898667641946147
07/2020,-0.003470143927275182
09/2020,-0.004287293313865015
10/2020,0.00034431851243010847
11/2020,0.007397619039679448
01/2021,-0.001091421839597706
02/2021,0.00339118013035955
03/2021,-0.0014233576648603474
04/2021,-0.0005601665121013344
05/2021,-0.0008307376991374404
07/2021,-0.005960426675310049
08/2021,0.00870631024828794
09/2021,-0.0011019841246154294
10/2021,-0.0006455608720100647
11/2021,-0.004950114172947717
01/2022,-0.01182236357036165
02/2022,0.032845562118249794
05/2022,-0.016859471852714802
06/2022,-0.009627221840079137
07/2022,0.0010613325478013302
08/2022,0.0027952746001251305
09/2022,0.008102413180889112
10/2022,0.0034596207867256257
11/2022,0.00406430931440821
12/2022,-0.012258332113392278
01/2023,-0.0016012770080948147
02/2023,-0.0008269066792394586
03/2023,0.004282605574237208
04/2023,0.0011684424120139147
05/2023,0.00130865226177862
06/2023,-0.005239818948211794
07/2023,-0.006137499450351025
08/2023,0.00318517745440533
10/2023,0.0112638270749843
01/2024,-0.00014375461353749452
02/2024,-0.0031281316965324213
