,OE
01/2019,-0.0007777928650300743
02/2019,0.0007936601749148416
04/2019,-1.5015268059729095e-05
05/2019,-6.654851212344092e-05
06/2019,-0.0001300621484503742
07/2019,-7.691733289817834e-05
08/2019,-9.63454422395725e-05
10/2019,-5.423144089626922e-05
11/2019,-2.7804329827223022e-05
12/2019,0.0015213547171940263
01/2020,-0.0009560398793720796
02/2020,-0.0004120544623668525
03/2020,-5.580715245578514e-05
04/2020,3.5568192767282316e-05
05/2020,-4.8852986509285556e-05
06/2020,0.0003381431573491801
07/2020,-5.47574798256522e-05
09/2020,-4.2508685591643915e-05
10/2020,0.00018521199352351976
11/2020,0.00018456036509736668
01/2021,-0.0005319276518105697
02/2021,-8.739388472488695e-05
03/2021,0.000207781012241952
04/2021,0.00010896509307760675
05/2021,3.2519811771036626e-05
07/2021,-9.518151501796118e-05
08/2021,-0.00020528372464759682
09/2021,8.187087369990577e-05
10/2021,0.00014858018061318862
11/2021,0.00022280510050925583
01/2022,-0.0003469086514072961
02/2022,0.00023286503515015716
05/2022,-0.00030793289290270654
06/2022,0.0004282969643991403
07/2022,-0.00019936385010160818
08/2022,-0.00027023329000326526
09/2022,0.0003306701197235977
10/2022,-0.00019023595670913723
11/2022,-0.00048305366702094954
12/2022,0.0013378265496750436
01/2023,-0.00081144469871726
02/2023,-0.000291733247562714
03/2023,0.0002913307658941487
04/2023,5.75788448842051e-05
05/2023,-2.4473937183227407e-06
06/2023,0.00011394362207803061
07/2023,-0.0001674404414878706
08/2023,-4.9170432757681976e-05
10/2023,0.0001684102072368964
01/2024,-0.000191439787051544
02/2024,8.725517926014411e-05
