,SIZE
01/2019,0.00017664833191588514
02/2019,0.0043611208550231595
04/2019,0.0016686740681493006
05/2019,-0.010686004908020408
06/2019,0.008423004435787362
07/2019,-0.008532988467408131
08/2019,-0.00500393671876509
10/2019,0.016068676523492087
11/2019,-0.00700627948357635
12/2019,0.0011923649280198845
01/2020,-0.0006939489588901893
02/2020,-0.010813751915115688
03/2020,0.010521373652657928
04/2020,0.004662696101373598
05/2020,0.01632414278626726
06/2020,-0.027604189182824257
07/2020,-0.0038439203623248375
09/2020,0.0190980419517075
10/2020,0.003005747861632102
11/2020,-0.014920637810298842
01/2021,0.003309492875374076
02/2021,-0.005988513744838997
03/2021,-0.007702118685280368
04/2021,0.009834397427425756
05/2021,0.005084513409325808
07/2021,0.01081918880674948
08/2021,-0.004760880712154858
09/2021,-0.0031267198304050225
10/2021,-0.010455069713255938
11/2021,-0.005161214370556166
01/2022,0.020082973016691597
02/2022,0.015382313339838305
05/2022,-0.02345648072457962
06/2022,-0.029102729090357826
07/2022,0.02699149258632616
08/2022,0.015177194150727047
09/2022,-0.007130858463916923
10/2022,-0.010746023399594407
11/2022,-0.005065693550012185
12/2022,0.01823191430991855
01/2023,-0.0036945537567660836
02/2023,-0.011066783423526516
03/2023,-0.0054331109753391615
04/2023,0.015391665820672529
05/2023,-0.005402177498297078
06/2023,0.006403798922548276
07/2023,0.0016601035925418728
08/2023,-0.012268271169414646
10/2023,-0.004286364231358419
01/2024,0.02468935993320187
02/2024,-0.0012654588481133544
