,OE
01/2019,-0.004529608647538208
02/2019,0.004024231536014597
03/2019,-0.004181003333397236
04/2019,0.0033607057399156204
05/2019,0.0013368445939849621
06/2019,0.002396000291392239
07/2019,-0.0006594536104104487
08/2019,-0.0008606407273160713
09/2019,-0.002612199285364214
10/2019,-0.0035726712486644566
11/2019,-0.005974107909260777
12/2019,0.018423920586164405
01/2020,-0.007514687269426341
02/2020,-0.002570853586596082
03/2020,0.00380877234813376
04/2020,-0.0021173649384761475
05/2020,-0.0012070634123782994
06/2020,0.0027421010138939383
07/2020,0.0034884694370092076
08/2020,-0.005398634252545734
09/2020,6.08572541305058e-05
10/2020,-0.0024783545495655687
11/2020,-0.002255267057991922
12/2020,0.013906923778872572
01/2021,-0.008888694708576603
02/2021,-0.003839895143215699
03/2021,0.0021908640333267518
04/2021,0.001471982750130725
05/2021,0.0011855514245021487
06/2021,0.00394047075627927
07/2021,-0.0015103649060509983
08/2021,-0.002984068168911766
09/2021,-0.0005760115678516489
10/2021,-0.006120253069336085
11/2021,-0.003930144285065114
12/2021,0.019251567267198837
01/2022,-0.008780856059195263
02/2022,-0.0013381612501761411
03/2022,0.010031538401047826
04/2022,-0.006107845355888021
05/2022,-0.005738898663992673
06/2022,0.0004306841055834315
07/2022,0.0020056135276682666
08/2022,-0.0027692075328863974
09/2022,0.007457544393922655
10/2022,-0.003725975492286232
11/2022,-0.006447363692748703
12/2022,0.013799719217911982
01/2023,-0.008734443408292686
02/2023,-0.002908793263616337
03/2023,0.0024666610443558334
04/2023,-7.513023269665325e-05
05/2023,0.0016299569876070813
06/2023,0.004147503565565459
07/2023,0.0024563025767220734
08/2023,0.00013984938126871543
09/2023,-0.011505834763537615
10/2023,-0.001933942796385188
11/2023,-0.004166282160631356
12/2023,0.01730809565917868
01/2024,-0.0057972779654208925
02/2024,0.0021618366609746018
