Year,PR
01/2018,
02/2018,
03/2018,
04/2018,
05/2018,
06/2018,
07/2018,0.0537499999999973
08/2018,0.026666666666667282
09/2018,0.300416666666667
10/2018,0.31916666666667126
11/2018,0.26000000000000156
12/2018,0.2183333333333337
01/2019,0.19833333333333414
02/2019,0.21999999999999886
03/2019,0.29583333333333073
04/2019,0.34291666666666387
05/2019,0.09916666666666529
06/2019,0.35875000000000057
07/2019,0.495000000000001
08/2019,0.6875000000000036
09/2019,0.8762500000000006
10/2019,1.232916666666668
11/2019,1.2083333333333321
12/2019,0.8229166666666661
01/2020,0.8920833333333338
02/2020,-0.5991666666666671
03/2020,-0.3099999999999987
04/2020,-0.30125000000000135
05/2020,-1.0074999999999985
06/2020,-1.5370833333333316
07/2020,-1.6133333333333324
08/2020,-1.0958333333333332
09/2020,-0.7229166666666664
10/2020,-0.45291666666666686
11/2020,-0.3266666666666662
12/2020,-0.33791666666666664
01/2021,-0.43874999999999975
02/2021,-0.5908333333333333
03/2021,-0.3320833333333333
04/2021,0.02583333333333293
05/2021,0.3174999999999999
06/2021,0.09458333333333346
07/2021,-0.013749999999998153
08/2021,0.030000000000001137
09/2021,0.06500000000000128
10/2021,-0.058333333333331794
11/2021,-0.28749999999999964
12/2021,-0.7291666666666661
01/2022,-1.6395833333333307
02/2022,-2.4208333333333325
03/2022,-3.822916666666666
04/2022,-5.2041666666666675
05/2022,-6.579166666666669
06/2022,6.060416666666665
07/2022,5.735416666666666
08/2022,4.458333333333332
09/2022,3.208333333333332
10/2022,1.9583333333333321
11/2022,0.7083333333333357
12/2022,0.04166666666666785
01/2023,0.016250000000002984
02/2023,0.15749999999999886
03/2023,0.4520833333333343
04/2023,0.8570833333333354
05/2023,1.4675000000000011
06/2023,2.2404166666666683
07/2023,2.664999999999999
08/2023,0.8883333333333319
09/2023,0.6629166666666642
10/2023,-0.04999999999999716
11/2023,
12/2023,
01/2024,
02/2024,
03/2024,
04/2024,
