Bank,01.02.2019,01.03.2019,01.04.2019,01.05.2019,01.06.2019,01.07.2019,01.08.2019,01.09.2019,01.10.2019,01.11.2019,01.12.2019,01.01.2020,01.02.2020,01.03.2020,01.04.2020,01.05.2020,01.06.2020,01.07.2020,01.08.2020,01.09.2020,01.10.2020,01.11.2020,01.12.2020,01.02.2021,01.03.2021,01.04.2021,01.05.2021,01.06.2021,01.07.2021,01.08.2021,01.09.2021,01.10.2021,01.11.2021,01.12.2021,01.01.2022,01.02.2022,01.03.2022,01.06.2022,01.07.2022,01.08.2022,01.09.2022,01.10.2022,01.11.2022,01.12.2022,01.01.2023,01.02.2023,01.03.2023,01.04.2023,01.05.2023,01.06.2023,01.07.2023,01.08.2023,01.09.2023,01.10.2023,01.11.2023,01.12.2023,01.01.2024,01.02.2024,01.03.2024
otp bank,17933083.69431,18005284.421,18591960.54997,19315494.72101,19707427.08763,19679623.79058,19281291.27154,19396305.35781,19914371.83905,20712099.30901,21122691.13543,19247141.29992,18222622.35197,18391856.74739,20229133.0907,19590682.06862,18349902.37937,18116795.10548,19010321.30106,19297965.3099,20328941.19526,20811378.43922,21772455.11304,21551471.8183,22268645.58301,22253574.72366,23442477.69689,24256737.32252,25804884.69954,26317695.29174,28215915.27338,29094558.24742,30373623.33461,31609392.57988,32850431.92698,35157083.45131,37585823.29027,34115859.01398,33221944.35603,35636768.034210004,34364327.9779,33488556.40684,32720541.47056,32180265.6732,31533572.799470004,29835159.69918,29651808.05996,29300908.57834,27639782.03152,26902761.20074,26796952.72702,26536731.16888,27140189.33742,27104704.81109,27396033.38011,27719115.96209,27545286.18638,27169389.35931,27068174.52155
citibank,5552282.45589,4912750.05122,6103500.88814,6341793.440700001,7160930.70698,5475166.62416,5965674.752069999,5925493.27085,3804750.83867,5067798.70764,6314323.0925900005,5452539.34872,3415221.54698,4197922.16195,4165266.65107,3201396.31697,2978108.70826,1914737.81152,3574534.12897,2953444.35527,2569464.78443,2284468.18394,3150711.28952,1226867.33173,1292923.37717,511803.95842,1066663.14259,1227176.44632,3714808.95902,4048831.64564,4149964.71315,5645967.584679999,4741751.38883,6705603.25312,7722336.67784,7397442.48612,8379460.49114,8478936.49699,8077418.38714,9172303.76291,9337794.45012,9103003.23957,9198896.05827,8505507.63194,7528526.75644,6002907.167169999,5815810.8232,4755525.94433,5090113.32729,4534183.78866,4899195.09739,3904573.98434,3051833.18904,3730209.23532,3323489.44736,2746652.80195,2769054.58262,2794341.94407,3630195.64088
procredit bank,16977561.86222,16822884.37124,17134531.885919996,17219048.00101,17353989.193770003,17342229.78469,16777182.04131,16818414.074160002,16414602.6127,16623759.58502,16676826.91552,16493070.23874,16424238.36953,16386964.02284,18310503.71617,17973200.51291,18342874.97881,18276276.2918,18836954.45662,19016025.70262,19441082.3035,19704014.58517,20074444.9952,19787322.16775,19731463.05166,19934836.90184,20807247.88711,21089407.67463,21888124.22861,21724586.25927,21824537.09908,22280155.16469,22487674.00157,22969295.59576,22990191.62376,23282343.4968,23806097.8198,24903508.61702,24610559.29982,25793536.01688,25065943.96297,24265413.16339,23423274.74499,22965574.26035,22552506.68769,22358909.32061,21826711.97405,21846707.62564,21420030.52184,21502676.07326,21757912.45396,21683580.30633,21316625.05283,20880367.86186,20549320.29652,20658074.91705,20725650.42233,20651193.00812,19967455.58582
sberbank,53433415.89281,50159966.27577,50386030.73924,46672260.83495,47037112.74375,45862393.10494,43998567.39042,44037511.8486,42081923.65074,43591230.2551,42009175.98698,41054161.3709,42523384.8414,41585719.59954,46461699.09619,44654027.80299,44715977.60582,44624414.12012,45723149.38736,45626992.35018,45401106.96088,45133286.38177,44621001.83785,41969755.94162,41587413.51515,41197395.74164,41020060.118,38885689.0355,37706907.0595,32023134.0232,32012636.02511,28409921.58053,29569133.88912,29870796.07154,28454143.20967,29945526.92912,,,,,,,,,,,,,,,,,,,,,,,
bank for investments and savings,45397409.12483,39571361.32811,39950598.59451,39185275.76269,38771168.3837,37904779.66261,36469334.19665,34892110.33049,33568700.75712,34489538.64748,33457355.35089,32991979.34575,34385503.56219,34061473.09301,38215552.66298,36979999.8863,36476698.14946,36423028.48595,37869082.07473,37762402.08786,24711055.78567,24887823.06305,25022894.8021,25036531.50166,24926874.12271,24965573.75721,25006031.26562,24915522.76481,24681117.73442,24572683.95473,24621325.67095,24415420.17961,24318354.93557,22815684.61314,22996384.71807,24133579.36335,,,,,,,,,,,,,,,,,,,,,,,
bank vostok,6528750.431609999,6622099.05747,6714932.3957,7083112.516350001,7097163.79139,7107624.74254,6831990.051160001,6942569.42869,6608187.29282,6951348.69959,6783488.82208,6842335.52397,6475468.82463,6674738.01461,7532983.68255,7338488.77131,6891379.89023,6635319.04702,6880243.46307,6895204.0432,7266306.59239,7280548.559,7461459.96686,7484863.13597,7724031.14075,7972884.6516,8454530.708730001,8369551.56916,8748840.84297,8716774.626729999,9159437.70902,8961919.789210001,9102379.96644,8968514.76732,9270904.41583,9121494.45786,9787988.35585,9309384.52862,8978828.47912,9858450.0471,9894647.36323,9424398.48263,9321846.73275,9113788.21546,9124877.07725,9128078.87011,9072827.89121,8738292.69307,8437958.70623,8133495.20345,8792681.38925,9246782.59987,8956253.8793,8933909.9442,9067242.51399,9333596.61777,9816303.46799,9394692.45282,9830342.15886
bank trust-capital,101543.898,96768.18955,94935.87703000002,95153.28253,95857.71511,90538.25052,87854.68771,85858.80971,84528.44943000001,83769.93034,94073.91277,89491.99801,90180.94994,88424.69525,88341.89653,87403.5342,88483.54465000001,89848.10393,87936.75105,86690.27526,71046.50972,75578.7588,73164.62962,112392.95053,109078.26139,104875.63842,100242.62887,96082.12694,110989.85121,99698.52368,95292.99829,87979.93227,82094.80491,76586.22569,70003.67995,65676.67008,58480.18281,57577.42463,57082.48828,52917.91197,49268.04959,47549.44835,44348.46964,41211.68823,38064.58988,37406.02797,38576.39827,30226.99578,28313.27912,25129.64139,25170.04822,22937.53524,19743.60874,19352.58744,16113.26786,11423.51358,10328.80984,8731.600770000001,6693.93242
ukrainian bank for reconstruction and development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1512.39608,1516.56164,1514.9589,1564.10958,1580.13698,1580.67122,1580.67122,1580.13698,1580.67122,1580.13698,,,,,,,,,,,,,,1371.14657,3.90164
kb financial initiative,21597265.20025,21491129.75061,21523745.46666,21431235.64103,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bank for investments and savings,3205498.36134,3113172.50596,3202144.39174,3134073.7843599995,3111016.51988,3139778.80049,2904441.2889500004,2927401.2116400003,2605052.39004,2634108.87884,2548820.6263500005,2419998.22899,2620385.90974,2600742.48341,3012361.74938,2846974.39935,2870116.47174,2879551.1022,2393016.13036,2078280.70044,2020470.98384,1898992.23233,1830275.11981,1603568.2264,1543001.19476,1724088.9965100002,1749236.01523,1610796.00155,1667949.80716,1628887.19632,1789985.0650399998,1734780.39792,1549207.05404,1391853.16241,1200079.96225,1372849.70385,1281282.71636,1284499.64026,1288597.7058499998,1361994.46879,1344260.43574,1268682.8909,1199660.03663,1264085.43436,1165082.13978,1094743.48768,1121632.01944,1121354.36663,1154254.18655,1136917.13528,1101222.49411,1098392.39186,1065442.3421500002,1041282.94366,1136722.31481,1064375.75075,1187130.16441,1043199.75256,1066506.73197
bank forward,64875.80984,63442.79004,64013.43344,76048.66477999999,76889.84212999999,75157.88196,77425.66468999999,80409.01199,90268.44614,108456.70356,102175.92371,103277.96814,108723.87166,188300.28644,196759.45984,173310.64134,171101.03646,170839.2644,185434.45802,172514.06418,183256.88484,171831.16958,177788.03439,172355.70261,167448.3825,160965.3619,122601.34717,116458.32705,113433.6427,110540.37649,110452.35879,109375.64319,106609.62567,107133.59281,102015.44605,105430.26255,105809.92108,104770.62331,104814.92955,126988.82755,101296.32047,101403.13544,101035.23669,100665.31338,99794.52925,100150.7563,,,,,,,,,,,,,
cb accordbank,571484.70476,579325.14683,590964.9659800001,593583.24247,611199.02502,618970.3761100001,644668.7953400001,673702.71031,682923.5607200001,722814.56591,765260.0063100001,715661.77448,702547.81053,730624.51747,794038.47926,759945.0097599999,781481.85986,788910.25842,856010.58141,857905.40196,864962.52768,858661.25384,834121.50832,780164.62327,788346.41261,736042.46172,727592.3297100001,737556.19005,708323.8766300001,724621.43972,733283.5111,716222.25511,727481.46219,735329.5650800001,744512.14913,737640.70983,761373.35714,737002.07033,807322.49269,943571.03536,938707.19985,892065.7747600001,848354.79932,878736.6660600001,1017861.45546,1046691.53655,1082596.33514,1041985.17926,1046266.86983,1012613.80937,1003936.48445,,,,,,,,
credit europe bank,977766.01345,1023301.04107,995637.17422,856352.41346,871505.4560499999,859702.1219500001,374891.18343,418424.78019,433859.62305,502284.96187,505412.11135,470828.3422,416123.9151,382885.31895,427941.51993,403961.45156,396569.88197,410109.15444,409013.93332,423685.82886,430127.70698,413008.35892,407361.80285,377236.92617,364746.44187,344002.37138,391722.49761,412601.94166,355488.34978,466684.70023,467232.44215,464353.36596,456403.41195,450506.20656,341612.51802,344530.03499,349040.27851,319892.02568,307838.4971,337476.54773999995,328291.97988,321723.74844,303577.81053,300659.55042000004,239476.44277,232828.30426,165137.27722,159968.97186000002,154064.98084,148650.88757999998,141627.37986,135721.07246999998,131256.24147,127443.32411,122162.33941,119169.3631,115780.87367,112241.44879,110079.64704
creditwest bank,1219500.19394,1305290.98951,1352973.37748,1282310.29135,1287744.07152,1264273.5157199998,1224080.64898,1251803.29265,1279241.53312,1329333.1862,1306515.05697,1254224.7381,1236600.34183,1306963.92038,1382886.95072,1337052.15785,1351573.18899,1266601.84372,1258691.58039,1216244.41533,1239290.44215,1260248.54989,1275422.24291,1291449.85367,1235945.98572,1121894.72852,1135567.97286,1189668.2857,1225203.44046,1220828.19518,1207018.87696,1181100.64399,1256273.56649,1344695.66679,1352260.7445,1369751.35418,1425555.96134,1318878.97083,1300116.58894,1411187.42143,1363284.70204,1315714.8797,1224455.66578,1193510.08475,1144101.09723,1127651.49683,1115307.55649,1089652.26098,1086282.30196,1067677.54328,1089096.23607,1088041.39659,1108065.02452,1075349.87125,1068508.06362,1080585.20798,1026374.95211,1011936.97752,1025512.07391
raiffeisen bank,43105458.16459001,42088313.97448999,42856075.18428,44601231.93848,44242631.76302,43349994.33711,42230540.76889999,42743960.60173,41036974.56515,41261538.52693,42457138.23209,43586805.39792,40219780.45356,39260328.977120005,43118662.93103,42200141.19577,41109526.62313,40073118.93359,40459201.23731,40034370.2597,40151987.53694,40608890.21292,42091433.81051,39970098.04236,40294371.01563,42594154.57981,45790508.45938,47504272.36603,49581702.32157,50479433.11661,51986042.55207,54168593.77332,57756273.66382,61181584.30086,62428135.193160005,62752777.60195,65453761.39384,65227006.05148,64507557.54899,68776021.30645,68651488.05461,67553215.61845,66972659.77763,66919644.56285,64642731.52257,64020926.35584,63656421.88762,61957867.66645,57930930.74058,55872451.21734,55014313.92666,54856052.84256,56449039.77422,58321240.20503,59875064.39499,61365572.68597,57743797.6149,56731162.30305,56601621.09295
ukrainian bank for reconstruction and development,422896.21127999993,452067.00101,449373.1025,461361.43843,450868.17826,423145.97601,429059.2343,487638.8337300001,498575.80375,504842.05026,595582.7407999999,511108.49131,545640.46308,579020.14755,509959.24613,568887.69925,528124.66799,547423.05139,566969.14951,564603.628,558164.8426,559398.94035,621237.3973600001,624125.23867,693053.03221,678652.5295000001,675217.80987,704459.59502,762219.9983199999,719689.8022,748114.41984,747050.5319000001,770180.96417,744845.65189,760520.15059,764034.44794,811190.35449,841911.95572,814891.87229,804597.46653,790688.68634,810984.22922,693743.93431,736629.46358,651768.3098,640790.72277,601329.60092,539801.47695,592709.27154,557006.04869,540327.94007,644465.21899,547363.00648,,,,,,
motor-bank,698822.81961,706171.99329,737064.91458,746820.4091800001,764907.2798499999,749466.81064,694250.9045699999,755369.84577,735560.2463,713895.41155,632578.29426,668083.50575,642361.66615,657248.48563,737927.8041599999,650564.20436,579005.87069,526104.29717,562543.21612,570472.9768299999,532660.60919,482142.09072,531609.2286800001,546124.76289,570541.57835,550111.49504,616870.88627,627860.83607,648630.51306,622214.37936,567490.8140499999,569566.71017,678124.63554,685235.60755,686635.33095,615300.36461,694235.29367,690018.28261,708528.63038,736521.4641699999,739091.17041,708129.79632,765264.33373,689425.9411299999,597451.6209099999,621688.33,624831.3752,614153.3793,589326.01859,581875.05532,524685.70143,489929.18331,478853.57571,437537.2577,426587.06263,388267.31381,309025.98182,215745.07487,161912.86724
cb globus,768409.5273899998,820538.8989599999,789756.44159,843370.7719099999,869464.93072,944895.31781,938512.92497,921035.625,861768.4468800001,831806.09103,789326.28315,763384.92482,812492.60992,808150.776,905343.7736,907405.013,1037858.03141,1189613.27978,1203074.42001,1283114.67284,980930.30401,1201288.60785,1320121.76672,1407054.67931,1668921.40701,2029790.32601,1912392.00907,1946851.02552,2008913.67031,1989096.57468,1981470.45634,1889039.45081,1792476.85698,1889327.60465,1214999.39499,1673401.1481,1777774.45386,1292240.84468,1250125.2839300002,1280455.49863,1210289.02128,1194492.65071,1196780.80647,1221730.6653,1074821.21623,1097061.06046,1236790.79462,1142852.12651,1092373.31062,1097460.29628,1254034.30099,1204876.6288,1235632.20809,1210109.95403,1103826.81067,1169983.20606,1091799.93603,1168025.12278,1215093.0521
ap bank,402152.0620900001,431751.69503000006,512273.77625,573961.5822,613825.12274,635275.8495000001,651553.94736,661521.9251000001,628277.8359099999,596486.9698,539646.08598,575508.23333,569427.24643,611658.7048200001,704999.65217,734595.0009100001,744345.87386,773309.42385,810650.8515699999,789837.6338600001,757398.09912,680723.90663,623199.52275,808834.61019,898439.14662,1031295.72809,1152781.30232,1174327.01202,1226697.65022,1282824.83183,1257594.54951,1240729.85972,1220096.71868,1212983.37645,1197465.69987,1179759.95573,1110282.8903,1154529.68232,1162024.85586,1190171.07467,1181099.76106,1113536.66829,1060721.02487,979288.61596,893790.82018,899306.42616,889343.74034,875819.16339,878782.36057,907647.29869,921501.18192,934347.21681,956233.95508,933776.37045,913252.01156,877324.85144,925922.6316,989761.26087,1092826.95656
mib,2533516.82422,2569673.77738,2672485.6354,2606354.19932,2591345.63658,2579011.15407,2540249.0082,2509506.16953,2479686.59015,2518245.81639,2409938.66733,2312468.60715,2323370.38721,2309382.26626,2426602.2578,2284170.81481,2303990.5914,2338377.55873,2314450.42895,2289220.23678,2176710.83347,2151475.65619,2067998.83188,2087196.45078,2017215.16748,2031317.46649,2065956.62401,2097928.11498,2161245.47455,2175567.52928,2195174.14814,2253233.99736,2155699.4005,2230395.69624,2116477.22696,2093735.2149,2167282.71929,2259230.01568,2302219.72574,2137174.19742,2094552.50155,2146419.91348,2134645.57191,2119480.12653,1599088.63434,1629965.8558200002,1693886.67537,1777269.58651,1849815.02917,1852310.98726,1899558.19429,1855937.9901,1827974.96167,1864317.21257,1897870.04996,1944004.11697,1885171.57076,1796123.30355,1799300.12319
cb accordbank,560296.05702,561912.25114,631246.13225,571259.55985,589457.714,829215.32207,637377.93227,619943.63163,692033.15418,713573.10884,712219.6969999999,687306.42024,618713.40453,631811.78424,706175.69302,698347.74717,732122.8202000001,919454.24494,840661.12473,1308258.84347,1549866.68892,1695459.9016,1339077.93682,1785629.5435,1878686.75966,1816061.8917,1527232.26687,1612034.0868000002,1610593.4831,1504590.48272,1473626.57661,1656956.64616,1648817.5623,1540985.75206,1524144.50348,1665891.60493,1679663.46008,1426195.51688,1424689.93629,1621093.58457,1565427.5676,1527969.78049,1480674.14758,1468913.92677,1445671.75801,1395832.34451,1408827.27931,1383635.92618,1196001.20006,1109676.79369,1127992.31373,1152626.01387,1201861.67752,1166959.02659,1109446.25716,1001795.28586,1080213.66038,1012892.98951,990956.4297
bank 3/4,144987.35458,139232.81967,134563.27296,132997.22469,133559.3028,127172.61024,125279.78968,123895.14493,126023.85936,127274.74054,130066.32339,130961.96894,130182.44896,123917.03416,121112.05806,121729.04275,107973.72842,94297.33328,96264.27785,92524.05869,95519.45146,92833.66597,76109.44339,82161.02065,82205.98837,112236.25639,110340.96493,95707.33234,105427.76732,98716.22121,89819.84008,88184.69244,53990.598150000005,87847.49239,86973.65509,97194.83656,120203.37709,103782.75029,104067.04302,104432.14821,101579.1348,100635.94731,103574.96009,97370.05891,100705.5627,101385.0104,102192.35612,105808.45903,110264.34877,108356.90782,108360.43486,108172.49984,106220.14519,127216.46337,129427.56545,106354.84151,111631.99953,111916.54365,114926.16529
eib,494589.20858,501468.69610000006,525495.8247899999,534302.89615,514193.8209800001,531258.56407,478623.98753,467909.04094,463497.30768,455391.12200999993,424448.25444,463147.41567,473291.44549,475830.63181,495136.85658,495270.17869,490299.01698,493716.57437,504994.74671,509909.18646,507828.87686,520584.29593,483910.65005,485936.53937,486933.12168,479478.94196,481748.09064,490479.78088,472144.166,466332.41055,467470.2559,434672.42773,411537.67687,411536.2723,401173.1891,413987.55759,421884.35084,451470.30068,441479.69923,462895.58756,465665.16891,462137.47515,457863.22251,439293.05021,434043.85236,433495.38843,420886.44243,412873.36002,418440.21877,403352.35945,398212.44852,394866.23926,394683.69509,386068.1801,374420.68296,366690.45238,335859.85355,345401.46871,340868.95035
vernum bank,246124.74262,242689.55645,230282.67118000003,212020.24783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deutsche bank dbu,2037504.57518,1594119.26468,1152906.33558,873471.18518,950435.47434,1075913.36378,1223679.3124900002,1166648.74983,1189918.05106,1200720.17145,1098368.47411,475586.2316,885286.00489,721453.71249,1453913.6509000002,1376147.6559,1622923.24384,805663.70565,203546.7378,222549.4068,216046.9931,122058.60617,486101.59829,421099.39998,840694.4541399999,430153.79722,526018.07033,372216.76634,395397.02452,382274.30464,348988.8959,402021.45411,513687.74334,398942.2870200001,301396.16723,677815.18618,1243931.09949,1394342.39666,1421856.40567,1371394.2637399998,1147563.08559,974308.27547,889366.50373,849036.0361499999,698507.04575,802255.721,833088.90236,993166.61036,1294765.51998,1048145.04785,200097.42681,80038.79452,80034.35713,540427.79562,450169.76139,560206.70535,200211.14069,180059.95108,380124.04147
altbank,168645.89422,155972.11999,168933.24642,176550.77920000002,184075.07231,174126.67734,148098.03241,129705.92987,152438.12712,160003.08798,280497.85007,274724.67314,289150.96214,265900.62722,270438.89165,250828.99838,265292.0765,289657.21144,297261.93392,287794.68624,328568.19556,349050.93715,336921.00497,359002.945,341805.86129000003,349897.89725,341047.29813,344055.37179,460383.40299,395139.00618,378739.87291,416866.71183,413377.02034,327023.73617000005,294278.23893,322041.77574,362958.54261,311394.93137,322539.54849,398048.93063,343915.26094,368092.54689,357577.51018,352347.41724,337364.48573,329887.90309,328861.2533,310350.16446,326923.00121,317777.12405,304923.83982,314776.64441,334825.7173,345815.38201,371928.82504,353070.36688,333843.54485,352768.46292,323936.13321
seb corporate bank,525947.74596,303756.85773,757121.85943,753957.1189700001,1267179.16721,1435753.2090500002,1284217.86196,790255.6094900001,794342.7538300001,795579.36961,482004.6363200001,385929.63806,264140.04999,383546.72532,655217.0048,726980.27396,673706.70031,628776.90554,528628.0170400001,769423.3011,746072.22893,502735.69538,304936.84226,292360.10383000004,682706.12343,299850.1659,383750.53605,538038.16687,175048.1801,157547.71534,378383.64149,391813.54032,652031.0607899999,352954.32366999995,357773.5566,385757.07924,471482.58049,792267.13191,709106.33976,797293.09956,776516.11496,389913.90876,408040.92418,389256.92551,398979.87461,386931.78423,386735.85544,240548.63781,240088.14243,20068.9397,10024.30238,10034.1171,10032.33379,20048.30661,20056.0292,20031.51295,18047.96699,16042.56339,12518.93483
cb privatbank,227541991.74256,226771975.58919,228333143.36906,228478127.40874,228884796.76565,228451210.76491,226576188.89348,227215446.50102,225551466.98293,227614945.50862,226719204.9915,225806215.33845,228008800.30445,227767125.24058,234420833.83301,232363903.61213,232414096.08435,232315250.33278,233945590.68309,234154157.75281,233361064.13214,208195826.70517,187651024.87317,181710870.95094,181785152.67527,180950719.98331,182097676.61116,182153737.41459,182561445.87516,182072637.32169,182616940.44171,181918875.57991,181357934.58679,182576164.55809,182733184.03065,184622740.88469,185379358.41017,193282381.62405,193494753.0107,197259526.48778,197465858.32009,197659306.2887,197348270.84276,198021652.66049,198715650.11867,199349039.70516,198666349.88124,196942528.31298,197648965.45894,198872224.04736,201821079.01242,205178543.09561,207414645.43637,209387438.94257,209004820.1151,209275659.62878,207666673.64983,205757118.94175,204026309.71129
sich bank,462607.79496,455571.39283,463648.23769,459206.4366999999,425499.9918500001,425434.94161,434260.24691,475457.63353,508251.38289,1226954.64743,1346545.61383,768563.33422,736266.2287999999,728561.73844,819600.07954,790213.28337,783010.92333,796573.05628,796482.19775,722060.14483,1438181.63659,1395690.65479,787220.06237,870179.11494,881692.90772,977016.33903,1035688.09247,906555.2914,920203.74208,965139.76663,993642.21539,918559.43011,1114471.82733,1042698.61429,1017831.33935,1113810.15626,1289003.48452,1137538.88353,1155792.39925,1176770.60297,1026913.7335,977868.66872,,,,,,,,,,,,,,,,,
policombank,423205.47891,404607.01925,398031.68022,391161.23494,400623.75559,437095.22174,450489.1102800001,450465.21797,419333.25703,423627.30316,422388.61018,398421.00764,363230.51823,382626.40625,408456.53875,432619.59931,456275.17973,442288.74681,443053.71754,427311.90266,428438.31384,387387.86374,398714.61148,360877.94048,396094.20047,442102.82031,418366.21418,439612.8761,391659.25146,415472.02058,484651.95267,498016.31458,534049.95046,515440.91771,445983.19749,496338.47645,,583919.08357,557691.8775599999,582006.3597200001,591542.2016,582751.67694,572226.19961,554182.80757,503980.56286,458225.39355,446661.52076,470071.18405,472824.69223,463118.37788,454443.86519,451764.26719,470602.29722,452690.21941,458193.49202,477908.34859,470057.38294,435795.69708,418356.16082
alpari bank,18735.2255,23761.989140000005,33873.601070000004,68192.06046,55573.98913,56335.16101,39942.48518999999,45257.62593,39484.78972,39014.2294,35691.09503,31691.00188,19395.37929,16230.17242,17327.78538,17388.6074,18212.61981,17179.90705,36211.89424,35369.35727,37930.87106,33698.03978,28214.70626,29900.754190000003,32365.39586,32864.49518,37742.81648,33984.20156,33220.10632,38048.14536,41432.11106,6298.57356,8324.851330000001,7313.40789,15862.54231,17773.08711,67284.00156,17354.462140000003,12844.00815,12853.87294,12863.73773,12873.28431,12989.91577,12883.99519,12889.48998,12899.35477,12906.59226,12914.80113,12922.67506,12931.73979,12938.75133,12944.21807,12954.08287,16158.35883,16225.2291,16284.86538,16343.16822,16406.754829999998,16464.02129
bank avangard,164468.24172000002,158328.71943,160523.70214,181084.33914,186455.0862,164219.08802,151160.0017,144004.46305999998,118743.51931,124333.62468,122578.43394999998,108791.36951,106106.96676,111566.71889,117977.66319,123777.48729,218933.9037,115233.12638,72430.25578,57952.02907,113167.3245,46081.25152,58415.13174,42397.58504,42977.3389,43432.03682,42014.63193,41459.32069,40988.84909,41098.45701,40010.73366,39581.58082,39715.95921,61186.98338,61354.01096,54338.18261,53323.2258,51901.22594999999,49084.68606,52310.17398,52167.54664,51684.15291,103041.82242,102990.78585,52455.07434,56854.33280999999,56125.7585,56807.43261,57079.53329000001,56542.79161,56896.88287,57055.08707,56810.11464,56140.65334,69838.37585,71198.93792,73210.77364,72217.94192,70836.81745999999
oschadbank,117114610.42904,115347442.65542,119510666.62637,117154229.89376,117554684.41584,117783606.95389,113300086.94129,113678769.63934,110665609.68015,114256650.8931,111064492.13038,109578217.5936,113115796.59656,112030925.11475,124109022.7623,119732939.47128,119170866.54485,93617852.69036,90871313.12366,91233674.34634,78835678.04984,81979013.32801,79597524.60369,77370385.01411,76957019.53528,74781179.28308,73411187.52988,74853386.91991,73860760.78694999,73098525.15073,71943770.41062,61741198.48554,61339801.01484,61353452.54319,59601217.46124,59735807.91272999,62853350.71958,67524560.8677,67496248.21661,75938218.85487999,76559164.66243,78767412.79255,79037165.87405,80270704.97962,81693528.10261,80848614.67182,80630300.19581,80761119.20336,80281288.44924,79820898.48791,80075810.10622,80308484.01853,80768042.01846,81800961.74165,81856765.95428,83994755.47716,87220018.59207,85979416.01218,86536969.3928
tascombank,11660867.49787,11583695.61757,11833817.00889,12047527.16247,12006805.26898,12053631.77546,11938030.852100002,11973264.34756,12038527.11474,12399397.68322,12001279.73081,11155338.94009,11261220.46718,11160994.0793,12659438.08527,12404929.87489,12469618.59352,12159953.11085,13142443.55671,13076229.42564,13498713.69884,13689587.89566,13192696.48967,11022517.94934,10579506.08985,11232915.65706,11641863.95101,11503484.99731,11256970.89472,11987629.59183,12099012.74671,11762350.71473,12402076.13277,12302238.11565,12075015.75167,12443290.96401,12858334.14262,12087348.08093,12146862.69136,12737525.5421,13045426.19379,12519458.63555,12589846.23524,12879637.64875,12333227.53508,12026809.45774,11896642.08828,11890704.16818,12795308.05754,13215039.77382,12795349.82456,13203560.67418,13818286.70867,12844700.44131,12727468.8984,12802448.22945,12966446.40454,12594161.41921,12680273.93433
bank portal,213474.83848,227808.64488,238085.15204,197610.72338,194308.18518,196528.71569,200044.80763,198322.21304,203520.29406,207192.25854,206160.8961,198301.20834,198912.735,215643.06051,207225.41059,227350.96281,231776.36779,231030.93945,203009.45834,209486.52704,202757.42974,209116.28148,218879.7687,188341.66987,189275.05631,182973.43104,178805.87633,176485.98603,173848.0828,186718.25616,190228.88338,196288.42152,208963.99431,213602.25138,206019.75534,193631.98872,185861.57136,187226.89412,189501.74409,194023.15629,199813.82505,200910.85399,202540.0663,206850.23067,199001.96333,200582.38136,200373.46157,205424.22471,181800.45334,179901.96190999998,180767.79333,182511.02989,182190.75811,170585.14436,172949.89113,174857.48501,153434.86689,143635.81785,143095.56363
crystalbank,317607.45542,312957.51119,340727.14844,360362.60911,328627.48917,363980.18984,352219.62623,383960.66255,379819.35414,347240.87871,335935.62251,327932.33791,378919.1987,385209.8871,451220.53567,514224.88706,522371.63083,529516.33559,588229.02374,583828.84558,571430.32468,564505.6233699999,601514.88835,604008.56919,579138.69901,571182.59563,607331.11162,581828.4105,572125.78946,564705.8245,539602.27814,536975.81953,582374.83939,523930.86495,494897.48239,531950.98746,526528.70241,526438.83411,522652.99802,548146.48615,530544.86283,531705.81242,551023.57209,523787.86191,501188.79797,488642.037,473572.96075,481047.25525,484461.29909,531134.16658,533620.9958,552592.76894,601869.82721,563433.5077,566726.55955,594229.59567,590017.6891,575017.8782,564276.74203
bank familny,174.67017,174.57182,173.92779000000002,172.47939,171.62465,120.76449,120.66598,118.77303,2644.89872,2699.97739,5095.99958,9405.03495,6150.980860000001,6780.62758,2544.51223,7117.0703300000005,6959.91227,3388.19999,8048.79044,2211.4247800000003,2426.9934000000003,7747.57414,2803.28452,8849.11321,8080.89697,2283.98246,12328.22153,3103.32808,1976.98865,10356.87264,2459.14211,3120.32021,8538.93324,2516.89523,10807.68738,3735.52413,5531.63667,2685.47165,15217.39001,13560.1058,8061.33154,15466.07805,10839.65633,10653.65971,20579.6579,3754.41532,39462.940180000005,46320.92709,29259.76292,1589.09951,23876.34783,21673.11771,20129.16373,22020.21814,19784.3254,19125.47173,1307.14901,1406.47859,1554.8153
