Bank,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01
ukrainian bank for reconstruction and development,80640.50574,81359.21262,76637.76834000001,70832.56728,62190.59284,67643.85233,67449.84703,69319.91144,99604.78651,143790.88485,141394.53647999998,156754.10819,155588.39319,99107.97479,104589.25753,147503.39608,112180.90856,112976.92651,114200.01069,117258.20755,91035.87437,38701.49821,46193.00492000001,45477.05888,44255.00392,48580.685670000006,49349.6613,63488.79436,77126.76310999999,77978.52047999999,73439.74140999999,64586.60231,50297.642060000006,48667.2474,67902.35678,71771.56563,51836.85759,76573.37786,78504.2654,64632.7131,64509.5414,68078.12726000001,68547.42091999999,68032.57617999999,52194.61,59712.54814,57492.917530000006,56480.51998,56287.42535,58221.95427000001,54920.24233000001,103381.3398,105436.06592,,,,,,
motor-bank,14445.60292,14445.60292,14445.60292,14445.60292,14445.60292,14445.60292,14988.28222,14923.13184,302.648,262.20408,261.50959,202.72198,201.33426,196.20091,323.35013,322.16928,318.4415,308.91,373.52217,276.86705,187.81643,189.89991,199.68733,205.28701,207.69593,210.53502,213.11601,215.78303,218.36402,220.94501,223.69807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16048.55927,15793.85746,15842.97959,15950.80222,16089.4534,21145.43776,21330.42089,43696.90168,38840.05591,39021.44108,39246.43782,32019.38808,32119.43761,32198.53694,32302.84097,32429.07403,32576.20627,32774.281240000004,32997.01185,32814.51913
cb globus,125086.84218,124976.96752,111738.62377,126514.55928,117189.53728,122582.36311,104575.72138,118424.74055,137013.69733,153481.70314,146387.12262,151729.33012,167889.95748,174151.19231,173978.78831,171723.81050999998,173323.27854,177552.29412,178560.11158,179896.95865,172024.00529,169099.91778999998,90931.23609,93333.98405,93618.31379,90987.86394,91497.81444,123700.10641,137861.29793,130479.02435,131550.29997,130079.44963,125195.78086,119931.25057,148436.73481999998,116975.329,140025.10517,142903.44201,271366.93439,212208.45364,172451.74318,174247.69601,172499.54185,175651.46512,169491.69634,169292.79475,173903.26768000002,172511.84559,173345.17716,161393.22989000002,169190.65831,168200.75566,163462.07696,155902.97832,348586.11110000004,388682.16177,357786.48812,395579.76311,406483.43036
ap bank,6146.272290000001,6092.53183,6023.72772,6084.313169999999,6204.68418,6220.77283,6231.590520000001,6405.157869999999,5973.52112,4611.47686,4316.16055,2276.10279,9263.64319,9203.32353,12315.14073,12408.76647,12436.83084,15758.38389,15932.44649,15503.77881,15924.40519,15005.02829,11199.11892,11030.61096,18507.11928,18494.17106,20663.27081,19507.2715,19370.77918,18194.64291,18737.9185,19481.81103,15167.53184,18418.61878,17355.39284,16654.37999,12720.89304,12853.66208,12870.01152,11885.9548,11832.18555,25503.33803,31632.261550000003,35529.0746,40463.43978,40717.61373,40079.09733,40061.40061,63395.96256,67066.45801,68377.73955,67922.2364,77158.84250999999,77146.12445,82266.87743,76908.86348,77315.61305,71638.70273,51775.88449
mib,986365.01012,945094.32006,958398.18791,941523.24871,1046358.51869,1029059.74328,1001916.74545,1014174.57021,985029.69294,1020422.14404,952490.14199,960671.21195,1006531.71821,1001428.81361,1096776.07972,1022949.38272,1028524.8396,1029569.23477,1062591.492,1062729.0228,985727.18336,1039212.18784,1050122.81843,1188969.57388,1123127.35031,1123985.91709,1123525.6477,1132060.64944,1171794.36153,1180088.50549,1163601.23569,1157928.47584,1151181.9133,1181217.78695,1109625.10947,1151996.6638,1178175.67503,1192109.77371,1268862.70095,1057518.05984,1048686.50912,1094103.88602,1169348.38037,1214555.67706,796638.4919499999,804138.67925,807744.84125,819127.91749,807777.65127,802228.93774,790373.38257,772843.28596,781566.43782,874941.76665,870718.48644,875390.4680999999,846932.02301,845849.89943,848849.53071
cb accordbank,10430.44318,10644.96673,13638.54957,4688.03368,28203.36946,34382.82236,51119.96198,39041.81194,39024.89567,69482.81556,70461.82367,61924.82836,42101.52097,56301.33819,75425.99178,54363.94812,44997.70786,23822.98729,34465.95954,52468.10654,57086.461,57040.79131,57558.3574,49806.76347,43188.32794,104545.30091,110088.83517,108591.15934,243958.31778,224200.68188,215873.5099,243251.8531,330640.27181,400657.00425,393651.39041,430282.76033,375394.41804,476726.26877,445216.90252,501238.90319,556756.1083,653051.81058,646165.3414700001,732260.51559,732391.86327,733670.53628,722229.20192,777807.9191299999,664573.02322,587607.3618,577873.97196,576960.00031,576568.15584,576880.88255,579264.82646,506044.75364,511603.93076,445069.43538,445342.83094
bank 3/4,13260.33632,13743.00274,13518.13074,13490.37059,13477.93132,13261.79085,13270.74444,13401.66855,13287.63886,12895.92678,12976.519669999998,12980.52671,13009.32017,12995.16545,12993.44873,13096.84281,13262.51903,13444.92492,12289.2417,12446.56679,12608.22095,12519.05759,12606.46548,10615.91639,10407.67602,10449.26442,10552.35059,10498.30057,10562.64685,10636.346,10511.06484,8510.9986,8522.04957,7027.83373,7036.22571,7114.33762,7179.61446,7485.50116,7602.29764,7721.72783,7839.97981,7453.24977,6782.49069,6888.0007,60846.67441,61461.17446,62158.46643,62929.49757,63073.4084,63176.74282,62963.80468,63032.84743,63089.4256,63139.86721,63187.38831,63228.894250000005,63258.927890000006,63258.927890000006,63258.927890000006
eib,53629.34751,54006.08426,54802.17706,138775.84688,139462.01247,153027.69223999995,92175.38867,81991.03778999999,131658.91422,134069.10728,112665.98666,102013.81861,104990.40332,104958.84838,110190.54121,119745.69552,114574.00214,115286.04925,118423.23392,121571.43399,122244.37719,123096.76169,132413.53275999997,130604.02568,129923.60236,126866.19706,124887.54804,125122.38617,124498.65347,119790.29905,118956.87225,119046.51967,115204.35389,116820.31483,110480.5459,110541.40347,120606.03642,113215.51134,117928.9831,132191.99026000002,131495.32941,131726.39258,130135.93222,140259.90115,139133.84347,139287.62392,138981.87316000002,138274.08605,136676.94291,136150.77541,135562.75936,134182.26266,133799.45731,133254.23467,195310.8001,177380.94492,180430.18843,179171.6571,179582.47314
vernum bank,241473.25432,242253.89331,230282.67118000003,212020.24783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deutsche bank dbu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
altbank,548.4999,548.9205400000001,549.38625,520.95284,485.2523,523.92214,393.31529,454.52377,355.23272000000003,330.85605000000004,422.23267,85.14168,0.0,85.42044,0.0,0.0,118.76567,140.26457,0.0,185.36485,167.26024,813.87789,51.30123,161.42248,616.89822,4199.45373,0.0,3178.46572,3226.54774,3276.23248,7739.38411,8252.04044,8372.340209999998,10209.05931,10259.61702,10310.18496,10392.382409999998,4029.07008,4012.90967,3879.40461,9073.89113,9032.675,9091.68967,9067.84061,9197.61104,9246.53092,9063.57673,33423.94504,33827.22971,33958.98275,33936.74808,33787.57377,34329.65044,34379.79399,34247.87544,34204.52202,34973.54955,35015.72284,34907.02222
seb corporate bank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cb privatbank,217498058.1328,216615261.35459,217569018.96190995,216854207.38397,217137952.75169,216275003.68519,214809604.68293,215286478.7832,213623303.02194,215429609.63236,214090244.77008,213238721.53103,215913741.75022,215344375.39702,221256499.41994,219672414.48143,219948540.40595,219922356.07805,222045273.64242,222022200.20192,220814498.33053,195723962.65562,174531013.27145,168988920.40671,168761785.03693998,166621670.24165,166700629.94297,166687845.71038002,166550588.54946002,166521984.97367,166618047.56274,165614748.10048002,165384664.28005,165859033.06304002,165155621.90535998,165839663.11314002,166095068.34162998,166916948.88,166710251.94508,169747228.10384,170000458.99709,170357227.81028998,170508050.91049,170578608.29969,170160123.94758,170373639.87138,170398329.24675,170417173.66496998,170503015.39839,170657697.7934,170667242.72445,171308675.60075,171379721.4245,171413047.76294,171518220.48255,171524134.72985,172198649.43085,172180164.39236,172314422.32956
sich bank,161109.82776,141100.97481,148166.33941000002,145685.6957,90896.59398,142232.47007,135711.74764000002,128863.02294999998,125963.04871,132384.5598,107067.79312,65082.17494,59670.19882,53120.63879,66277.04461,62369.65474,57204.76677,53320.31252,152622.41270000002,146581.6211,198821.90827,221012.86425,169660.64288,169021.27607,46147.60739,48171.58184,87253.41682000001,86454.76133000001,80331.56872000001,68071.96283,65756.56803,58380.26899,64678.63993,56104.75481,52766.05263,55621.52028,75274.61563,106279.52659,105765.37585,104817.28292,105197.58591,132785.12248000002,,,,,,,,,,,,,,,,,
policombank,160907.33514999997,155931.9859,129623.86678,188848.07937,128282.67865,121672.48065,120544.32004,120756.2299,122549.33761,122066.68773,122469.41613,128348.69272,128423.25426,120428.22042,121774.45846,122499.99916,124256.77622,110747.08309,111606.45666,80121.93066,81542.79711,82487.83072,83140.70938,79453.12418,76129.06552,76377.67869,76522.35874,76190.43642,63487.94803,63235.97918,61829.46129,53003.26874,38096.49444,33289.94973,33246.53056,34009.34682,,34120.54827,38256.07478,37635.43283,37375.95623,48361.92968,37223.94469,37100.90306,43429.29597,45119.50863,42825.40182,42586.17625,34665.34322,34123.31388,33485.13947,35392.62378,35270.08631,36497.86561,74506.41768000001,85245.54652,84084.34304,79409.41275,78866.90929000001
alpari bank,92.49427,2179.24445,2543.6841,2527.7023,2496.947,446.53048,425.63692,404.37292,382.84901,353.91718000000003,361.20246,846.48311,834.88973,823.30535,838.9007600000001,827.00036,815.7976400000001,825.13634,22299.7058,22146.34692,22131.561,19854.53558,19201.89482,19239.12811,22176.17072,22224.93743,22225.74863,22248.27813,22249.08833,21906.82444,22176.18065,724.16207,732.24877,740.01726,748.10396,1140.11623,762.48719,791.76335,794.00815,803.87294,813.73773,823.28431,826.12126,833.99519,839.48998,849.35477,856.59226,864.80113,872.67506,881.73979,888.75133,894.21807,904.08286,4108.35883,4175.2291000000005,4234.86538,4293.16822,4356.75483,4414.021290000001
bank avangard,50512.51553,46776.02449,45290.98384,43761.57002,41435.81888,39863.03978,38288.36847,36428.87131,34788.81289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37944.37658,35396.8163,35997.5038,35998.32505,35978.95668,35998.35345,35978.99664,35998.39408,35998.49004,35940.22385,35998.22463,35978.85463,35995.65248,35976.89787,35996.25983,35996.14653,35977.07136,35996.43625,35976.87947,35996.55951,35994.96752,34444.43575
oschadbank,74645022.75968,71818770.50896001,72858989.0291,71283347.06285,71977547.43603,70719078.78718,69755290.19013,67243938.06154001,63958924.76464,66265656.95128,64230477.0262,62276348.44289,65043051.11193,64269647.70597,72272592.21858,69439286.4521,69773137.89109,45106113.61323,46473812.32084,46522581.85949,36209122.86956,36245160.083,36398600.95186,29692733.880620003,29553639.23043,28938127.76651,28332265.80105,27708148.00052,26341711.23966,26124369.46746,24056492.34988,13713500.39691,13871858.68658,13932570.94027,12847245.01008,13015822.51734,13145491.41728,15111582.72719,18381148.14453,20154887.11476,21120520.2137,23912950.83298,29206500.99137,29648901.88786,29480178.16049,29856767.96455,29503306.02475,31399800.70169,31987996.00893,31628116.38625,31395520.92266,32862262.24443,32854898.48319,32448562.33374,32004788.26377,30402348.9632,31255732.79186,30620973.504800003,30549892.62078
tascombank,1125461.52629,1335721.16721,1541754.5428900002,1586485.38422,1571187.9751199998,1573656.84491,1466361.79297,1358803.18986,1300268.73535,1277609.96936,1257957.41119,846031.87089,874348.11188,1020089.2841,1038270.59125,1038791.02067,1158455.5921,1132744.20662,1216054.9908,1143386.85305,1166513.50843,1162201.25971,1146839.54675,862790.60464,689864.5543900001,468976.9041,336358.34001,343702.08682,378897.42854,381497.4123,370053.64684,346584.79415000003,274789.61798,268182.71545,246783.63033,267885.4235,267271.016,241299.49061,755736.3243,921354.50187,897010.4208399999,1088811.01046,1043118.05951,1050382.58959,2149756.74378,2177607.83064,2185927.17298,1817060.82186,1809042.79126,1797293.81071,1730428.67155,1938640.78241,2150287.28438,2271523.21938,3006117.44418,2880357.56646,2962406.99415,2868266.89381,2847593.67356
bank portal,78306.90067,84951.88464,85563.0848,86665.07199000001,87837.23899999999,89413.3052,66554.42207999999,67713.70021000001,68782.15761,69883.94008,70952.39748,60993.97013,62095.02619,63125.04637,64226.10243,65291.64055,65291.64055,65291.64055,65291.64055,65291.64055,58423.71579,58423.71579,58423.71579,54379.82598,53976.33258,35796.33258,35796.33258,35796.33258,37332.41739,37341.552090000005,37211.87555,36979.98325,41491.7266,41490.89053,40481.49521,40481.49521,40481.49521,40481.49521,40481.49521,79813.48142,81340.07448,81718.02699,82367.87056,82975.03031999999,83603.22752,84254.83548000001,85519.58842,86207.73595,62204.97669,61396.70225,61746.32515,62107.60214,62468.87913,55829.50203,56190.77902,56540.40192,28095.44626,28455.73616,28792.78155
crystalbank,98611.7315,100172.14752,108506.8684,109160.94698,109817.07424,117308.05822,118624.18763,128505.20041,130393.70091,111241.22729,120124.76351,115841.01064,121971.11341,106273.07957,107800.89486,129336.55784,129709.80623,131318.56351,140839.44144999998,142794.02594,138129.11534000002,138765.16673,148148.80658,137138.26413000005,149324.85083,144034.11807,130437.42232,133837.26681,134397.47018,126444.0955,127110.38903,113830.19805,114882.39639,113695.09451,107195.18899,113742.29364,114719.83599,119394.04237,137053.93614,131113.35153,127944.56265,139708.84122,132889.56446999998,128010.30862,111977.87963,112163.78909,144691.40667,174877.42859000002,173210.55994,171923.95725,172436.31536,171926.32343,169836.55683000002,168599.33342,164587.24908,160888.05748999998,127277.87551,125137.28864,123285.74174
bank familny,123.80027,123.80027,123.1336,121.55356,120.66598,120.66598,120.66598,118.77303,118.77303,118.77303,118.77303,118.77303,118.77303,117.02648,117.02648,116.72866,115.04022,114.7424,114.7424,114.7424,114.7424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rws bank,1117.88063,958.61261,1259.05054,944.56517,973.31842,990.49899,1008.25224,1029.0339,1041.76672,8391.235999999999,1414.4916999999998,1091.67357,1108.44406,1122.50963,1140.90307,1157.13628,1173.90307,0.0,0.0,0.0,0.0,4799.44271,57233.68285,52287.15378,52200.94877,51353.06314,52331.22915,67252.52361,50810.374910000006,50562.53476,49872.42521,48515.26356,48416.35118,49886.28569,47827.82154,50592.31252,52296.90979,30058.11369,29883.06846,36761.89713,36903.87976,36560.37193,35475.98216,33497.12525,30034.33209,28813.18095,28260.49785,33008.84791,33767.00759,31116.58424,23707.6368,11066.85461,8918.92452,0.0,90614.24106,97022.35621,98465.31796,96954.60472,98697.91872
kredobank,476328.66615,423757.33857,454058.76393,235337.24357,452801.63071000006,470004.44097,491999.05831,483126.46836,470562.86425,489074.47041,482006.50464,496962.30066,496004.88584,522479.58391,556808.0488,482420.49816,485527.07453,486653.84105,501947.53506,505057.47787,505758.63683,508728.16109,475546.24767,462514.76638,513376.50026,526513.02144,531487.68058,480300.4328,493090.74274,484569.94023,449552.45632,387335.24867,353895.80259,329395.60435000004,336262.93812,428000.11861,424573.12656,881786.75293,978532.55494,1020644.67577,1073763.95073,1083854.31914,1236053.23615,1198790.97792,1303027.09639,1331951.32187,1253246.46983,1316902.41451,1303196.61247,1263055.72541,1169705.38692,1153672.75378,1096323.44389,1032998.58931,990074.85059,986638.59666,881862.7356,847807.40901,798442.2405900001
lviv bank,365351.03761,371750.72263,383840.05303,388856.01873,418631.75355,453782.50419,454421.03798,483269.18238,481702.99494,529331.0997199999,543926.48309,512172.26941,510224.67402,515389.96294,542551.13006,525923.04414,532534.7737,558183.48491,604182.38184,616052.26494,657534.48456,661797.93256,558129.59483,543607.91512,531326.00025,528967.1694499999,566487.80202,487611.35477,457277.10454,481600.21558,461955.4457,379561.27544,369459.6165,293831.11965,208595.33228,194159.61776,241604.38311,205166.5015,217509.88008,249546.07673,255689.00782,299144.55543,284278.74317,391321.95913,310935.6071,409585.59513,414437.21499,400455.96191,421564.68126,412169.49127,433192.30618,413600.25253,412749.30481,404833.91326,484775.91896,505356.66333,501924.7620000001,517184.49081,525296.36946
okci bank,36602.67936,36190.07293,33955.44142,28437.4207,58976.39378,22354.86775,21125.29125,18830.45135,33939.149430000005,32810.97497,58042.7298,52968.0956,55185.90126,56132.22927,57415.28768,56792.74008,56612.32965,60834.45221,61689.02449,60097.39547,60323.785,60692.39367,58455.54265,56580.66484,55863.33563,55783.98848,55820.832460000005,54166.80076,51110.66769,51818.04085,47921.89592,44797.98741,43715.83088,44873.71456,40776.03427,44406.9711,45293.78314,44726.66268,44073.94948,50954.18309,49004.54107,48693.61124,49428.666130000005,47625.473580000005,44259.10676,42002.86866000001,40506.59095,41039.8816,34245.20864,31556.18477,26999.76922,13915.14403,13399.48803,13176.31555,12752.4282,12317.51523,12150.25362,13014.06001,12417.13279
a-bank,26822.42004,27304.279980000003,68164.62708,62953.23732,63266.157170000006,69692.69493,69998.6736,74804.37509,74201.41077,72304.82363,74481.36469,76563.85824,57922.05252,78793.15547,113361.19442,74467.6221,76758.18796,80423.41276,80743.36878,78953.68067,76399.79414,70103.42275,69938.57474,95981.43895,149167.17484,73484.53719,68629.28825,68385.41556000001,70547.30961,75230.95475,78942.33117,82723.77268,85367.48694,84036.22435,87968.72601,86706.01702,92345.09977,89580.0428,125909.76363,162075.37449,185614.84082,349190.99507,435248.53247,432267.98524,410914.35152,412827.25467,405537.46181,400539.94106,396196.29052,385899.7023,382465.2632,373878.94766,375195.79275,366710.06189,371747.58582,357940.64878,356281.20943,354285.87663,352132.93974
sense bank,4122628.5317,3891167.27397,6254225.19107,7802098.15224,6228376.82032,6516149.3855800005,6049262.33549,6132914.02718,2938708.84757,7850319.75369,6702675.44637,5892681.71701,6159280.23772,5656038.53767,6259508.77135,5447199.58627,5466653.20486,5528611.451479999,6092088.68266,6062465.60814,6173359.96325,4433502.88772,4158675.49336,4118634.93786,2039208.75146,1957313.51691,1951953.24522,1942287.71088,1920367.3741,1926607.59332,1954239.60085,1503967.19991,1465889.23983,1508621.00416,1522676.37107,1584490.91744,1527687.01249,3077252.37974,3470441.98723,4685198.24558,4777801.1956400005,5931008.54537,6167880.41532,6278701.64931,8118460.73662,8124942.873559999,7920599.71934,9571248.37546,9358147.58715,8901646.22795,8202445.92261,8434686.37081,10334816.67317,10309912.89156,10779739.61681,10784966.82263,11007214.60861,10730638.99146,10802171.94979
