Bank,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01
ukrgasbank,5396851.58934,4781778.094419999,5359110.34011,5543393.78955,5516329.181430001,5432612.82619,5919544.318039999,5746000.74992,5952053.80979,6467135.82615,5860033.30583,5930281.35365,6036592.90123,5827548.98542,5100248.03335,4906570.48248,4933523.27412,4931869.66731,5290983.31419,5201406.08143,4441794.21786,4519773.73852,4747241.71722,4741762.34472,4855895.76304,5029137.53574,5267341.439809999,6440770.66945,6385397.49046,4797327.61352,4770285.48742,4451246.43357,5152008.86149,4826902.50635,4296255.11092,4330359.84811,4406066.97107,6236273.47073,8368246.89015,9490958.04774,9394073.54995,9733682.39408,13472121.19552,18999699.39233,18544901.74565,18461490.35448,18386262.56043,17130422.44861,17092045.46074,16813900.68629,16855898.66949,18375704.11656,19656613.36552,19552273.70323,20555908.40241,19878511.90349,21049257.16784,20803914.20392,20703148.28257
radabank,259399.42522,261714.20975,229091.26661,219331.51155,213755.32736,243090.3626,212324.30288,247069.17898,235206.85062,208743.72436,209174.6401,227909.44884,221325.09262,300756.72873,349873.60971,243781.89108,306269.15315,312417.66608,341242.15479,206453.4609,382469.84618,212599.68106,262596.85161,223227.65446,378062.57226,149317.83188,127734.63929,124687.10087,122119.5849,116281.30538,112510.90688,94949.33138,100721.33299,76447.03807000001,99734.77647,98833.86138,84912.83812999999,315410.17451,492847.22005,468223.05156,463243.89042,469629.19311,428848.74473,426745.12469,490368.03585,497444.48926,496993.67959,487154.72981,513135.86673,504526.40147,488660.01738,463649.76981,446769.8959,406310.9309,567236.07695,573929.7687,540159.37594,548604.11829,562779.76885
clearing house,444276.0138,445373.58002,446511.92901,452103.2483,453655.57723,439972.59816,440447.44387,441614.58152,442077.35621,443626.28576,444185.42614,445286.0407200001,446809.22802,447692.89366,450898.92939,451365.43187,452419.14085,446653.71367,448319.63229,452326.71499,452824.06768,452296.84039,453187.20395,276632.48502,279204.56105,357678.06212,359952.21858,361518.68312,284750.03859,271169.56722,270940.24182,271553.54852,272456.50794,270726.22239,271488.12848,274621.00461,278380.33742,281799.80183,282952.55603,292031.81146,290591.57089,384368.75942,374539.11171,367419.19894,386750.5138,397590.29123,396847.26276,153510.98111,167345.51431,165134.73778,164761.49988,165792.14528,134244.28414,133247.11495,142305.43544,317591.10848,309718.39691,256745.70142,261275.53403
bank alliance,0.0,0.0,0.0,49843.38813,54951.8366,50062.41903,46666.18194,46454.12387,117713.98708,40574.51839999999,140553.38465999998,96140.14254,96298.81566,95166.08056,97796.13387,32538.49745,32483.73973,35451.00563,34467.904769999994,32340.93266,31008.7527,29137.178760000003,31839.633810000003,18195.06063,19427.29662,68056.95301,145393.08674,146001.40505,129668.52744,62248.33288,56663.9485,87502.59199,92792.34624,156653.66311999998,266873.40076,278924.15069,236044.12387,294710.14932,276045.35382,333664.62994,363405.82041,505273.57253,777605.7796199999,807120.89303,879095.06191,920506.87835,1039983.3954199998,1053529.57916,1033598.83409,1036611.05531,1041042.20254,1017981.40154,1122760.7898,1128277.97903,978372.38177,1127017.98438,1099196.62953,1092518.45608,1504482.42022
first investment bank,171619.87379,171312.14044,275153.8478,275012.27327,275104.33716,274855.09714,274661.87659,274482.99735,266565.41025,264219.76472,209725.28129,152130.15164,227885.40043,227603.76086,227972.36251,227764.19717,218357.03385,224513.41432,159231.68126,159786.22961,117671.68706,115954.10807,75700.65574,75742.4862,75631.51559,75742.04451,78783.91913,78869.15677,78878.98509,78964.22351,79012.67539,79022.50693,3365.37643,3412.10485,3460.39088,3508.67691,3552.2901,3695.59058,3742.319,3790.60503,3838.89106,74216.96034,75220.49442,76194.54727,77199.43489,78204.05788000001,79111.39967,80116.7431,81088.27637,82091.27180999999,83053.5978,84052.88676,85051.33301,94668.38891,89841.68837,34256.32153,11002.59511,11067.54911,11202.08624
ing bank ukraine,1000230.31205,988145.4584,1004783.99209,988581.65251,1005015.66911,994444.63759,926060.67709,939401.54674,916159.06918,933546.53698,913591.97728,878247.3674400001,906560.76862,902172.24245,1007287.67525,972586.31544,976846.55249,976657.30613,1002010.75926,984966.55471,1014135.36193,996467.42521,1002945.0102,991825.31351,989554.07669,981568.64331,983172.78945,362441.98852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732337.51969,905124.80411,905221.56827,866669.32906,867201.1864499999,868822.84953,870717.58279,868336.0004199999,864123.23699,864784.3475599999,860826.73021,861980.5942299999,858018.38569,865223.85459,864666.51621,864829.48198,1883577.01115,2288079.8877,418958.53304,421096.11535,427938.97615
otp bank,2680134.20714,2647082.81806,2432059.66595,2387568.26661,2316865.92247,2252739.21348,2190800.54609,2295593.60158,2502127.91052,2283038.25618,2250547.10385,1888767.82989,1950884.52619,1936712.35021,2162666.70328,2181223.96217,2186998.221,2344312.74509,2399774.05988,2248288.56878,2263448.48177,2733110.975,2186538.60489,1658627.63827,1630737.73164,1625847.20016,1508909.21796,1467740.24544,1420908.88319,1598784.55689,1309112.23455,1118694.53497,1185680.9328,1049440.72572,1127350.89303,1115486.17137,1124460.98234,1321775.21613,2966532.76102,3375652.51234,3473978.27419,3571515.99669,3821802.51928,4373963.65782,4297263.39658,4374659.78405,4629596.573129999,4812500.8217,5303391.383669999,5252000.30952,5269661.79833,5140642.84984,5471104.20438,5184677.80597,5159708.58302,5047172.61917,5226859.94818,5210943.03104,5239763.431059999
citibank,2389.20854,4499.20425,5341.997289999999,3073.00752,4377.5996000000005,8517.96163,10078.5171,7190.941870000001,7374.015230000001,12030.2287,12935.67821,16316.98125,13553.49793,14874.57557,15044.2759,2433.96237,3435.19068,4219.13364,4272.83165,4127.4726,4961.13898,5069.16353,5188.503269999999,5365.941919999999,5787.77299,7000.381689999999,1886.19999,986.46045,1698.87115,11882.40985,18727.81102,19425.63414,631.6438800000001,906.12798,1040.07546,1363.15588,1473.04606,2879.68177,1477030.13038,1819863.82085,1794161.1136899998,1739947.87749,1738780.07995,1738785.58496,1739450.58502,1728827.31757,1673091.96722,1671471.72425,1669279.66487,1664923.12062,1657173.58444,1638856.8679399998,122.27735,43.90792,1626.00219,674.2334,474.09355,7.2764,0.00026
procredit bank,492009.79819,518139.50886,714963.1516,693698.43219,656417.75955,657881.7701,569780.07468,496710.53512,652243.4491500001,651971.42026,698675.85569,656248.79328,665043.82391,658886.95771,723754.88021,663467.65221,665302.11866,670678.131,691421.58326,668157.16763,598666.15424,780330.0255100001,790937.72369,797668.64475,813411.32009,836535.0586,843683.6287,733390.59163,707657.57676,691127.52382,638150.2850800001,687269.6514099999,639648.77286,452254.40064,414648.0237,424524.68585,411647.40434,789394.10352,2257707.31411,2585307.79167,2662512.46977,2948458.1548,2942650.64596,3014714.98588,3052392.74153,3088559.781,3095238.74899,3043189.9158,2980548.00169,2947632.45129,2972300.47186,3029046.04306,2734490.62078,2795203.64705,2672633.8667,2848804.74142,2515377.1294,2548551.05862,2479941.1304
sberbank,42506490.48169,39612727.80927,39863251.45475,36486693.92973,37036725.28233,36153497.15899,34741140.97482,35010650.42192,33349851.99278,34662911.85734,33419360.70716,32651441.70801,33980878.16991,33347291.34291,37338929.46012,35975869.56582,36132563.85846,36161275.25419,37819382.11769,37726023.95927,37627148.9408,37357955.11934,36987502.63049,34677556.59332,34496606.30316,34342257.20838,34294011.40124,32884996.30141,32455800.94521,30583447.09241,30591119.44107,27032578.56007,26842185.38253,25083230.28427,23709032.92359,24545888.1104,,,,,,,,,,,,,,,,,,,,,,,
bank for investments and savings,43529988.02822,37782667.82107,38179802.71787,37482115.51141,37072703.37213,36296216.78173,34956440.33448,33409560.37508,32215596.2261,33107456.4366,32414768.93507,31971644.60835,33343401.21034,33060584.51379,36963388.61099,35822734.01269,35320005.2243,35254827.6449,36609674.72802,37557650.16411,24504747.99013,24724214.8309,24875714.85481,24904123.0633,24833096.91941,24873112.0236,24917279.89444,23805695.25559,23607210.96048,23516322.03093,23594324.18876,23492703.02793,23428087.71453,21939761.55253,22131156.79582,23256663.90124,,,,,,,,,,,,,,,,,,,,,,,
