,ROA
01/2019,0.10253214906540771
02/2019,0.1014629745180529
03/2019,0.10277487410874125
04/2019,0.1008608883030627
05/2019,0.10949349028410219
06/2019,0.1099336895970972
07/2019,0.1074987361844552
08/2019,0.1128169987046498
09/2019,0.1040904359555656
10/2019,0.1069254017007738
11/2019,0.1007076447759574
12/2019,0.1145604296042874
01/2020,0.10603786458212859
02/2020,0.1035227583695906
03/2020,0.1204703100843703
04/2020,0.09524814166511052
05/2020,0.0885790151970634
06/2020,0.09242096893650419
07/2020,0.10146112518945051
08/2020,0.0888431420126665
09/2020,0.0947601957593831
10/2020,0.0898011036385128
11/2020,0.0929234085560049
12/2020,0.0926518643095478
01/2021,0.0816343038344895
02/2021,0.0790128316830232
03/2021,0.10208801496157871
04/2021,0.0991714825316801
05/2021,0.0914572414455942
06/2021,0.09615918549937351
07/2021,0.1055448466698373
08/2021,0.09410308804064901
09/2021,0.0931321818823528
10/2021,0.0949054145704806
11/2021,0.104664691413787
12/2021,0.11340298612379879
01/2022,0.10416069576998939
02/2022,0.0871762875359762
03/2022,0.0923837288558136
04/2022,0.0786171363997011
05/2022,0.1150912324146798
06/2022,0.1349143670853671
07/2022,0.16759837030782107
08/2022,0.12323990928121818
09/2022,0.1171929346279911
10/2022,0.1158867360879795
11/2022,0.1166267931435346
12/2022,0.12236031426439331
01/2023,0.11654606093818821
02/2023,0.0870697709237815
03/2023,0.110491709549852
04/2023,0.0877987170624908
05/2023,0.0921842805649056
06/2023,0.10624142283409851
07/2023,0.1329286226908053
08/2023,0.10198580106201
09/2023,0.09339515092229152
10/2023,0.1045752148028545
11/2023,0.09463207446246291
12/2023,0.09317023925890879
01/2024,0.09756862079885979
02/2024,0.08558986143421039
