,SCTA
01/2019,
02/2019,-0.0012573106240465481
04/2019,0.3906850675823801
05/2019,-0.23960374417308228
06/2019,0.11300828128082685
07/2019,-0.020452875640348922
08/2019,-0.0003188879858178062
10/2019,0.014208019849733189
11/2019,-0.08221758066725138
12/2019,0.2097409361992264
01/2020,-0.15765368332915042
02/2020,0.009522487929915835
03/2020,0.2616714580587489
04/2020,-0.027843434040306203
05/2020,-0.01942906677578493
06/2020,0.027094923224289857
07/2020,-0.03195670398805184
09/2020,0.01749825403503369
10/2020,-0.02899632606214131
11/2020,0.09974105927447563
01/2021,-0.04732627110640719
02/2021,0.03346896341826855
03/2021,0.019985475381750772
04/2021,0.04452039630603122
05/2021,-0.04023689835803235
07/2021,-0.007543373342413839
08/2021,0.07819911471489371
09/2021,-0.04775430930817448
10/2021,-0.08946847672182368
11/2021,0.10475717294046039
01/2022,-0.0395417522930136
02/2022,-0.12540285895308045
05/2022,0.03354413527418565
06/2022,-0.0931832366668045
07/2022,-0.07393515364690684
08/2022,0.050757577962567524
09/2022,0.32923599325328823
10/2022,-0.1910284270409932
11/2022,0.026973039241443786
12/2022,-0.07920913376290806
01/2023,0.12201208371727645
02/2023,-0.004199993064025076
03/2023,-0.11668288447329722
04/2023,-0.057397113813573375
05/2023,0.05650672968388015
06/2023,0.013912874299321087
07/2023,-0.05606989262611417
08/2023,-0.06321597523940636
10/2023,0.01756167923358043
01/2024,0.24014734583206798
02/2024,-0.10448002620347463
