,NIA
01/2019,
02/2019,0.3357865445099084
04/2019,-0.3521371936941762
05/2019,-0.0021232291484297727
06/2019,0.16643210756027238
07/2019,1.0148742178101777
08/2019,-0.16523460989075145
10/2019,0.027186015061122948
11/2019,2.294452676819498
12/2019,-0.3569218253836619
01/2020,-0.691443204393889
02/2020,-0.06935042476829412
03/2020,2.0805754140098838
04/2020,-0.7191763952653811
05/2020,0.2616504054524613
06/2020,0.5978028643030437
07/2020,-0.3519046554664744
09/2020,0.29260096876998354
10/2020,-0.10174308768553852
11/2020,-0.175924980998313
01/2021,0.45027552892672684
02/2021,1.7643243463609104
03/2021,0.43598086582428497
04/2021,-0.6897936302491394
05/2021,-0.26158706320867675
07/2021,0.4790215014706145
08/2021,-0.4408070129307574
09/2021,0.49765859197397666
10/2021,-0.2380466104576785
11/2021,1.1087531160769841
01/2022,-0.6227436509589361
02/2022,-0.21103744214475684
05/2022,-0.580064534325385
06/2022,3.312061259700818
07/2022,-0.6679627340914432
08/2022,-0.2276466833599614
09/2022,12.43721684913831
10/2022,-0.9081279401630814
11/2022,3.013832516166296
12/2022,-0.12866191894607382
01/2023,-0.7221355318205304
02/2023,0.7876256556332146
03/2023,0.9026824548517816
04/2023,-0.5204474753321064
05/2023,3.260896143894626
06/2023,-0.7171291485164202
07/2023,-0.34590274337738325
08/2023,-0.015773523026739178
10/2023,0.4873058409406139
01/2024,-0.05910849796719608
02/2024,0.3321433284471187
