,Bank,Date,INF,PR,CDR,CR,LAS,NIA,NIM,OE,RA,ROA,SCTA,SIZE,is_Credit_Agricole,is_FUIB,is_Kredobank,is_OTP,is_Oschadbank,is_Pivdennyi,is_Privat_Bank,is_Sense,is_Ukrsibbank,is_Universal
24,FUIB,04/2019,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0
25,Kredobank,04/2019,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0
26,Oschadbank,04/2019,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0
27,OTP,04/2019,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0
28,Pivdennyi,04/2019,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0
29,Raiffeisen,04/2019,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
30,Sense,04/2019,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0
31,Ukrsibbank,04/2019,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0
32,Universal,04/2019,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1
33,Privat_Bank,05/2019,0.0158102766798419,-0.0092939814814814,0.0404116047232318,-0.1057997188143743,-0.0134089175596158,0.1875083803177399,0.0117376625469189,0.1537851892918791,-0.0071023364649249,0.0419217842789956,0.089752883333417,-0.0003026437631279,0,0,0,0,0,0,1,0,0,0
34,Credit_Agricole,05/2019,0.0158102766798419,-0.0092939814814814,-0.0148637841638311,-0.093605386003717,0.0790992245830225,1.7939158450612311,-0.0217933266060524,0.0115672451564197,-0.0271144030906966,-0.0101087709976316,0.0501077982012797,0.0005044743684038,1,0,0,0,0,0,0,0,0,0
35,FUIB,05/2019,0.0158102766798419,-0.0092939814814814,0.0236963078975974,-0.0480145593946291,-0.0643017363870677,0.5464367691231272,0.0350614436633354,0.0296665153995126,0.0360372382063317,0.0172526552229723,-0.0134518678991284,0.000161161364722,0,1,0,0,0,0,0,0,0,0
36,Kredobank,05/2019,0.0158102766798419,-0.0092939814814814,0.0052524860459193,-0.0261208411775958,-0.0310027804979231,0.4212111853558726,-0.0458118893392534,-0.0025468633495676,0.0016537927663317,-0.0272409091446943,-0.0198052130135651,0.0012284867627324,0,0,1,0,0,0,0,0,0,0
37,Oschadbank,05/2019,0.0158102766798419,-0.0092939814814814,-0.0048796170304919,0.0013489859527367,-0.0280538135922829,0.4307344241019391,0.1627691813145482,0.6333396450547566,0.009446032773754,1.5440408532597782,0.0505553226016547,-0.0003622138460857,0,0,0,0,1,0,0,0,0,0
38,OTP,05/2019,0.0158102766798419,-0.0092939814814814,0.0237171806056885,-0.0748079154018826,-0.1524021657138203,0.0640707853904212,-0.0214821038420383,0.0312533395167643,0.0385412165087055,-0.0173678598071578,0.0073020519065515,0.0005437810235996,0,0,0,1,0,0,0,0,0,0
39,Pivdennyi,05/2019,0.0158102766798419,-0.0092939814814814,2.052006988906864e-05,-0.0023375044904097,-0.1288161389631793,0.0787593612796289,-0.0193967736717947,0.2094454210711489,0.0318427368930961,-0.0258972606542113,0.0660020494370655,-0.0013956043713155,0,0,0,0,0,1,0,0,0,0
40,Raiffeisen,05/2019,0.0158102766798419,-0.0092939814814814,0.003209801352222,-0.0025067725378523,-0.0431564148601262,0.205390699546829,0.0027314361469796,0.0162076730886138,-0.06498795778281,0.0236807235193022,0.0694478291275546,0.0003767583076744,0,0,0,0,0,0,0,0,0,0
41,Sense,05/2019,0.0158102766798419,-0.0092939814814814,0.0062385067003395,-0.0131952924985573,0.0296487563891015,0.1558154407896654,-0.0388354943633476,0.1237875760146098,0.0269416564811747,0.0155090631959608,-0.0685695805463256,0.0003336443758708,0,0,0,0,0,0,0,1,0,0
42,Ukrsibbank,05/2019,0.0158102766798419,-0.0092939814814814,-0.0043079851774555,0.098394608621525,-0.0048441520894123,-0.1505434617959469,0.0038493508106065,0.0579380627207945,-0.0499710917507663,0.0835585314810041,-0.0451897713999563,-0.000714380900352,0,0,0,0,0,0,0,0,1,0
43,Universal,05/2019,0.0158102766798419,-0.0092939814814814,-0.0034945870230547,0.2351362652366235,-0.0015590584080835,0.0475124785438917,0.0554270155948257,0.0171184580072156,-0.0056502156151551,0.0952591688063643,-0.0036625310066435,0.0041584625897433,0,0,0,0,0,0,0,0,0,1
