Bank,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01
a-bank,55886.55764,4937.18699,10369.66352,22529.14513,27619.55036,32002.37001,33053.73062,34642.24346,36239.08034,38555.56206,44457.72395,46429.58342,48388.063969999996,2542.0724200000004,4222.3664,6508.47278,7805.09164,21125.88869,22175.13666,23384.02216,24522.329729999998,25809.0166,33433.92766,36460.35853,46679.86986,4353.62373,8690.06896,13237.93462,17062.38625,29049.60376,32983.3683,40664.36151,44783.26755,48807.701629999996,52885.14407,56437.953980000006,64545.738959999995,8885.98602,15028.492189999999,18191.58633,27531.59412,31743.29075,35895.758610000004,40501.931730000004,46712.89636,54310.45917,68331.36967,73907.53449,81701.11704,5901.757189999999,13417.35961,21289.11144,28262.339870000003,37390.62649,47119.750519999994,58347.490110000006,71418.01108,82882.69950999999,91998.88797,101513.7022,115552.07575,26705.24512,49464.64226
alpari bank,335.8402,8.06544,0.53226,0.87047,1.13371,1.25505,1.35906,1.49196,1.6133,1.73464,1.86176,1.9830999999999999,2.10444,0.26902000000000004,0.53226,0.80128,0.66881,0.66881,2.91126,3.20675,3.48649,3.7570300000000003,3.7570300000000003,3.7570300000000003,3.7570300000000003,0.0,0.0,0.0,0.0,0.0,0.0,2.1020000000000003,2.1020000000000003,4.204000000000001,4.204000000000001,4.204000000000001,670.20966,0.0,248.56004000000001,248.56004000000001,248.56004000000001,248.56004000000001,248.56004000000001,248.56004000000001,248.56004000000001,248.56004000000001,248.56004000000001,248.56004000000001,248.56004000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
altbank,944.14207,0.0609,0.0609,1.2609,1.4609,1.8494,2.9394,5.80645,24.9342,40.73981,339.35447,2511.67208,5307.8447400000005,0.19167,0.19167,1.85,3.42087,3.42087,3.42187,3.42187,3.42187,15.75522,15.75522,15.75522,15.75522,0.04167,0.04167,0.04167,0.04167,0.04167,0.04167,0.44167,0.44167,7.8916699999999995,7.8916699999999995,7.8916699999999995,7.8916699999999995,0.0,0,0.0,0.0,0.0,0.16604,0.16604,0.16604,0.16604,0.16604,4.34004,4.34004,0.0,0.0,0.0,0.0,0.0,0.5058699999999999,0.5058699999999999,0.98087,1.28087,1.38087,1.38087,3.38087,2.4,2.5666700000000002
ap bank,464.91049,0.0,2.75433,2.75433,22.17193,22.17193,22.17193,22.17193,22.17193,22.17193,31.61865,31.61865,36.48265,0.0,0.0,3.842,3.842,3.842,3.842,36.39407,36.39407,38.276650000000004,64.07379,135.49828,143.46495000000002,19.10713,19.10713,19.10713,19.10713,19.10713,26.067130000000002,26.067130000000002,29.50133,29.50133,29.50133,155.37915999999998,155.37915999999998,0.0,150.522,153.97748,3.45548,3.45548,3.45548,3.45548,3.45548,7.73434,15.234340000000001,15.234340000000001,15.234340000000001,4.5142999999999995,4.680529999999999,773.91097,773.91097,846.3353999999999,851.7034,851.7034,851.7034,851.7034,851.7034,886.0605499999999,964.76687,4.27489,24.34082
asvio bank,5881.86611,6.32513,6.57781,510.82406,634.10706,762.48934,1041.73287,1118.01841,1179.96095,1240.50209,1320.7536,2817.67834,2990.66551,105.10546,199.91477999999998,1964.05413,2222.1311,2293.52284,2406.5975200000003,2432.9061699999997,2516.87239,2585.28233,2608.2313,2634.44951,2894.6189000000004,34.47323,91.42062,154.08973,234.08849,296.97281,2728.2846799999998,2793.9107,2820.47216,3096.7848,3142.38009,3393.82369,3449.31044,67.7383,495.2341,684.84425,688.42759,823.9191300000001,892.03962,1095.83666,1593.7974399999998,2261.43355,2429.94164,3083.12747,21565.97584,859.55399,1226.28446,1490.11819,1655.22945,1958.87368,1976.2380799999999,2290.85259,2315.00925,2391.52355,2411.87021,2919.44477,5909.5059,7.69712,188.33049
b concord,1664.55774,1.28741,5.44703,6.10654,649.21767,716.81459,718.18126,720.97242,721.84819,724.10272,728.78675,730.75002,734.15599,2.1262600000000003,1790.96704,1805.9672799999998,1813.5090599999999,3673.24619,4032.1151999999997,4399.30738,4428.41424,5287.812019999999,5301.0791,5317.170800000001,5990.4538299999995,1533.5747900000001,1834.5128399999999,1941.4586,1970.69534,2863.9967500000002,2871.9635399999997,3472.33925,3482.0806599999996,3490.7808400000004,3502.2263599999997,2934.39133,2946.05452,29.420180000000002,34.57566,37.04361,205.46708,216.50910000000002,585.78742,598.39672,1025.0686600000001,1265.58097,1267.45626,1290.9998899999998,4637.95704,7994.815680000001,8002.73243,21940.341360000002,22885.44067,23456.18132,24669.302949999998,,,,,,,,
b industrialbank,,,,,,,,9470.81845,10289.051000000001,11272.8451,11722.44458,12225.8533,13349.24367,325.3899,839.79635,1325.1113500000001,1518.11143,2121.4012900000002,2889.32067,3636.58214,3913.8198,4159.7727,4621.52241,5191.86607,5903.2909,422.49649999999997,858.22978,1724.36225,2945.00383,3399.57868,4360.48852,5317.45778,5830.9898,6469.43851,15832.14041,16453.78968,18297.450090000002,2652.2434700000003,3765.01812,4077.3538,4133.04253,4184.64637,4670.78953,4933.75378,5284.22137,5570.58554,5826.70034,6100.18998,6500.27299,436.7423,2123.63343,2476.5694599999997,2702.83121,3373.01466,3785.46239,4483.5583799999995,4919.56697,5961.4237,7115.5735,8617.014799999999,11144.78596,1169.6156,2908.04511
b lviv,2480.19699,478.93842,559.89739,615.16661,798.44416,820.59599,2373.44965,2438.73364,2972.14207,3058.6727699999997,3223.5659,3398.47784,5019.5228,66.55842,1424.0200300000001,1603.86359,1673.8302700000002,1811.16141,2808.08915,2929.94218,2984.5424399999997,4458.1974,4479.59891,5415.458799999999,7269.78084,144.66863999999998,414.48882,2674.73693,5011.57842,5078.53863,5210.13907,5399.18789,5505.97702,5590.73481,5661.6928,6256.65033,8016.9911,198.87099,314.12545,322.85804,386.45099,572.60913,709.46616,802.04834,3207.40933,5444.4715400000005,7155.67809,7630.24579,9221.73359,,,,,,,,,,,,,,
bank 3/4,19.89168,0.0,0.0,0.0,0.0,0.194,185.91314,360.71829,360.71829,360.71829,360.71829,360.71829,360.71829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4842099999999998,7.31755,7.31755,44.81755,44.81755,44.81755,44.81755,44.81755,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.97962,110.97962,110.97962,110.97962,110.97962,110.97962,110.97962,114.31296,114.31296,114.31296,114.31296,0.0,0.0
bank alliance,296.5148,48.3229,77.2613,108.3576,145.50023,180.82803,366.02241,378.02023,438.38709,574.9244199999999,751.7512800000001,899.79792,1200.2805,115.90514,372.52979000000005,590.5761,718.885,847.07631,998.6432,1260.32901,1275.0373100000002,1301.7848000000001,1426.60568,1518.4748100000002,1678.88879,46.246750000000006,84.5245,226.39765,639.72717,701.61361,3075.7358,3244.53928,3305.72372,3444.17103,3536.05568,3767.7852399999997,4249.741300000001,144.69841,205.14186,233.91652,289.65461999999997,375.669,570.71282,626.20564,633.16426,1212.2212000000002,1279.72839,1387.38075,1422.5916599999998,43.16171,90.64448999999999,1270.62221,1549.49281,3033.73761,4214.83571,4904.584449999999,5816.86794,8068.82088,9302.174340000001,11971.92039,14797.44136,1366.31632,3234.84416
