Bank,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01
a-bank,907343.94351,1084747.98659,1083288.75409,1006760.09256,801658.67854,837417.9503,829966.65559,854153.59918,896682.17611,913647.39823,934351.02989,937503.22164,921020.52634,1030756.54605,1059986.50134,985145.67782,971770.84424,982878.72273,991997.0287700001,1021859.55169,1067670.31926,1087396.4304199999,1138456.58497,1200932.47258,1234594.99513,1347108.1770799998,1289018.20348,1357255.08249,1410789.8483799999,1410934.39977,1435132.56702,1507037.00199,1604039.1387699998,1665461.35256,1765643.97,1916514.2354100002,2198568.53232,2321648.44464,2361772.3605299997,2275589.69911,2224632.84795,2196026.76981,2201670.8063299996,2230309.38015,2240217.05343,2318241.47617,2360602.31101,2397985.17182,2418458.71263,2490276.26303,2517282.29563,2528024.18932,2581846.10423,2600450.53668,2631077.43252,2730968.2192800003,2877080.85757,2987263.30607,3233762.01962,3074709.8351499997,2997309.1699400004,3267550.79695,3085640.5268200003
alpari bank,226969.2349,225531.08197,224740.43429,223371.16842,220553.07545,219347.23239,216553.10751,216216.57631,213724.11979,213495.27860000002,213573.15274000002,212562.36151,214982.91056,211715.17608,212951.83026000002,213264.50157,213419.97221,213233.41634999998,212290.06745,211474.66594,210785.88298,210522.28538,208698.27378,207875.82280999998,208102.31679,204939.75746000002,205166.03652,203271.05041,202845.93946999998,202544.46367,202689.16014999998,203590.01778000002,202316.68039,200017.72131999998,202140.82512999998,200056.81387,203036.00806,200991.40437,197155.28921999998,196218.35272999998,195164.31059,196436.5751,195818.21753,195649.64325,195390.06276,194093.9132,193334.48999,192809.37788,189363.38573,186641.04871,188791.02678000001,189123.82423,188989.98541,188879.12850000002,188793.28355999998,188835.85904,188562.20314,185791.42304000002,185109.68757,185066.70841,183693.61255999998,182941.52602,172242.25852
altbank,233199.64952,235044.61553,235062.19929,235108.68503,235746.09288,236532.41426,236705.49068,237348.66129,238143.28071,238195.9354,238733.15643,240245.43514000002,241800.70222,242199.58995999998,241427.47778000002,241809.62045999998,241747.65513,238160.99362,236603.28047,241087.7303,246859.83779,246767.51234,246552.52302,246303.35795,247795.89878,246946.59634000002,247961.18488,248396.10007,248346.18177,248188.78482,248445.46553999998,250376.93016,251512.60561,252488.37376,252767.35547,254873.1357,256913.54254999998,258316.71699999998,258514.10395,258329.24550000002,259018.92893000002,260352.69688,262091.58165999997,265298.18955,266922.21981,270111.16998,273478.02837,277739.51777000003,284016.71109,291612.11985,293912.58807999996,301152.28394,302993.53245999996,306670.43929999997,310587.47219999996,314353.80462,317295.25912,320433.85744,324321.04454000003,325991.12867,309046.02859,309447.68895,321033.22417
ap bank,314578.22538,316993.7592,319640.23793,325803.40665,326991.8623,327949.13837,329524.81259,333028.54052,338286.07137,341484.48465,347921.08029,350400.45432,339899.74181000004,342897.45202,341035.10073,334507.00418999995,335692.34005,335054.84049000003,332379.057,332558.2852,333045.08481,332565.49275,334164.46006,336358.51899,340495.717,338131.03343,334106.63573,333597.35121,333086.18238,336909.61782,335891.78995999997,338533.94007,342565.35904999997,345532.40438,350730.49958,355241.80597,350548.76916,353858.56127,350827.4453,351481.87944,343431.62465,334381.80652,319922.74669,319700.77706,309472.98216,301130.09085,295461.91969,291415.99717000005,287866.70797,297506.52991,303398.14162,308971.02088,309734.43114,315984.88736,320722.60595,328682.73567,337157.32337,347030.53695,345903.87163,347322.80876,301308.57899,313003.22877000005,325945.64810000005
asvio bank,448155.3221,448516.19396,449581.67409,449472.93627,449521.5278,415014.97582,450013.9908,451579.99602,452163.5707,452332.55232,454521.77371,456099.04160999996,448955.29099999997,451311.51697,451407.87778,452104.92066,452897.53357,453248.35945,454163.81987,454160.47849,454500.69901,456260.15817,456539.82908,456801.67662000004,453065.76093,453257.79496,453376.57119,481440.6571,481526.90521,481683.65444,481805.73338,482036.36686999997,482204.22138999996,484444.20793000003,484799.27426,485094.36199999996,478899.92117000005,479703.33009,490053.13062,482312.33716999996,482655.66923,483372.25645,482678.41453,482795.8677,483026.06632,484566.85638,485096.14629999996,491135.55233,506230.62513,508367.05321,515707.23910000006,515039.65403999994,517241.51271000004,520012.1464,521813.80035999994,530214.32849,533230.37514,542417.24582,551339.58282,531716.61786,528648.28072,543372.36233,544162.82783
b concord,292635.5908,295687.98876,299400.07243,299680.56563,299797.40132,230325.0784,231999.94265,233418.95475,241144.48004,246868.21213,257025.68871,268373.72714000003,275870.19438,281930.63398,288067.38579000003,295549.29201,297327.10212,300831.55248,305060.41119,310892.98593,314485.79364,323524.09622,326326.06607,330079.04232,331600.25858,333743.83862,335382.7139,338615.65135,344168.06646,350115.73594,353026.5246,359418.55673999997,383326.78846999997,409584.23252,432430.66597000003,450295.98471999995,478442.93918,488669.92463,487323.01076,512338.4126,525791.69614,526809.1876,560855.86777,597220.71178,597378.5344499999,597952.45362,651532.3216499999,675905.59167,741770.41204,750284.94475,774151.22976,799334.99864,818957.8301499999,835015.99355,841728.61976,,,,,,,,
b industrialbank,,,,,,,,1288092.64136,1292187.7854300002,1289903.65792,1284077.16126,1280833.07623,1262840.9569299999,1293382.3446799999,1295363.5006300001,1303964.01058,1310176.57892,1283543.0803899998,1328476.38645,1362628.63655,1363185.17581,1381060.0347,1388855.77917,1387967.5193,1264962.86908,1256303.57531,1262561.5393,1267653.17459,1247013.3426100002,1249634.62845,1251990.44648,1265896.1453800001,1265543.58069,1271109.21273,1286253.27991,1274628.56308,1270871.91132,1319194.38662,1261706.3791,1213888.21823,1126465.77155,1115948.71214,1063207.6357399998,1132369.2696200002,1121153.61776,1102475.6224,1100527.66939,1096445.77138,1031484.70311,985570.20169,1182132.8682000001,1145011.34537,1141533.88408,1143059.60207,1142257.54392,1141097.44377,1135404.40033,1123856.75137,1119422.50512,1108125.01719,1074354.77036,1068971.561,1072284.60983
b lviv,234497.97417,241471.64658,242308.00926,235508.93316,235315.92052,236096.93619,237665.16897,240093.69767,304785.1069,351851.66543000005,355067.99231999996,357063.72429,357552.12295,362991.2558,362247.40780000004,371004.01405,372074.68421,375318.69821999996,377215.57395999995,379811.75805999996,389717.60998,396353.50099,400192.61826,392042.23682000005,419750.6252,426826.98629,464308.85243,469730.23634,571590.69673,576958.51185,586103.02657,592854.9766500001,601655.90018,609880.23138,621331.35778,631624.4886299999,626129.58795,640474.2113999999,648320.60008,656626.67335,667345.21301,657681.3138400001,671228.13138,658302.0595199999,682155.23109,693599.00337,756855.2711700001,780515.0626,776231.4138199999,,,,,,,,,,,,,,
bank 3/4,530206.45104,528216.99974,514687.26562,537083.77756,560916.22853,506006.19163,496988.26826,506283.8226,507230.41848000005,507717.02621,508706.90343,516768.64035000006,521205.57049,530471.69302,533034.1106199999,529166.63708,514968.93347000005,549408.7080199999,587778.35358,570550.11041,572847.3126500001,567284.8537999999,546953.71251,545357.38053,548755.92336,545003.20962,549112.1696200001,545479.66499,544723.0227600001,538825.8356799999,532812.9390799999,522291.03333,525603.88769,525739.05061,527503.8733,528328.42725,523735.98125,506071.20438999997,531213.73769,545387.0913099999,539756.94996,542237.70853,542961.26742,535535.77796,481750.55903999996,481803.30272,483373.58888,466848.02553,476225.55173,474926.71067,480371.06086,481481.60356,514078.01199999993,526604.22477,515891.41900000005,544118.35022,557144.3186400001,553668.34236,562893.28397,574019.42305,569344.90055,560803.07448,563294.86789
bank alliance,401044.11838,407390.84636,411866.69692,419668.1682,422310.24642,426403.63341,426820.56178,430947.35397,439267.07628000004,449616.92186,493201.27842,493419.81762,497586.77371,497976.07051,502052.5605,503459.99559,506860.55078,510010.4659,517114.06055,531048.4378800001,539344.75329,548372.39347,558142.2499599999,559390.86092,582042.6569,584010.99803,588185.3938000001,605606.6158899999,607895.00338,608947.74936,613654.0618499999,624170.55366,651409.5002799999,724230.90858,777425.2587700001,891497.63975,913102.0516700001,923820.5576899999,930074.57592,897199.03264,870458.83451,874176.68844,872614.67151,1094781.52566,1081734.08447,943660.81407,948523.63553,1201494.79774,990063.53584,992583.4664200001,965118.1163700001,1009791.4554,1013141.0468,1039145.0033199999,1090886.11747,1144568.06373,1147161.2754499998,1150786.51243,1198747.53663,1067355.99186,1084856.85924,1092042.2659999998,1119859.84967
