Bank,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01
kredobank,11722945.45847,11824753.16717,11554206.81955,12119314.32853,12539467.14457,12770108.66417,12608455.39673,13140424.26121,12998645.436859999,12982781.02466,13110269.80666,12970868.777600002,13725490.56034,13854025.692249998,13859215.411220001,15085474.223689998,14451310.69759,14494189.101240002,15053805.93697,15275275.638529997,15326693.944160001,16031232.95371,16356755.533699999,16854863.711420003,18110379.37844,18016280.05825,17778250.970870003,18050045.2255,18085041.18838,18436251.897189997,18730114.62883,19089703.48703,19450443.06564,20435731.7011,20746431.800630003,21275512.4968,24296006.74148,23147565.14115,22512172.35993,23736666.569280002,23591799.332920004,24567503.03494,25758881.337530002,27670223.05331,28839452.834950004,29639207.52779,30338858.60317,31237452.05963,32820625.196059998,33800237.19937,33507119.087020002,35207412.56874,36684837.73145001,37940237.053160004,39315330.241720006,40609696.80966,42190729.126,41371853.962009996,41547378.02881,42470227.686400004,46441051.19245,45261692.573139995,45331355.990030006
metabank,516137.41226,497811.18719,461698.78991,463870.19468,544805.96755,614012.62548,626104.65052,655705.34515,602138.91142,577702.6969799999,586956.07092,594061.72169,592374.82011,637709.23076,608696.96822,692936.82657,659415.81879,641459.29281,630705.3618800001,748071.84901,753816.73877,735361.2444600001,681451.21684,593238.5251200001,641927.3994,707476.01006,727594.67988,652163.63373,792594.1756900001,661511.1157300001,900185.27063,945569.11745,928765.07199,907901.26366,788148.6906999999,742038.2337999999,710921.3800799999,831221.94047,724882.41981,732976.7348300001,621217.50361,537577.42922,526460.7943999999,633477.6313700001,516567.78112999996,519627.23894,540021.41896,508637.08113999997,629286.10887,610878.07532,549239.62361,702899.2456899999,691156.7010700001,752061.85122,753817.9556600001,692186.50716,714742.86448,705632.09121,596287.2725999999,599951.76338,577353.0992999999,548547.80406,603686.33311
motor-bank,1095499.82319,1011715.19861,947872.72475,948749.02387,848026.63997,896283.31855,838988.12733,841978.40645,767188.18251,724054.29349,720237.38008,785495.6094,880729.73367,810861.08069,1076495.72579,976626.0655700001,986128.1880199999,882162.07507,908520.3320099999,918278.4412399998,920190.6334099999,1153108.81318,1122194.5415299998,1284936.8855400002,1535407.7352099998,1389148.34792,1482518.59227,1148554.47608,1174781.16301,1240767.48044,1235952.2431700001,1235213.2271599998,1180296.8943,1375686.851,1335214.41641,1323653.16643,1784124.88538,1563537.0240699998,1547557.7573,1450994.5210000002,1521263.20954,1372827.5252200002,1663713.95624,2182293.47601,1707543.47983,1639090.27913,1409046.7320500002,1061495.4487400001,975251.8808100001,1051704.6289499998,1097699.7971400002,1072933.52452,1031086.21177,971104.24242,892989.5390100001,976734.26508,897736.42744,892581.74634,914509.6658900001,948178.5122499999,787515.34157,955522.40061,1034122.2095799999
mtb bank,4062108.22291,4252480.36414,4350380.30954,4087617.5896,3965225.34896,4245472.31054,4077891.26993,4403041.46384,4321415.31918,4186525.4450399997,4475980.85642,4263061.207020001,4509627.3022,4662099.35471,4990867.812639999,4853136.499439999,5207929.627969999,5796016.73407,5426354.65519,5472718.719860001,5852564.114349999,5453946.329349999,5364297.619479999,5397682.347469999,6867368.90786,6131206.158009999,6227054.510989999,6261440.09365,6247094.529829999,6855467.0761,7135384.778790001,7239263.57199,7328392.0008000005,7790166.313449999,8129492.72167,8380983.00235,9332449.38907,8563031.12909,8506485.26124,6919548.7547699995,6790191.005770001,6684382.759559999,7404793.70523,7495907.10133,8590160.404099999,9559267.70853,9233848.55474,10484732.85038,9471758.38193,9928732.502840001,10049752.52869,10747049.22465,10928997.96628,11691277.79792,12931840.8858,12513071.49326,12451292.222280001,13815631.18603,14490333.452490002,14691230.07766,16283980.64257,15930099.19094,15813291.10262
okci bank,325398.68126,285882.67772,255266.06903,253747.99884,245490.87615,247497.03596,243373.35571,232893.73406,239519.36661000003,233233.32098,234649.8433,233137.42209999997,268073.92791,273904.43616000004,221183.48816,242875.89646999998,226028.30304,232892.39122,269484.67509,294253.88457,280674.13778999995,345462.5825000001,343341.15501,360209.38237999997,416194.28122,515730.56463,469908.74191,409691.49782,460792.16276,448968.37951,436162.73473,378823.05131999997,405552.03845,415480.6069,386238.61705,447662.27001,573549.56641,591290.00236,559004.42692,624939.9886,411968.8654,508261.36649,665018.4379799999,536841.4106899999,554347.3184,560868.24598,580484.84166,622408.1636099999,386791.71001,416472.66174,389150.44332,377285.91663,456483.92849,404963.96358,456280.6981,465695.58072,392865.64896,470886.53238,461214.01462,490813.94921000005,567168.2474100001,564984.3543199999,597516.34991
oschadbank,151447721.39528,149508714.55296,157236370.65905,156225001.17026,161776101.69784,160120722.07361,165532873.33279,161546828.01877,167587719.71265,161350720.83749,167759833.56987998,167247421.12262,198808732.51641,218548367.73465,198627896.63096,195531216.41827998,193779545.58689,192467523.38432997,179789412.58844,180743175.47094002,176085493.24407998,182615982.1934,187616938.9783,183772586.86545,184886207.47487998,194253955.46931,195958463.02734998,207928347.51226002,209270541.85410002,209882613.83378,202665630.01735002,198931672.90909,182973537.76317,188188818.49049,180008976.79290998,180383154.56876,188933316.83892,181516113.84348002,187243085.03185,191649538.33468997,205612109.20468,198682057.20938,196332413.9151,199904867.20436004,204741905.28493002,206324820.98970002,208845123.35176,216997323.37347,231297542.81983998,235204370.91564,245225290.7039,239869458.19480002,247216026.60704,250764348.28717,257097846.89892,266628936.63964,266941934.36633998,267426785.34224,271689798.84675,275998934.14805996,298969607.11719,298048413.53240997,306764976.31131995
otp bank,26355271.17178,26882012.18799,26547628.6523,26823524.1159,26790536.16681,27755986.33901,28618458.65529,30682016.31034,30540129.061910003,30846958.914789997,32348881.886050005,32450640.386630002,35179411.06615,36086680.0966,38322630.84731,38849113.63542999,36013947.575550005,36779604.32775,38554817.337400004,40925031.553840004,42642138.13357,44171047.45824,44038716.92071,44512927.96211,47617137.837560005,46753991.91544,49072607.73685999,49068606.20815,47950586.13721,48854181.74502,48162382.78,48724642.95152,49799787.003580004,51859869.19775,51334083.798980005,54201391.8337,56867213.26148,54677105.310270004,55790352.02623,60178211.6777,62196192.930819996,61403917.057500005,61132364.078669995,65554179.266389996,65656307.089209996,65429245.130569994,70052509.81184,73195618.47767001,77619525.34183002,77246622.00667,73342122.50723,78903686.0984,81499505.56583,75168395.44111,75547803.57596,76085646.05527,74735881.18619001,74603554.13500999,77622677.90037,77360459.67465,81744544.29606001,80098585.35127,80728873.06660001
piraeus bank icb,1703569.90737,1665810.26479,1614407.96826,1661803.83862,1710468.68139,1709752.67052,1734929.33418,1769518.01749,1801879.7284600001,1833800.43764,1853155.74734,1866722.79697,1983932.26197,2063998.5000800001,2050330.3609999998,2254696.67766,2183578.27249,2135204.0862100003,2163188.69425,2226563.23221,2244713.45441,2191740.7982599996,2182386.4009199995,2334917.88808,2452283.45079,2674562.9304,2772852.26297,2813268.3360800003,2860751.35713,3053360.3267200002,2747380.89024,2800352.35342,2806926.4632,2942063.6855499996,2978762.7730900003,3209765.0539,3576017.83485,3301682.7001900002,3059110.7350800005,3138861.01143,3441073.54597,3741041.33261,3375495.0793000003,3558674.80755,3521048.00985,3540764.4519,3947510.84377,4001397.77787,4615016.02226,4546439.65561,4353152.9079,5069720.96737,5001115.91932,5331919.45626,5475876.02209,5437643.01302,5871838.94021,5105462.15926,5460756.57971,5466060.28012,6567183.297599999,6468456.319619999,6271794.074240001
pivdennyi bank,17368761.88462,17278511.56461,17815291.24239,16983030.14066,16866705.18086,16395176.99869,16939918.08665,17082632.80716,17344472.83356,18370075.50339,19080892.05243,17169711.267799996,19601164.61115,20276967.918449998,20737325.65945,20527351.48613,19365168.578750003,19110170.67422,19749071.60552,20734024.778890003,21178873.90518,21962237.12444,20629144.285040002,21158350.54202,26598610.76774,25541340.528089996,23938497.31973,23799526.865939997,24073123.3341,25111749.393409997,25886031.749059997,25065065.12811,26345837.498790003,28417713.35385,27234103.91159,30599824.69445,37014989.51506,36170002.6725,28453366.561479997,24338265.70838,25021966.92689,23321101.26635,23936216.508670002,25966093.00724,25647171.59007,26387541.02853,28358083.352339998,31795816.48662,35824490.91743,,,,,,,,,,,,,,
policombank,369339.23224,391402.2784,392536.54326,351624.28311,365095.70021,371778.82289,418302.15933,403002.35862,402539.33288,397794.79801,370325.55771,374053.22023,374764.65535,443121.47783,486837.30100000004,396338.97333999997,441294.96417,417552.53089,418384.51680000004,436370.12398000003,441254.27442000003,465262.12304,469999.32105,504597.09238000005,527586.56039,471534.47534999996,490778.53605,489809.07882999995,476293.03761,487671.02587,521113.59441,519750.83769,520997.10367,527983.54308,546968.26419,531759.7628,527985.35555,491875.31726000004,…,461420.77567,381510.07063,386748.99098,383742.92989,437727.18871,437868.72331999993,419799.15167,442961.29245,455273.34627,485990.67147,496927.60405,519257.66699999996,501030.4522499999,532975.78845,505400.28724000003,494167.09962,500240.21363,495596.12217,488852.45704,501090.59614,545230.47442,530722.20669,509753.21836,519562.58449000004
