,Bank,Date,INF,PR,CDR,CR,LAS,NIA,NIM,OE,RA,ROA,SCTA,SIZE,is_Credit_Agricole,is_FUIB,is_Kredobank,is_OTP,is_Oschadbank,is_Pivdennyi,is_Privat_Bank,is_Raiffeisen,is_Sense,is_Ukrsibbank,is_Universal
0,Privat_Bank,2019-02-01,8.6,18.0,0.2396577116956195,0.9558589887833818,0.3398922592841487,0.4388175216072665,0.0027557573737094,0.0017570310940202,0.0667173393828303,0.0062799620298111,0.0245844001859158,20.001230968627866,0,0,0,0,0,0,1,0,0,0,0
1,Credit_Agricole,2019-02-01,8.6,18.0,0.8316717808028266,0.1044362693537102,0.0923281059819169,0.6604865618850976,0.0052253674888754,0.0036229773962283,0.1160571866494894,0.0079113910720025,0.0161993823882024,17.35501416590853,1,0,0,0,0,0,0,0,0,0,0
2,FUIB,2019-02-01,8.6,18.0,0.7004463424504345,0.2991040419395234,0.2042205763143601,0.6985179644584986,0.0072541391325697,0.0050417785650011,0.1147442447259055,0.0103850430506727,0.0266362555297248,17.789343622250637,0,1,0,0,0,0,0,0,0,0,0
3,Kredobank,2019-02-01,8.6,18.0,0.8191375580339627,0.0810058624962812,0.2203152327835197,0.7181839302902692,0.0063579185280307,0.0055715287584385,0.1200423594497605,0.0088527719152126,0.0385594618464769,16.579443896942077,0,0,1,0,0,0,0,0,0,0,0
4,Oschadbank,2019-02-01,8.6,18.0,0.419543080485994,0.6373672976089314,0.3921659670948509,0.8780487337233591,0.0061250336901842,0.0074212202492311,0.0645742190555587,0.006975733185345,0.0189551343110033,19.398367785941648,0,0,0,0,1,0,0,0,0,0,0
5,OTP,2019-02-01,8.6,18.0,0.8094533815932698,0.149451943281254,0.1376510673089889,0.6795141066840059,0.0072550620833465,0.003678394613031,0.1382601148514187,0.010676838070001,0.0247826370460288,17.416790250376074,0,0,0,1,0,0,0,0,0,0,0
6,Pivdennyi,2019-02-01,8.6,18.0,0.8732384393661493,0.0954798439832257,0.1344918005635612,0.6416140387553497,0.0043850417546106,0.0042703455380328,0.0964325106356036,0.0068343918457848,0.0423799730278563,17.020383357070852,0,0,0,0,0,1,0,0,0,0,0
7,Raiffeisen,2019-02-01,8.6,18.0,0.8237245376548178,0.0706400528854919,0.1221489679863444,0.644771487577959,0.0070559702871264,0.0054068250668797,0.1571291733251119,0.010943365863822,0.0601363369997136,18.08194413890719,0,0,0,0,0,0,0,1,0,0,0
8,Sense,2019-02-01,8.6,18.0,0.580792574208285,0.1690592451572158,0.1169826556221158,0.5058063117542294,0.0046099746620996,0.0074450189545147,0.0743526061984764,0.0091141105893111,0.0144542278994818,17.99388867716666,0,0,0,0,0,0,0,0,1,0,0
9,Ukrsibbank,2019-02-01,8.6,18.0,0.6049310545821333,0.0726877472891093,0.0994480802313162,0.6278324711806145,0.0062111503834001,0.0047844425201814,0.1264453855849071,0.0098930059665763,0.0488868491182955,17.7386188317403,0,0,0,0,0,0,0,0,0,1,0
10,Universal,2019-02-01,8.6,18.0,0.6905496882507745,0.0908201085930643,0.1206184605611469,0.4081795009512349,0.0055497558189618,0.0095547884750686,0.0797781678828398,0.0135963609295138,0.0234797459056725,16.119731342948587,0,0,0,0,0,0,0,0,0,0,1
11,Privat_Bank,2019-04-01,9.6,18.0,0.2475921888645657,0.95285781009132,0.3308114856054187,0.4310194562116108,0.0030444085888636,0.0020399972042241,0.0738786178200249,0.0070632741631248,0.0260990578605768,19.988570414255037,0,0,0,0,0,0,1,0,0,0,0
12,Credit_Agricole,2019-04-01,9.6,18.0,0.8703810701252412,0.0961066448924198,0.0620659897019354,0.656726963671918,0.0054230278969486,0.0038430059612791,0.1243510917845388,0.0082576598753113,0.0158813645836084,17.346580435315065,1,0,0,0,0,0,0,0,0,0,0
13,FUIB,2019-04-01,9.6,18.0,0.7401393670367614,0.2305222914698298,0.1718838258450361,0.7225189045754863,0.0073406013791396,0.0062271854951577,0.1264034802697324,0.0101597360742451,0.0278519978970337,17.753225096097456,0,1,0,0,0,0,0,0,0,0,0
14,Kredobank,2019-04-01,9.6,18.0,0.8472283493570734,0.0716993868015482,0.1874355293033053,0.7457990116675757,0.006603452041002,0.0054746316456493,0.1201723408043607,0.008854197897416,0.0273559651629521,16.589519930364208,0,0,1,0,0,0,0,0,0,0,0
15,Oschadbank,2019-04-01,9.6,18.0,0.4302597641048757,0.609644235831111,0.375743824796178,1.9635122167153185,0.0017878530305112,0.0034077977408097,0.066726365049871,0.0009105382769158,0.0195802395993348,19.35734673554514,0,0,0,0,1,0,0,0,0,0,0
16,OTP,2019-04-01,9.6,18.0,0.8487910341652022,0.1308124368816996,0.0957889389989993,0.6740439898836317,0.0072239837459944,0.0040220229464011,0.1517329786316615,0.0107173772845917,0.0243769803532537,17.40715487106513,0,0,0,1,0,0,0,0,0,0,0
17,Pivdennyi,2019-04-01,9.6,18.0,0.8927848598301295,0.0734564362680282,0.0984514129721355,0.4775028475479731,0.0034010211203223,0.0060397713955112,0.1005789152118284,0.0071225148452766,0.0446689303558639,16.974643642529287,0,0,0,0,0,1,0,0,0,0,0
18,Raiffeisen,2019-04-01,9.6,18.0,0.8266743609126719,0.0725142963625825,0.1030595216714439,0.6726084211300007,0.00748076524287,0.0055667949714089,0.1601388423310139,0.0111220213840054,0.0627573256261273,18.09883139345973,0,0,0,0,0,0,0,1,0,0,0
19,Sense,2019-04-01,9.6,18.0,0.5974229412617458,0.2648163201984866,0.1135821095150414,0.4302210606490296,0.0045161545443241,0.0059449229617582,0.0800140393962375,0.0104972883882325,0.014408839950932,17.966813032987112,0,0,0,0,0,0,0,0,1,0,0
20,Ukrsibbank,2019-04-01,9.6,18.0,0.6070016853734647,0.0771146571639114,0.1129671238617219,0.650692916522658,0.0068640581962025,0.0051925243080709,0.1386503706788261,0.0105488441965596,0.0393706423881277,17.694106136463553,0,0,0,0,0,0,0,0,0,1,0
21,Universal,2019-04-01,9.6,18.0,0.6458949123095067,0.0952778206963019,0.1872028789921827,0.4047660066434718,0.0063173595102233,0.0105282303570486,0.0798834637818119,0.0156074359173839,0.0162355094049598,16.247227935552026,0,0,0,0,0,0,0,0,0,0,1
22,Privat_Bank,2019-05-01,9.0,17.92,0.2580266278016931,0.949124582923532,0.322512916174041,0.403748753676055,0.0032824239811811,0.0022350883242558,0.0571456542388162,0.0081298677736965,0.0387442653047282,19.985881247989816,0,0,0,0,0,0,1,0,0,0,0
23,Credit_Agricole,2019-05-01,9.0,17.92,0.8342823423134874,0.0960017147025319,0.0606425375759156,0.6330414608390675,0.0052538920783761,0.0038177123628271,0.12434127448041,0.0082994438806778,0.0216315872585125,17.374267111790605,1,0,0,0,0,0,0,0,0,0,0
24,FUIB,2019-05-01,9.0,17.92,0.7363617646656242,0.2284863989809692,0.1374902791483595,0.6854265657827505,0.0071456432209991,0.005639202390637,0.1262945446154211,0.0104251039830049,0.0251448565499316,17.78596958632206,0,1,0,0,0,0,0,0,0,0,0
25,Kredobank,2019-05-01,9.0,17.92,0.8344587183595844,0.0364827833052776,0.1904807672418281,0.6955546422476613,0.0061635704931584,0.0050559159157549,0.115697749245344,0.0088613749643609,0.0367126025123277,16.64604615493928,0,0,1,0,0,0,0,0,0,0,0
26,Oschadbank,2019-05-01,9.0,17.92,0.4135434762676275,0.6084573056174968,0.3669924272131869,0.2917420896486259,0.0015340230095967,0.0026964811270269,0.0660009199388157,0.0052581477408497,0.0260389776998345,19.37712669024632,0,0,0,0,1,0,0,0,0,0,0
27,OTP,2019-05-01,9.0,17.92,0.8788097264797446,0.1236089627056238,0.0790565852226359,0.6725124596647849,0.0077621047404133,0.0042645706065943,0.1536131577469842,0.0115419493406596,0.028014959689341,17.413273824263033,0,0,0,1,0,0,0,0,0,0,0
28,Pivdennyi,2019-05-01,9.0,17.92,0.8797366605617888,0.0751365131951942,0.0675008422795637,0.6140292784225476,0.0039988453462366,0.0061663893618635,0.1009906809292947,0.0065124668916599,0.0534907769306529,16.984578851591905,0,0,0,0,0,1,0,0,0,0,0
29,Raiffeisen,2019-05-01,9.0,17.92,0.8145027531238659,0.0691360273858186,0.095444700048505,0.6295148298549983,0.0072993015905733,0.0050312078991332,0.155338750202205,0.0115951225362787,0.085662306933149,18.16444901545668,0,0,0,0,0,0,0,1,0,0,0
30,Sense,2019-05-01,9.0,17.92,0.6065852639800058,0.3282095359859816,0.1040903181611113,0.448224901715512,0.004788419173776,0.0060491790472231,0.0814346401939941,0.0106830726170033,0.0154433688389175,17.980403258532856,0,0,0,0,0,0,0,0,1,0,0
31,Ukrsibbank,2019-05-01,9.0,17.92,0.6365384954786588,0.0711974861453206,0.0543854184767129,0.5526417061485634,0.007077538891125,0.0056392254971189,0.0918844081407658,0.0128067404475304,0.0511693467663386,17.71810369068398,0,0,0,0,0,0,0,0,0,1,0
32,Universal,2019-05-01,9.0,17.92,0.6538158334673018,0.088583122846486,0.134016805117685,0.4449687526754307,0.0068437084581246,0.0097697917270205,0.0786057941563343,0.0153802001083805,0.0168938866988871,16.28629429838341,0,0,0,0,0,0,0,0,0,0,1
33,Privat_Bank,2019-06-01,9.1,17.5,0.2697756296546927,0.9486779192853628,0.3261201968387363,0.2673104729456986,0.0031090476755906,0.0021722972948933,0.0631999219961416,0.0116308487330469,0.028047612373442,19.98214361867575,0,0,0,0,0,0,1,0,0,0,0
34,Credit_Agricole,2019-06-01,9.1,17.5,0.7943441022172347,0.096379406700677,0.0942870359583773,0.6321860189442224,0.0048415453712513,0.0039524254922292,0.1054879233213279,0.007658418924444,0.0174334210829928,17.38034356705578,1,0,0,0,0,0,0,0,0,0,0
35,FUIB,2019-06-01,9.1,17.5,0.7499246102191027,0.2204073216900589,0.1534277853661568,0.7051989530907193,0.0072200018117712,0.0055062387034047,0.127538502088616,0.0102382480576972,0.0254401783171011,17.797001697663248,0,1,0,0,0,0,0,0,0,0,0
36,Kredobank,2019-06-01,9.1,17.5,0.8301966476507711,0.0698743894683913,0.1994043563400664,0.7597215879607946,0.0068210115614882,0.0058077348073219,0.1201690402913631,0.0089783042493196,0.0362624370896487,16.63936185842962,0,0,1,0,0,0,0,0,0,0,0
37,Oschadbank,2019-06-01,9.1,17.5,0.4131875334976647,0.6122899125092741,0.3576421705530272,0.460783835076244,0.0014408778914825,0.0028671976447571,0.0663527479955795,0.0031270148425327,0.0200164513823509,19.37633966977848,0,0,0,0,1,0,0,0,0,0,0
38,OTP,2019-06-01,9.1,17.5,0.8671383169133836,0.1175630848292852,0.0810856714174367,0.6495046760868511,0.0069597380776941,0.0039551711061184,0.1547612140751034,0.0107154549211643,0.0249218170096875,17.44426104950511,0,0,0,1,0,0,0,0,0,0,0
39,Pivdennyi,2019-06-01,9.1,17.5,0.8716241936260785,0.068079578526045,0.0780695720483421,0.5167089243316261,0.00340588707058,0.0050151327799495,0.105893487650458,0.0065915003790299,0.0508364908808609,16.94828035921836,0,0,0,0,0,1,0,0,0,0,0
40,Raiffeisen,2019-06-01,9.1,17.5,0.830556717250362,0.0699713684830462,0.1004068002372039,0.6641111799559525,0.0073408628341442,0.004885495465076,0.1268205590639653,0.0110536654941288,0.0620627152293955,18.101151971895007,0,0,0,0,0,0,0,1,0,0,0
41,Sense,2019-06-01,9.1,17.5,0.5883788191722774,0.259503268173975,0.1198243639722199,0.4517840827420446,0.0046533147772339,0.0056340930187662,0.0804268115066747,0.0102998643710315,0.0112212027127253,18.010948466126095,0,0,0,0,0,0,0,0,1,0,0
42,Ukrsibbank,2019-06-01,9.1,17.5,0.5932112729229139,0.0622219453758275,0.0769172571630123,0.6409399620790248,0.0065770659707911,0.0056369753992153,0.1020158687489528,0.0102615944704977,0.0416671942384764,17.699697553724317,0,0,0,0,0,0,0,0,0,1,0
43,Universal,2019-06-01,9.1,17.5,0.6822103596485137,0.0910698818047347,0.1160397670593099,0.3670932715352981,0.0071138179697039,0.0120770195787708,0.0783862648670574,0.0193787751542046,0.0218158308610683,16.320557633872156,0,0,0,0,0,0,0,0,0,0,1
44,Privat_Bank,2019-07-01,8.8,17.5,0.2613126998109533,0.9467010612946584,0.316442825669543,0.4799859768141017,0.0031319889805233,0.0020236418900113,0.0725561387466556,0.0065251676753388,0.0352002945221684,19.98964450030116,0,0,0,0,0,0,1,0,0,0,0
