Bank,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01
a-bank,3473990.79382,3753240.71932,3798464.37151,3802046.88237,3947608.13746,4044085.87287,4057344.5788,4094354.98571,4174962.93316,4425659.439319999,4569362.630249999,4657866.15737,4868111.5197,5047022.54685,5282518.45644,5330228.473599999,5304441.50298,5417508.91957,5719322.729610001,5916140.2000899995,6236346.84792,6533342.85048,6664797.90665,6830651.79577,7190533.291610001,7345645.85456,7572837.53701,7673432.80617,7704836.4277,7952129.13277,8327916.758719999,8599884.57065,9011211.66826,9104560.42598,9226833.217,9191966.64524,9501506.91216,9760934.09358,9993076.313329998,9621463.57573,9273066.89804,8847496.331389999,8181329.41294,7920577.4732099995,7479277.927320001,7034345.47995,6636701.12099,6374889.6969,6220965.57527,5958165.52536,5903538.273939999,6087960.51182,6170282.703749999,6411408.0501500005,6595260.729959999,6938080.196470001,7444870.04972,7776987.88055,8340747.896720001,8997985.01987,9346122.30477,9798015.220999999,10269022.322250001
alpari bank,20940.52561,18734.83601,23761.59254,33639.0758,67741.09059,55388.22433,56095.44592,55616.04399,55536.24562,49699.574759999996,39018.30485,35412.39311,31143.0399,18952.17297,15755.784029999999,16766.73508,16777.28509,17606.26519,16539.14343,37884.90509,38082.13339,40628.58195,37866.638119999996,32721.828350000003,34404.65799,34398.09192,36776.95938,36175.2423,40478.12154,36069.75617000001,34458.813149999994,38441.43060000001,41926.644850000004,7216.624849999999,9447.43721,9293.75634,17903.581,19496.970139999998,66390.4894,66906.75953,66393.3041,19460.97196,14970.06099,14962.05949,14953.73225,14936.4609,12217.9354,12153.51557,12085.86605,12089.61472,12092.36018,12096.47674,12088.13183,12097.27189,12090.00366,12087.85911,12102.36168,12162.7095,12097.39331,12050.0,12059.63493,12050.0,12050.0
altbank,141300.91545,167814.07621,155790.87264,168826.74291,176557.28255,183957.92947,175139.7529,149278.04831,132579.91439,155115.45689000003,162907.47854,282896.46308,277370.87162,291261.14043,268066.40847,273942.91381,253158.09005,265838.43709,290810.59034,298953.0188,289511.88283,329303.11591,349669.66843,338561.77902,376749.53343999997,362218.37103,344972.91185999993,352597.69795,344014.23128,346092.93144,462296.60948000004,396647.32736999996,380371.70588,418477.01963999995,414579.98271,328733.31452,295919.49620000005,323926.72342000005,364469.78907,357340.63564999995,348497.0778,310436.85079,320824.99575999996,396432.73581,341461.39329,364316.462,352409.12866,347182.45973,327124.50863,318891.14126,317624.86976000003,277583.27341,294067.69208,285633.28905,274349.33232000005,284338.01833,303562.4098,314323.8967,340397.71667,321426.81791999994,292481.16992,308276.89207000006,296035.07629
ap bank,348960.32698,389666.00162,418392.36327,497210.08856,557348.60398,596112.54094,617547.70027,633368.11992,642720.05351,610525.81557,580554.9205,523905.01803,559498.92371,551184.65913,592415.10589,681541.71137,710629.3113299999,720598.7586500001,747660.22763,783781.90408,761984.46719,728279.20112,651626.3859500001,595687.2525299999,712505.3975900001,785094.04198,869896.98108,1001112.77923,1121064.4836199998,1142022.0505,1193111.2795699998,1248950.44005,1222282.71963,1205721.77584,1189636.39016,1183714.7175800002,1174375.7917499999,1156817.69288,1090155.1325100001,1109573.45575,1114556.97932,1117149.8212700002,1116442.03552,1141641.3457,1122064.7039599998,1046023.6771600001,986351.7949399999,894761.07049,806662.32746,811895.4525,801853.81705,786062.10213,788375.32085,816732.99707,829144.4361199999,842790.19164,861213.5087100001,839626.6153099999,821824.4391099999,777693.84179,823249.4673599999,890857.4557100001,1003129.76732
asvio bank,329892.66663,306158.54501,290405.03953,296471.47726,354391.60677,395369.01478,383624.29233,413837.99724,404451.38172,399732.5110100001,401064.46927999996,389510.12432000006,390823.05309999996,382127.55210000003,401117.56889,415362.67024999997,426703.76133999997,414365.86307,409078.2501,419654.03076,386834.37644,370189.97571,363523.61185,319306.78089000005,332941.83831,324629.70082,346577.31194999994,351013.08671,387452.4727,400636.48474999995,392413.76768000005,392616.11124,480287.6111,501524.16971000005,529845.8431,543904.06571,558364.78957,550474.9638300001,559597.19148,578604.8085699999,592420.3814099999,586546.5196799999,567468.8889199999,577136.26805,622702.07955,629272.6814299999,617281.7571899999,634973.5373099999,622553.03481,628614.67152,638736.67703,624919.0904000001,617323.1397999999,591560.8925699999,598533.33828,574072.3902799999,609303.02223,632167.38505,645979.86484,627397.52905,675426.9581699999,718997.8407199999,679902.6527799999
b concord,548832.31782,592654.77784,607773.73553,615178.22339,615334.13918,629277.10469,645208.94434,664773.98068,691123.39871,703411.4704,745604.6681499999,788499.8082999999,738478.1085,726646.9049900001,747229.09522,802711.22095,762887.4686700001,773511.16679,778418.7354199999,838334.7617899999,833783.4004200001,845355.0965199999,829859.60016,805223.686,750032.73532,759684.3315999999,766574.95419,714496.8536900001,709164.87959,704882.51249,680440.95017,685833.85729,689278.95552,678679.24742,685037.79455,703006.04774,738173.4150800001,746897.2378,782845.06755,763273.1454800001,676428.03912,680576.6502599999,739746.59529,874542.0590799999,840163.77723,761928.48474,747771.21562,763599.65239,895263.0840299999,880877.0237,884913.30071,888057.67597,904171.7841999999,907402.40353,896935.1217000001,,,,,,,,
b industrialbank,,,,,,,,1985152.48908,1952794.66089,2019511.90097,2059917.0891099998,1917611.5676699998,1919248.42795,1904464.1247599998,1884064.37207,1950526.7033200003,1908071.21223,1886377.5384499999,1953980.2302799998,1954663.55251,2107621.5533200004,2128164.03216,2152633.37606,2076862.97503,1880695.00623,1803862.8424200001,1934393.5364700002,1896136.1912699998,1916445.6642999998,1744971.69222,1784386.78002,1884956.14068,1842927.1970499998,1662207.7286600003,1886057.97857,1987146.69408,1807712.9313400001,1743520.57265,1856153.9778299998,1825926.9781499999,1728398.02325,1714953.58704,1689718.71031,1869990.14288,1857075.748,1861628.5151199999,1864523.00276,1850265.98862,1857618.89195,1820095.76343,1184771.65365,1163407.89879,1151739.99759,1154862.93338,1149445.59237,1150284.3365,1148990.1503,1143303.68385,1136358.5156399999,1129818.5360500002,1139667.69267,1131821.81473,1105767.71242
b lviv,1393762.25382,1405763.25899,1454781.08048,1533554.34912,1581091.30257,1640522.45913,1651268.48153,1664879.87648,1685300.75474,1676397.11801,1840151.2849800002,1897295.56745,1940280.10864,1990645.07643,2061237.1610400002,2269849.61444,2221718.13124,2253871.4567400003,2290508.63042,2432901.93773,2489581.87018,2577357.46273,2752611.11379,2880536.63196,3023687.92355,3060044.8213299997,3160723.0390900006,3355978.86968,3537743.91568,3617466.8138200003,3789343.4943,3913328.90446,4000679.29415,4150692.4824200007,4194807.72069,4381110.230390001,4580241.49,4616179.24867,4675235.07711,4642711.46537,4602986.776469999,4591756.677420001,4485073.161909999,4569841.584869999,4519104.09171,4403759.65981,4484085.9797600005,4558960.18814,4574802.25672,,,,,,,,,,,,,,
bank 3/4,285213.8999,290809.48574,285437.07931,280166.65048,278420.79237,274802.603,296966.37723,282503.27365,280150.89999999997,297613.82226,298736.26205,295956.76311,292020.76858,287069.81014,232326.29419,223626.25112,213506.69607,197710.04316,184476.11599999998,186945.79393999997,183356.73002,186453.27234000002,183504.41021,167333.18168,179829.74296,175476.1166,152594.28592,179334.31307,177167.02568,162175.90963,167508.26700000002,155394.89431,140890.25232,139835.97579000003,93079.36628,127384.27888000001,121308.48498000001,125193.33674000001,140922.72155000002,141353.00253,136100.85418,125291.45908000002,120769.66386000002,130495.48591999999,110694.48444999999,105284.86195,101949.02144000001,83773.63904000001,79511.66829,70275.92769,40924.56079,52352.39063,50356.961639999994,48567.25313,48725.34195,48370.04322,46331.684590000004,67073.18552999999,68973.70687,46163.38687,49238.41718,56346.47029,59458.76362
bank alliance,1398872.88397,1809499.79468,1977584.39385,2029325.59635,2058653.96526,2109973.34601,2225747.33778,2184076.54297,2091346.6338099998,1986336.46536,1959214.61745,2099257.02848,2347172.4461000003,2375570.3658100003,2390880.83568,2564108.11707,2429194.7567399996,2667254.58157,2827492.45927,2925253.10372,2940733.0339099998,2940377.23331,3035640.11988,3093708.00663,3008780.54774,3411389.2698600003,3432205.8227,3493594.1752500003,3662363.97537,4224710.17499,4851318.75695,5160669.07368,5361407.563639999,5947612.18238,6130035.540630001,6400814.73062,3906927.6469199993,5013282.02632,5434512.09122,5211516.517,5124025.89994,5246904.15408,5187360.11986,5136911.82953,5027685.16432,4640843.039600001,4423485.54161,4117096.4956300003,4517026.665150001,4460446.811939999,4289345.75161,3991523.20402,4141168.05885,4182202.82678,3818296.88164,3867469.0927700005,3811845.72433,3775485.52078,3785689.5488400003,3791571.33918,3717686.08066,3653949.81848,3886432.46341
