Bank,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01
a-bank,1515439.98301,120668.25661,229948.06115,387017.25009,524244.5199,661611.68322,788692.40262,938137.53978,1124217.96135,1283079.2817900002,1481459.55052,1677532.79623,1855644.84883,196588.96612,406857.37702,521162.6196,675878.3631300001,855432.38735,1028310.74105,1227041.20968,1423629.32972,1623685.54175,1837206.75611,2048387.69495,2285792.26248,239751.29544999998,473179.14703999995,658386.2778,912727.11358,1146434.68062,1393713.8025,1643969.81867,1938018.67006,2219248.2423,2501404.13039,2801611.6479,3129052.19179,306457.33092,594857.9770699999,987438.73166,1344878.05749,1828035.93989,2418233.73863,2936270.80992,3285059.9438,3760832.27771,4102735.2179099997,4389118.40711,4433510.285180001,334724.61569,629300.16181,880728.72476,1121244.6925300001,1366486.7975100002,1660804.58086,2012671.11704,2316090.63264,2682259.3143200004,3082956.00245,3469826.29458,3810052.38525,488364.58158,878558.5220499999
alpari bank,36839.29889,3898.46285,7138.17326,11303.37958,16173.74343,20617.62421,25152.72299,29178.40294,33229.16925,37052.02207,40749.41453,43512.14301,46422.316829999996,3311.0744900000004,5546.17029,10191.62339,13729.49561,17541.37591,20670.91186,23686.78291,26436.27191,29955.21928,31865.084580000002,34298.00599,37465.17039,1785.28087,4081.9533,5365.23092,9085.12578,13313.91699,16950.85038,21286.28459,23606.87525,25155.28064,30852.87579,32450.289580000004,38262.13834,2078.5228899999997,4634.98387,6742.46358,8858.93066,11018.31208,13116.269880000002,15799.028339999999,17997.31756,20227.0477,22468.87386,24536.00864,26925.514450000002,2567.84061,4827.74676,7981.088650000001,10828.811520000001,13651.85956,16374.8502,19145.867280000002,21558.920489999997,23844.70696,26011.09984,28638.00702,30835.98635,1918.11842,3558.52673
altbank,77718.93197,7588.67294,13145.58339,19260.42285,25704.66668,32626.65186,38688.21772,44831.3046,51987.625289999996,58811.359090000005,66062.43310000001,74624.7252,85577.85775000001,8311.367069999998,13807.8688,23866.52711,30618.35601,36215.32576,42748.52734,53214.71234,63487.78084,72917.34095,81611.12495,90028.92224999999,99061.30779,8947.98673,16652.90392,25546.96789,33899.01057,41796.815879999995,50241.09928,60520.35044,69491.57097,78767.242,88298.0883,98926.04002,110511.62008,10504.69705,20077.51443,27610.29493,37679.76932,48627.58784,59951.57494,72310.58570000001,83170.94858,94674.97436,107959.17236,122207.02419,138646.77803000002,19343.315919999997,35981.99889,54279.76307,67498.64029,82112.75723,96902.17519,112563.37993,128273.45951999999,145227.8244,162511.67090000003,179777.46984,198449.19978,17771.42042,35403.026840000006
ap bank,106793.51868,9670.92437,19935.43744,33707.85453,44232.60451,54307.06559,62966.88565,73482.48178,85277.46363999999,95313.71983,107464.20474999999,116920.98248,127848.29148,11248.12793,19919.71467,33069.095859999994,41318.11606,49350.912319999996,57197.2133,67537.73466,77753.11290000001,87831.05705,99489.82435000001,109809.20902,119157.42068,8641.47388,19971.69011,31608.41533,45547.73685,58175.77371,69962.64044999999,83849.05075000001,97998.51844,111826.26466,126583.16507,143271.91608999998,158236.10151,12131.24853,24739.2981,34282.486820000006,44172.98197,54564.73135,64066.95577000001,77902.67649,88564.74115,98842.239,112570.24183,129426.22223000001,148459.38145,20189.803770000002,37393.93306,56082.817149999995,72071.73956,91682.518,110316.20681,130077.01258,152848.13187,173254.78751,191940.31462000002,213470.47875,235132.52419,20450.59296,39939.44094
asvio bank,133387.31314,10445.64525,21217.12072,31954.13575,43173.17373,56390.64126,67074.50786,77491.27104,89189.48197000001,99331.47796999999,111577.38845999999,123059.39515,131028.08204,11306.65258,20933.978929999997,36113.92618,44190.64074,54258.40889,64111.082879999994,76440.24492,86844.24463,98317.98427,109142.67354999999,119645.29091,131022.67882000002,9295.70688,19480.12728,32154.604929999998,44441.32776,55419.91143,68390.64609000001,79888.05144,92472.52975,103985.6098,116871.15688,132859.76951,150262.84025,17256.76947,31817.25538,44417.5992,55893.39682,69672.69260000001,86021.03853,105319.93245,118611.63937,132401.53841,146060.58056,160947.42357,200306.75994000002,16333.939959999998,32961.74244,52106.75821,69801.61709,89744.3627,112149.84135,135882.06724,158741.94383,180335.31875,235348.08738,267246.26743,311855.73991,48873.59756,82130.07678
b concord,152259.80179,18003.62462,35073.62201,52550.60651,72554.09305,92660.02652,115248.32608,140650.00927,173362.94934,203300.20536,238829.53343,275275.81163,316536.43785000005,38849.44333,85458.24204,136415.93931,174707.71185999998,220327.31545999998,257782.51864999998,309196.45135000005,357905.01678,407797.09447,464022.60257,521109.49352,576861.78839,56633.83225,106179.06773,152581.29181999998,216139.15191999997,294745.01822,359180.64958,433811.29041,530625.40489,632851.60292,727705.10707,807208.59199,894755.9975399999,77143.12255,147556.71831,271045.70322,393787.37689,478563.36983,582734.8865400001,738880.4089599999,833728.86085,933036.27381,1043737.41075,1153354.29908,1338269.3866899998,155242.43221,302784.34828000003,402688.17845,485170.11925000005,566168.12137,648394.44092,,,,,,,,
b industrialbank,,,,,,,,294997.79463,335635.46072000003,370356.02889,417968.45521,449698.93555,492380.12056,46057.83812,77524.69434,176158.36946,217322.29283999998,242443.84655,346375.06936,410935.90655,442771.10411,495357.26938,522469.19427,550302.90963,515475.95088,34411.57037,64776.52059000001,108839.7862,130984.70452999999,157513.27753000002,189131.44098,230587.31404,256754.59133999998,296421.85341,339212.83758,395611.06853,442480.93781,83910.30486,113315.07172,161559.44590999998,195768.47667,219299.14559,215598.23785,303850.37287,326842.58887,338222.15045,358329.32247,374398.83732,364646.47707,15953.83408,56587.46054,70984.15736,86955.74072,105227.3915,125760.78122,147011.6488,166678.82573,186197.37014,206646.28086,224628.07629,253081.14205000002,20331.41896,43479.496849999996
b lviv,144844.83494,15351.82553,28936.98013,43043.84816,58663.12383,74355.36393,91136.20338,109439.98406,128136.29594,146766.74181,168115.47978999998,188120.57562000002,219923.05436,20984.165839999998,39984.411960000005,62326.754530000006,81941.80657,102449.7246,123381.35511,146968.51267,173788.81044,200319.26431,226565.99698,253295.41873,285676.52368,24914.613070000003,49140.57251,81117.88384000001,117554.67506,151805.0992,188482.03951,222934.51594,261785.90983999998,301672.37198,342190.50425,385179.75594,431209.34803,46493.27522,88475.65265,129076.77588000002,166345.82305,207700.64966000002,253555.79036,303098.79558,361254.58504,420513.34044,526496.9220499999,584963.7390200001,651394.1256,,,,,,,,,,,,,,
bank 3/4,366609.5384,32622.75143,54269.30492,88537.24517,119142.74095,145937.54384,172186.8465,199448.75702,223801.30667,250121.55118,285361.34025,304747.44366,326477.44116,20756.54109,35036.016279999996,105044.98133,150650.89208000002,180202.37221,211596.38874999998,245419.97991,278586.56477,300557.30946,330478.81079,354591.39283,378248.69231,14711.80348,30329.22475,48576.41066,66822.17135,90154.17224,111471.84537,133595.41415,171676.81855,189718.33806,209628.63821,228008.92339,249646.36031000002,17297.65778,50848.51419,61841.069650000005,75660.45429000001,94893.15843,119298.4263,153926.62388,162520.49734,180656.20286000002,202359.07499999998,225679.47256,261004.53705,35924.84624,109511.85909,141944.39325,172425.71275,221452.08242000002,250264.55945,278619.37564,294708.81992,342183.83873,381327.95722,424095.30230000004,466073.49646,17879.75474,44015.71122
bank alliance,350648.4684,25031.6387,53038.44943,81133.42601,107851.67898,138660.78503,166525.81525,197771.66104,231608.66551999998,266708.64203000005,329207.03275,360655.68463,402704.97851,41491.53364,76111.05245,112057.15025,147932.01808,184978.59526,240264.70824,286814.4068,330794.2227,391660.66638,455702.94888,497725.4632,614041.5005600001,52610.52374,136240.2993,238845.51437,324650.75195999997,409544.8634,477098.45851,550955.96395,630574.172,726123.21656,826042.94581,963944.14369,1103520.6804699998,87193.05553,137750.36893,163808.88402,195265.36576000002,270518.74622000003,314947.00687,615945.95908,645569.5347,656471.43551,814944.88912,1231800.89173,1277580.6972,52893.90737,96127.35144,187390.3269,255950.53453,334360.9377,454633.81653999997,560028.13749,638939.01988,752386.66129,874845.75934,975246.72594,1120510.3298,128054.41148,258413.94584
bank avangard,125621.69506,12733.29671,17711.69586,27501.28616,38308.50097,49554.72178,61585.44366,72188.10005,79524.46836,87435.58919,98007.44442,104004.89491999999,111228.65249000001,5753.5467,10214.858,21205.801659999997,27970.467549999998,38806.54363,49837.9064,60479.501829999994,69561.99725,81651.80978,91498.5665,97240.79439000001,104881.66956000001,8838.462169999999,17718.79855,25039.6996,35718.00452,42828.64911,49108.428609999995,53518.37062,59366.09328,66729.17857999999,73442.06986999999,86635.07698,98709.61746000001,14080.132730000001,25248.83688,34977.37108,48222.73954,60522.53403,81321.25684,119717.69507,158344.74483,263743.7884,376558.26779,508030.65368,722715.6252700001,175939.62872,185852.37761,195992.06342,210437.76731,226254.19315,240094.13796000002,254424.03464,268036.69554,281049.22028,293754.44950000005,307423.11233,320354.62991,8882.193510000001,18223.527430000002
bank credit dnipro,1028013.37536,58181.48969,24545.40133,250523.84207,235735.06969,315152.57923,394687.3782,782497.63889,850587.7514500001,802877.67656,947334.28468,918989.52532,1368174.22935,61300.08127,115482.2569,160477.78205,206574.66644,255938.99718,452478.0492,502115.77182,581079.1028999999,919181.40659,1029797.69629,1147042.88341,1490436.06967,117560.64421000001,295985.81392,424642.14404,728557.99871,806257.00448,1401490.34241,1525020.43417,1634436.54887,1718310.7650300001,1864893.36661,1972639.009,2156311.76577,153089.83771999998,252530.30628,310925.95288,401033.65932000004,516078.48661,993147.3194,1112154.5524799998,1160931.50804,1322694.1380599998,1342795.36177,1523535.85803,1653177.68971,153031.48554,247074.27435,390033.08335000003,430040.40241000004,501145.96322,690999.66183,718779.4956499999,828234.38987,921806.02747,1050090.11602,1193114.65576,1348249.18641,132213.89964,295603.91492
bank familny,41201.15753,4928.37367,6864.15841,11860.11759,14481.10623,19276.87032,21580.90636,23328.3642,27560.44153,29192.11718,35079.17808,37043.18731,39495.1205,7285.10575,11144.96148,22989.29229,24986.71636,28829.04294,32405.02607,37818.21422,41832.26683,44255.71305,48245.324029999996,52069.72374,57003.08397,4440.34121,9016.109540000001,13913.04746,18667.852629999998,23082.767310000003,27795.0649,32700.524719999998,37840.820190000006,43011.08116,48415.71294,54054.06369,59999.32141,6115.674730000001,12051.32249,16444.553849999997,20868.0001,25410.39087,30198.15457,37408.02498,43491.40276,49385.73257,56040.94347,62696.25088,70169.89299,8145.91231,15325.98242,24076.22491,31773.15685,39062.53806,46501.96819,54430.433639999996,61258.343199999996,67910.66522,74662.92727,81436.96645,88741.04943,6897.7405499999995,13751.34507
bank for investments and savings,509815.56161,43847.94769,77151.5601,126384.49039,168626.32965,225091.00267,269089.88295,313497.08955,360733.32319,403511.92988,467568.48997,516465.29400999995,571738.30857,52110.59272,98716.86812999999,182484.00944,242595.82886,299603.4818,379361.31173,455813.03231,542084.69867,609163.55124,661494.35575,712316.43522,764708.88902,43940.88368,87202.57341999999,135696.26077000002,179620.61739,226866.12852,266058.23988999997,313537.50437000004,359231.70600999997,400476.70023,446471.72211,495508.11023,535805.1283900001,41130.09467,72599.72662,103097.28525,128417.76286999999,155685.93062,188537.89902,243050.75122,264296.28361,292077.32943000004,317205.03516,343686.11835,372243.0109,28572.79764,55538.5221,83246.59237,109702.95606000001,139714.37186,170496.02557,203890.1664,240006.28784,278017.23201,311224.94347999996,344167.14584,382272.06640999997,30426.84593,64488.977430000006
bank grant,187787.72218,16035.25956,28308.46922,44174.94876,59308.55158,74687.78184,88315.69698,103267.90613,119099.83223,134580.67303,151556.60103,165700.35822,187565.54337,16402.25447,32545.7682,53167.8222,65377.242170000005,79034.3091,92056.08449000001,106880.04866999999,120584.29746,134625.45473,149947.08637,164438.42238,185017.40594,15710.976990000001,32208.537399999997,49174.5495,65356.695490000006,80935.91343,101544.88739,117391.22564,136242.10579,151127.85275,165817.58722000002,184970.79313,207143.47229,19387.11382,35217.91641,47900.5889,61628.87772,77520.58592,97288.94425,121050.26336,140969.16418999998,158693.50628,177151.962,203106.56277000002,229489.88288000002,23063.15355,44193.42298,68020.49441,88454.74317999999,111950.85187,139689.84144999998,164860.92111,189991.08973,212505.28169,235032.37229,257031.59931,278719.38821999996,26059.12411,45464.72616
