Year,PR
01/2019,
02/2019,
04/2019,
05/2019,
06/2019,
07/2019,
08/2019,1.1779166666666683
10/2019,1.1179166666666696
11/2019,1.1141666666666659
12/2019,0.7462499999999999
01/2020,0.8241666666666667
02/2020,-0.6462499999999984
03/2020,-0.3274999999999988
04/2020,-0.30125000000000135
05/2020,-1.0074999999999985
06/2020,-1.5370833333333316
07/2020,-1.631666666666666
09/2020,-1.1741666666666672
10/2020,-0.887083333333333
11/2020,-0.6883333333333326
01/2021,-0.6099999999999994
02/2021,-0.6775000000000002
03/2021,-0.4091666666666667
04/2021,-0.05750000000000011
05/2021,0.19875000000000043
07/2021,0.042500000000000426
08/2021,0.05916666666666792
09/2021,-0.5074999999999985
10/2021,-1.8808333333333316
11/2021,-3.404166666666665
01/2022,-4.033333333333333
02/2022,-4.835416666666667
05/2022,-6.266666666666669
06/2022,6.331249999999997
07/2022,5.949999999999999
08/2022,4.574999999999999
09/2022,3.2354166666666657
10/2022,1.9583333333333321
11/2022,0.7083333333333357
12/2022,0.04166666666666785
01/2023,0.016250000000002984
02/2023,0.15749999999999886
03/2023,0.5179166666666681
04/2023,1.1699999999999982
05/2023,2.003333333333334
06/2023,
07/2023,
08/2023,
10/2023,
01/2024,
02/2024,
