,pivdennyi bank,fuib,ukrsibbank,credit agricole bank,universal bank,otp bank,raiffeisen bank,cb privatbank,oschadbank,kredobank,sense bank
01/2019,,,,,,,,,,,
02/2019,,,,,,,,,,,
04/2019,,,,,,,,,,,
05/2019,,,,,,,,,,,
06/2019,,,,,,,,,,,
07/2019,,,,,,,,,,,
08/2019,-0.02023967035651191,-0.01197414336080016,0.01129725379010435,-0.00359124321211321,0.020778901556660526,0.0025119132928125426,-0.003176266496291172,-0.0002216586121146502,-0.003152725210468943,0.0017778617837720667,0.00799595287416216
10/2019,0.002043558861402117,-0.00147203266762308,0.0186993724950512,-0.011751459438384099,-0.0035631238198690074,-0.002353729361969051,0.008152771112024976,-0.00034555952319004213,-0.010635220198277562,0.003479688784098975,0.04562403016059735
11/2019,0.00961616740413955,-0.0017527394811465424,0.022021367452689088,-0.012923035946574242,-0.000617228416545143,-0.004363626717812069,0.006588436196440034,-0.0019891783227511395,-0.009554952494496005,0.002531778871282142,-0.0033349127700087466
12/2019,0.013315977900485151,-0.023398313716205682,-0.023851228223945906,-0.005677157578734632,-0.010295771504638701,-0.013086456048511455,0.0016529676962649675,-0.0017429086255547066,-0.013150414768609564,-0.0003338588159490924,-0.011783090081726705
01/2020,0.013997002014032131,-0.017763746350683618,-0.018924245207131152,-0.003107911607541633,-0.008436277783927484,-0.005143851590247134,-0.002037741420155184,0.0008497396731868001,0.00267932515968039,0.0031481092860163734,-0.0005227686674393328
02/2020,0.009012344198685893,-0.01471050181253955,-0.014197737812924143,6.555755946813235e-05,-0.007575477408224299,-0.0072946417000375186,-0.0002655709250700411,-0.0006701986786024072,0.011567443557868984,0.008661965461211507,-0.008538424323791316
03/2020,0.0074359634921652845,0.0005306458124994529,-0.013689349002177175,-0.000789059263981283,-0.003381667201004697,-0.006134400257252787,-0.00522852129567275,-0.0019007464172509092,0.03296154577694299,0.007318288098585535,-0.00605442204521664
04/2020,0.012310145719833479,0.0015202831355955737,-0.006647070053970651,0.004952430027728244,0.0043288043101657805,-0.0018353518946088443,-0.0037392572995761097,0.0006281603378506251,0.04191844010871404,0.0005809277686554815,0.0038946433455579743
