,NIA
01/2019,
02/2019,
04/2019,
05/2019,
06/2019,
07/2019,0.1432028604414074
08/2019,-0.010871207424967
10/2019,-0.0608836929765738
11/2019,0.0435765731318467
12/2019,0.0757179214648523
01/2020,-0.0529243489671912
02/2020,-0.0496707901751264
03/2020,0.2542309151793319
04/2020,-0.0624655335261736
05/2020,-0.0663924706182666
06/2020,0.0396620437568163
07/2020,-0.0416540279114745
09/2020,-0.061472251579347
10/2020,-0.0757520063875623
11/2020,-0.0904556979867359
01/2021,-0.0966304248368886
02/2021,0.1563148970722793
03/2021,0.3388152289075276
04/2021,0.018435731170448
05/2021,-0.0759671000281428
07/2021,0.0560934667351805
08/2021,-0.1112893357350668
09/2021,-0.0573403329143309
10/2021,-0.0314835807935747
11/2021,0.1618599676467156
01/2022,-0.0318370821088221
02/2022,-0.0357709405504325
05/2022,-0.0664038920754795
06/2022,-0.0133399375950645
07/2022,-0.0640276126175805
08/2022,-0.0453497516783201
09/2022,0.2217947376547687
10/2022,-0.0466964493513305
11/2022,-0.0031201880390076
12/2022,0.0387749546321076
01/2023,-0.0830667196053154
02/2023,-0.0341968265024534
03/2023,0.0868258844376707
04/2023,-0.0294614998525703
05/2023,0.0369370394468284
06/2023,-0.0009722978395314
07/2023,-0.0625172405935257
08/2023,-0.0619080551574777
10/2023,
01/2024,
02/2024,
