date,INF
2019-02-01,8.6
2019-04-01,9.6
2019-05-01,9.0
2019-06-01,9.1
2019-07-01,8.8
2019-08-01,7.5
2019-09-01,6.5
2019-10-01,5.1
2019-11-01,4.1
2019-12-01,3.2
2020-01-01,2.4
2020-02-01,2.3
2020-03-01,2.1
2020-04-01,1.7
2020-05-01,2.4
2020-06-01,2.4
2020-07-01,2.5
2020-09-01,2.6
2020-10-01,3.8
2020-11-01,5.0
2020-12-01,6.1
2021-01-01,7.5
2021-02-01,8.5
2021-03-01,8.4
2021-04-01,9.5
2021-05-01,9.5
2021-07-01,10.2
2021-08-01,11.0
2021-09-01,10.9
2021-10-01,10.3
2021-11-01,10.0
2022-01-01,10.7
2022-02-01,13.7
2022-03-01,16.4
2022-04-01,18.0
2022-05-01,21.5
2022-06-01,22.2
2022-07-01,23.8
2022-08-01,24.6
2022-09-01,26.6
2022-10-01,26.5
2022-11-01,26.6
2022-12-01,26.0
2023-01-01,24.9
2023-02-01,21.3
2023-03-01,17.9
2023-04-01,15.3
2023-05-01,12.8
2023-06-01,11.3
2023-07-01,8.6
2023-08-01,7.1
2023-10-01,5.1
2024-01-01,4.3
2024-02-01,3.2
