date,RA
2019-02-01,0.0828618441528593
2019-04-01,0.0891117421579295
2019-05-01,0.0797502335067761
2019-06-01,0.080417194577871
2019-07-01,0.0838763029734062
2019-08-01,0.0892367270707027
2019-09-01,0.0930953933416522
2019-10-01,0.0969596264471988
2019-11-01,0.0961525844032593
2019-12-01,0.1011341435623665
2020-01-01,0.0993927184330945
2020-02-01,0.1017846487100496
2020-03-01,0.1079428474286862
2020-04-01,0.1021657225955811
2020-05-01,0.1087948913213785
2020-06-01,0.0948325229783221
2020-07-01,0.094089991445848
2020-09-01,0.0971314722622423
2020-10-01,0.0955815609523749
2020-11-01,0.0992475910645694
2020-12-01,0.1018376195346976
2021-01-01,0.0974941123884409
2021-02-01,0.0994091421795029
2021-03-01,0.0990657983512453
2021-04-01,0.0997638686160821
2021-05-01,0.0891594079779264
2021-07-01,0.0926199348591324
2021-08-01,0.0961254604967807
2021-09-01,0.1005517116034027
2021-10-01,0.1031419951104436
2021-11-01,0.1059925053441794
2022-01-01,0.1101558007615299
2022-02-01,0.1132322877589685
2022-03-01,0.1143908909012152
2022-06-01,0.0900012648224929
2022-07-01,0.1038625671538444
2022-08-01,0.1024421486886149
2022-09-01,0.1045365539025408
2022-10-01,0.0909223931606275
2022-11-01,0.0913226099459913
2022-12-01,0.0897867637942411
2023-01-01,0.0846699956834389
2023-02-01,0.0906862691997669
2023-03-01,0.0917455811436651
2023-04-01,0.0974638902408523
2023-05-01,0.0871570532812898
2023-06-01,0.0932161531156667
2023-07-01,0.098240327189384
2023-08-01,0.1026078541531718
2023-10-01,0.1118837344592368
2024-01-01,0.0956591254803999
2024-02-01,0.1018647754223037
