date,NIM
2019-02-01,0.0046527860922236
2019-04-01,0.0038092896201474
2019-05-01,0.003902447689442
2019-06-01,0.0037344474698295
2019-07-01,0.003837805457319
2019-08-01,0.0037545127466902
2019-09-01,0.0037544202975996
2019-10-01,0.0039508031863534
2019-11-01,0.0037876904777333
2019-12-01,0.0037786161060033
2020-01-01,0.0039620852562198
2020-02-01,0.0037048907354835
2020-03-01,0.0038496397686933
2020-04-01,0.0037317495079502
2020-05-01,0.0037682121570445
2020-06-01,0.0036376378652134
2020-07-01,0.0039980161134072
2020-09-01,0.0036988092157273
2020-10-01,0.003917860513685
2020-11-01,0.0040156493040142
2020-12-01,0.0040754203174019
2021-01-01,0.0044405906915744
2021-02-01,0.004096789464158
2021-03-01,0.0045639087615676
2021-04-01,0.0046065239825885
2021-05-01,0.0047871104191318
2021-07-01,0.0051001348882638
2021-08-01,0.0049966078466475
2021-09-01,0.0051769512360006
2021-10-01,0.005276870859065
2021-11-01,0.0054164482310246
2022-01-01,0.0056613044075377
2022-02-01,0.0051472204263099
2022-03-01,0.0048849400779455
2022-04-01,0.0051732327575054
2022-05-01,0.0052730757781977
2022-06-01,0.0058021159253359
2022-07-01,0.0062041392118008
2022-08-01,0.0057826862969337
2022-09-01,0.0064729622240621
2022-10-01,0.0066606630110757
2022-11-01,0.0068303760273592
2022-12-01,0.0070025833995572
2023-01-01,0.0068634189930657
2023-02-01,0.0059239093300682
2023-03-01,0.0064493739316505
2023-04-01,0.0061593991152843
2023-05-01,0.0062931304654011
2023-06-01,0.006271042429397
2023-07-01,0.0068314737367392
2023-08-01,0.0066829917560651
2023-10-01,0.0064839138737726
2024-01-01,0.0063358150337604
2024-02-01,0.0059338270103713
