date,NIA
2019-01-01,0.5511419368531739
2019-02-01,0.6137676663104338
2019-04-01,0.5711091369318897
2019-05-01,0.4681129059662979
2019-06-01,0.4076091915928294
2019-07-01,0.579114457978769
2019-08-01,0.388710471523852
2019-09-01,0.612055008287755
2019-10-01,0.6287756621749622
2019-11-01,0.500818425239512
2019-12-01,0.5031160894603186
2020-01-01,0.4658155598682564
2020-02-01,0.3864643177136605
2020-03-01,0.5017799247969207
2020-04-01,0.3620019081512256
2020-05-01,0.5750159360602548
2020-06-01,0.5555567243135325
2020-07-01,0.5173040967675603
2020-09-01,0.4952548943340932
2020-10-01,0.573736312660626
2020-11-01,0.5746637270037458
2020-12-01,0.5676464980569939
2021-01-01,0.7358574208953048
2021-02-01,0.8950078923066829
2021-03-01,0.6852559237650723
2021-04-01,0.5401227984751158
2021-05-01,0.6492370480415658
2021-07-01,0.525535836397508
2021-08-01,0.6797764147617642
2021-09-01,0.6906099153276648
2021-10-01,0.6775965168326955
2021-11-01,0.6115086535834223
2022-01-01,0.671825630929849
2022-02-01,0.6238312831196977
2022-03-01,0.6771493739935743
2022-06-01,0.5444399572113543
2022-07-01,0.3806067483683082
2022-08-01,0.3921418105269232
2022-09-01,0.8319795172353677
2022-10-01,0.6680765714245225
2022-11-01,0.6403293817972763
2022-12-01,0.6439132188753496
2023-01-01,0.5962112037762702
2023-02-01,0.8611212560164601
2023-03-01,0.5613240977664804
2023-04-01,0.741016679353522
2023-05-01,0.709860245214594
2023-06-01,0.593892516131472
2023-07-01,0.624309355351213
2023-08-01,0.6986753006982397
2023-10-01,0.7154069656725615
2024-01-01,0.6611367451468174
2024-02-01,0.7919335038258637
