date,PR
2019-02-01,18.0
2019-04-01,18.0
2019-05-01,17.92
2019-06-01,17.5
2019-07-01,17.5
2019-08-01,17.29
2019-09-01,17.0
2019-10-01,16.58
2019-11-01,16.27
2019-12-01,15.5
2020-01-01,14.27
2020-02-01,13.42
2020-03-01,11.0
2020-04-01,10.39
2020-05-01,9.53
2020-06-01,8.0
2020-07-01,6.73
2020-09-01,6.0
2020-10-01,6.0
2020-11-01,6.0
2020-12-01,6.0
2021-01-01,6.0
2021-02-01,6.0
2021-03-01,6.0
2021-04-01,6.44
2021-05-01,7.0
2021-07-01,7.5
2021-08-01,7.65
2021-09-01,8.0
2021-10-01,8.35
2021-11-01,8.5
2022-01-01,8.85
2022-02-01,9.35
2022-03-01,10.0
2022-06-01,10.0
2022-07-01,24.0
2022-08-01,25.0
2022-09-01,25.0
2022-10-01,25.0
2022-11-01,25.0
2022-12-01,25.0
2023-01-01,25.0
2023-02-01,25.0
2023-03-01,25.0
2023-04-01,25.0
2023-05-01,25.0
2023-06-01,25.0
2023-07-01,25.0
2023-08-01,24.61
2023-10-01,20.93
2024-01-01,15.45
2024-02-01,15.0
