date,SCTA
2019-02-01,0.0264539025534145
2019-04-01,0.0269385672575211
2019-05-01,0.036742792000344
2019-06-01,0.0279390814656888
2019-07-01,0.0310964290426913
2019-08-01,0.0304604176466222
2019-09-01,0.0304507041853917
2019-10-01,0.0298203807141071
2019-11-01,0.0308833483948961
2019-12-01,0.0283441942069639
2020-01-01,0.0342891320357452
2020-02-01,0.0288833240721504
2020-03-01,0.0291583651770033
2020-04-01,0.0367882771074792
2020-05-01,0.0357639651403806
2020-06-01,0.0350691046735013
2020-07-01,0.0360192993721744
2020-09-01,0.0360904719878393
2020-10-01,0.035478374628028
2020-11-01,0.0344496321091589
2020-12-01,0.0378856749073424
2021-01-01,0.0411332706602895
2021-02-01,0.0360926871856283
2021-03-01,0.0373006720127111
2021-04-01,0.0380461436749439
2021-05-01,0.0397399730692686
2021-07-01,0.0391545950996729
2021-08-01,0.0378532483126286
2021-09-01,0.0408133388197592
2021-10-01,0.0388643260138611
2021-11-01,0.0353871939665806
2022-01-01,0.0381454121872208
2022-02-01,0.0375484009635582
2022-03-01,0.0328397241336114
2022-06-01,0.0339413042823162
2022-07-01,0.0307785436925971
2022-08-01,0.0285029273356569
2022-09-01,0.0299496668920579
2022-10-01,0.0398101752188697
2022-11-01,0.0322053000665827
2022-12-01,0.0330739748890611
2023-01-01,0.0304542139880024
2023-02-01,0.0341699960946504
2023-03-01,0.0340264823480551
2023-04-01,0.0300561742392043
2023-05-01,0.0283310365855961
2023-06-01,0.0299319308116025
2023-07-01,0.0303483700025203
2023-08-01,0.0286467401551014
2023-10-01,0.0253768607641188
2024-01-01,0.0283455475756991
2024-02-01,0.0338648156823264
