,Bank,Date,INF,PR,CDR,CR,LAS,NIA,NIM,OE,RA,ROA,SCTA,SIZE,is_Credit_Agricole,is_FUIB,is_Kredobank,is_OTP,is_Oschadbank,is_Pivdennyi,is_Privat_Bank,is_Raiffeisen,is_Sense,is_Ukrsibbank,is_Universal
0,Privat_Bank,01/2019,,0.0,0.0363604785781512,,-0.0032793324368286,,,,0.1138158107901194,,-0.1988203130231194,,0,0,0,0,0,0,1,0,0,0,0
1,Credit_Agricole,01/2019,,0.0,0.017211668718674,,0.5435786752755636,,,,-0.0295774320608654,,0.0269349385841561,,1,0,0,0,0,0,0,0,0,0,0
2,FUIB,01/2019,,0.0,0.036836953310239,,0.0429113307465407,,,,0.0776549492603968,,-0.1866606645038138,,0,1,0,0,0,0,0,0,0,0,0
3,Kredobank,01/2019,,0.0,-0.002302872576564,,-0.0464672834404426,,,,0.0281795004259399,,0.4406166034981613,,0,0,1,0,0,0,0,0,0,0,0
4,Oschadbank,01/2019,,0.0,-0.0592855271631518,,0.0042569103142475,,,,0.0134321399716219,,-0.026790111361876,,0,0,0,0,1,0,0,0,0,0,0
5,OTP,01/2019,,0.0,-0.024991653508072,,0.0674619354451147,,,,0.0151552981238347,,0.3042076493762637,,0,0,0,1,0,0,0,0,0,0,0
6,Pivdennyi,01/2019,,0.0,-0.0318118054018206,,0.0604653401479826,,,,0.028299151707759,,0.0854654010086855,,0,0,0,0,0,1,0,0,0,0,0
7,Raiffeisen,01/2019,,0.0,0.0064068173896456,,0.1583513166380972,,,,0.1310452236640784,,-0.2568322026113302,,0,0,0,0,0,0,0,1,0,0,0
8,Sense,01/2019,,0.0,-0.0626920363731856,,0.2561337622607122,,,,0.0249807378171242,,-0.0684696043243039,,0,0,0,0,0,0,0,0,1,0,0
9,Ukrsibbank,01/2019,,0.0,-0.0698823059596515,,0.1013151629605357,,,,0.0496593827152904,,0.170280763378632,,0,0,0,0,0,0,0,0,0,1,0
10,Universal,01/2019,,0.0,-0.0371643425674574,,0.4108767932920139,,,,-0.0468613755304149,,0.151881803691551,,0,0,0,0,0,0,0,0,0,0,1
11,Privat_Bank,02/2019,-0.043478260869565,0.0,0.0157837958961319,-0.0662189786715107,-0.0061856716674887,0.94279577481459,-0.1533654096003593,0.1955902454957305,0.0787222597865082,-0.1552761586612142,0.0635726225648722,-7.792125275762896e-05,0,0,0,0,0,0,1,0,0,0,0
12,Credit_Agricole,02/2019,-0.043478260869565,0.0,-0.0103506704287187,-0.0472136039406957,-0.3843256456434956,-0.915124053374128,-0.1218189962479514,-0.0721238602306553,0.0233859047461655,-0.1290142217884812,-0.0245686901344738,0.0006476874549208,1,0,0,0,0,0,0,0,0,0,0
13,FUIB,02/2019,-0.043478260869565,0.0,-0.0193670209651557,0.0420478785382421,0.0499812268980843,2.0409500749065748,0.1612022479494128,-0.0037454344442627,0.0453018412619046,0.0854150636873287,-0.0936483387260053,-0.0003745245622641,0,1,0,0,0,0,0,0,0,0,0
14,Kredobank,02/2019,-0.043478260869565,0.0,0.0580756643747559,-0.0285333244635555,-0.0486902884938622,0.6502238868512085,-0.0982191106534179,0.0902070340054017,0.0359878910415087,-0.078802449366079,-0.0596116630332982,-0.0016644485492184,0,0,1,0,0,0,0,0,0,0,0
15,Oschadbank,02/2019,-0.043478260869565,0.0,-0.0307564471378047,-0.039391894999475,-0.1091451632877782,1.9802234365798737,1.3730622898637992,2.711646707976002,-0.0208352593882431,0.6774265087705238,-0.022770389625641,0.0007889797412832,0,0,0,0,1,0,0,0,0,0,0
16,OTP,02/2019,-0.043478260869565,0.0,0.0191567010791295,-0.0162925135883088,-0.2083790557573461,0.6873617442682638,-0.1277863164215323,-0.0555906865617682,0.048648997712493,-0.1259087918927878,-0.0130033332590745,-0.0001750064955479,0,0,0,1,0,0,0,0,0,0,0
17,Pivdennyi,02/2019,-0.043478260869565,0.0,-0.0385216158769691,0.0382799320031324,-0.1017988581279543,0.057804539193923,-0.0542858567584121,0.1592270081174458,0.0072143960020796,-0.0659840474306301,0.0957730825105838,-2.577772967959913e-05,0,0,0,0,0,1,0,0,0,0,0
18,Raiffeisen,02/2019,-0.043478260869565,0.0,-0.0388027289470906,-0.0006771015922032,0.1223289047052764,0.3735105191816894,-0.0207277392645666,0.1440609678889113,0.0013954929153843,0.0110437762555439,-0.1014401294513623,0.0007701997180831,0,0,0,0,0,0,0,1,0,0,0
19,Sense,02/2019,-0.043478260869565,0.0,-0.0457374056672149,-0.023122247594889,0.1901712010227123,0.4906996582085927,-0.1407556388668859,0.5514621774645321,0.0355014339759456,-0.1069973185142092,0.0138255151599944,-6.444502592350965e-06,0,0,0,0,0,0,0,0,1,0,0
20,Ukrsibbank,02/2019,-0.043478260869565,0.0,-0.03287274421277,-0.149830122134328,0.0506689599000478,-0.0585454714454708,-0.1249827263835435,2.1268891107650845e-05,0.0433299875937012,-0.0375518208928805,-0.0387284508464228,-0.0005230340893769,0,0,0,0,0,0,0,0,0,1,0
21,Universal,02/2019,-0.043478260869565,0.0,-0.0299630442026932,0.0301169228246751,0.2149739345242896,-0.4998208467661192,-0.0634974444215867,0.0158890474342676,0.0171630290512427,0.1486214820749263,-0.1829465900530905,0.0039739805523579,0,0,0,0,0,0,0,0,0,0,1
22,Privat_Bank,04/2019,0.0232558139534884,-0.0044444444444443,0.0421436515625908,0.0228717456566465,-0.0250854936798535,-0.5348719837645266,-0.0785521178729244,-0.0748663406750651,-0.2264926453005894,0.0332571425942704,0.4845081961081923,-0.0005009859756616,0,0,0,0,0,0,1,0,0,0,0
23,Credit_Agricole,04/2019,0.0232558139534884,-0.0044444444444443,-0.041474624220124,-0.0088316512727666,-0.0229344949279912,-0.2359456932889274,0.0075720945199031,0.1028449203337551,-7.894827450172226e-05,-0.0194865003331279,0.3620735891196067,0.0011729404657598,1,0,0,0,0,0,0,0,0,0,0
24,FUIB,04/2019,0.0232558139534884,-0.0044444444444443,-0.0051039068307653,-0.0767321185908087,-0.2000976329656781,1.1998263935223448,0.0081917542330318,0.1798269298010228,-0.0008618089793004,-0.0695520615980332,-0.0971973844429456,0.0014308361372927,0,1,0,0,0,0,0,0,0,0,0
25,Kredobank,04/2019,0.0232558139534884,-0.0044444444444443,-0.0150722423384195,-0.0010918099368192,0.0162468553845789,-0.3019174755687821,-0.0763853806648562,-0.1394408328169157,-0.0372347873817427,-0.0939514181192878,0.3420327995609233,0.0029638976044521,0,0,1,0,0,0,0,0,0,0,0
26,Oschadbank,04/2019,0.0232558139534884,-0.0044444444444443,-0.0388516176315608,-0.070265018667411,-0.0232908620327646,-1.0517710037968466,-1.5672862168399857,-2.692518803968715,-0.0108719411062345,-21.856714820485653,0.3298600135985632,0.0006428899041153,0,0,0,0,1,0,0,0,0,0,0
27,OTP,04/2019,0.0232558139534884,-0.0044444444444443,0.035366410702095,-0.0550671965739028,-0.1746793935836184,-0.1746315741684347,-0.0295621629514151,-0.0162101970350367,0.0123913676003615,-0.076297093397108,0.1492383093955163,-6.950182074227929e-05,0,0,0,1,0,0,0,0,0,0,0
