,Bank,Date,INF,PR,CR,OE,ROA,NIA,NIM,RA,SCTA,CDR,LAS,is_Credit_Agricole,is_FUIB,is_Kredobank,is_OTP,is_Oschadbank,is_Pivdennyi,is_Privat_Bank,is_Raiffeisen,is_Sense,is_Ukrsibbank,is_Universal
55,Pivdennyi,06/2019,,-0.963475694444444,,,,,,-2.042823293332916e-05,0.0034530844153578,0.0031823045430286,0.002566913405001,0,0,0,0,0,1,0,0,0,0,0
56,FUIB,06/2019,,-0.963475694444444,,,,,,-0.0120475870397665,0.0009423795513648,0.0047023686367623,-0.0359098794547938,0,1,0,0,0,0,0,0,0,0,0
57,Ukrsibbank,06/2019,,-0.963475694444444,,,,,,-0.0023012666870686,0.0017990520187791,-0.0168471490253314,-0.0214343425425029,0,0,0,0,0,0,0,0,0,1,0
58,Credit_Agricole,06/2019,,-0.963475694444444,,,,,,-0.0021970313446631,0.0026859357522025,0.0038687662743985,-0.0058933164744854,1,0,0,0,0,0,0,0,0,0,0
59,Universal,06/2019,,-0.963475694444444,,,,,,-0.0006607000479258,-0.0019554966876881,-0.0042101911147957,-0.0226868479877721,0,0,0,0,0,0,0,0,0,0,1
60,OTP,06/2019,,-0.963475694444444,,,,,,0.0028083515975142,0.0011474489510898,0.0264239961744452,-0.0033618872576007,0,0,0,1,0,0,0,0,0,0,0
61,Raiffeisen,06/2019,,-0.963475694444444,,,,,,-0.0005228675363667,-0.0046492000283194,0.000826855504302,-0.0172689723366084,0,0,0,0,0,0,0,1,0,0,0
62,Privat_Bank,06/2019,,-0.963475694444444,,,,,,-0.0171116975101323,0.0069037290800181,0.0017160464728606,-0.0454271253506158,0,0,0,0,0,0,1,0,0,0,0
63,Oschadbank,06/2019,,-0.963475694444444,,,,,,-0.0002335678738832,-0.0015341922095791,-0.0040575653117756,-0.0338284132658117,0,0,0,0,1,0,0,0,0,0,0
64,Kredobank,06/2019,,-0.963475694444444,,,,,,-0.009542340022565,-0.005924990746447,-0.0208319683562998,0.0008827524259912,0,0,1,0,0,0,0,0,0,0,0
65,Sense,06/2019,,-0.963475694444444,,,,,,-0.0072112606898845,0.0005075957030721,-0.0025283776732685,-0.0072794321212964,0,0,0,0,0,0,0,0,1,0,0
66,Pivdennyi,07/2019,1.143958333333333,-0.6041562499999986,-0.0130336135193588,0.0002611567006938,-0.002029579152817,0.0025956633137935,5.970242954055669e-06,-0.000807752742693,0.0026204462821156,0.0091843172167947,0.0026479356677168,0,0,0,0,0,1,0,0,0,0,0
67,FUIB,07/2019,1.143958333333333,-0.6041562499999986,-0.0167322119728057,0.0001279673409018,-0.0003815591183367,0.0111457267230328,-0.0007587570426438,-0.0046046721695209,-0.0006663945085097,-0.024131442801853,-0.0076086561229826,0,1,0,0,0,0,0,0,0,0,0
68,Ukrsibbank,07/2019,1.143958333333333,-0.6041562499999986,0.0034972046499084,-0.0001044296580338,-5.120918921020835e-05,-0.0034432679308389,9.583649860895954e-05,0.0005655197995892,-0.0029369295322259,0.0110712990751183,-0.026248530168973,0,0,0,0,0,0,0,0,0,1,0
69,Credit_Agricole,07/2019,1.143958333333333,-0.6041562499999986,-0.0023009687396119,-0.0002712847880815,-0.0003120497088769,0.0169589695609863,-0.0001015170941398,-0.0003039691582353,-0.0002799865402572,-0.0352344454194205,0.0084055074348286,1,0,0,0,0,0,0,0,0,0,0
70,Universal,07/2019,1.143958333333333,-0.6041562499999986,0.0125523058181792,-0.0002203133706203,-0.0076044957920409,0.0544242231162232,-0.0002909185394845,-0.0009206093099601,0.0024137505906041,0.0049299842867443,0.0047049677418913,0,0,0,0,0,0,0,0,0,0,1
71,OTP,07/2019,1.143958333333333,-0.6041562499999986,-0.0076167393971717,-9.821665520814556e-05,-3.844244516035093e-05,-0.0007447951693329,-0.0001763241971657,-0.0007974128819651,-0.0003903597924281,-0.0159670855056904,-0.0126922533252073,0,0,0,1,0,0,0,0,0,0,0
72,Raiffeisen,07/2019,1.143958333333333,-0.6041562499999986,-0.006767828235112,-0.0004657433511707,0.0002476172179876,0.0023478804445838,-0.0003610977695889,0.0013759672721862,0.0006125321791802,0.0105884514745942,-0.0160753348554263,0,0,0,0,0,0,0,1,0,0,0
73,Privat_Bank,07/2019,1.143958333333333,-0.6041562499999986,-0.0022109954456176,-0.0001705880239859,-0.0004355390774597,-1.0196145876697165e-05,-0.0004100840032207,-0.0089136161386554,0.0036751702673689,-0.0139537082924493,0.00618499568168,0,0,0,0,0,0,1,0,0,0,0
74,Oschadbank,07/2019,1.143958333333333,-0.6041562499999986,-0.0085580516443198,-0.0001837569325462,-0.0059598996111644,-0.0050968882364949,-3.301217100278867e-05,-0.0031827802959863,-0.0022396266382348,-0.0095788455370188,-0.0068233518638978,0,0,0,0,1,0,0,0,0,0,0
75,Kredobank,07/2019,1.143958333333333,-0.6041562499999986,0.0048423795260469,8.565615757437318e-06,-0.0015801153635384,0.0011082567599783,-0.0003471282687505,-0.0015032927973207,0.0052439286600735,0.0319778086332902,-0.0337771791862634,0,0,1,0,0,0,0,0,0,0,0
76,Sense,07/2019,1.143958333333333,-0.6041562499999986,0.0058371930421248,0.0003515227782855,-0.0005132284758116,0.0587060407773374,5.49417025132736e-05,0.0137341628516794,0.0026221124297956,0.014886182322822,-0.0236875995377459,0,0,0,0,0,0,0,0,1,0,0
77,Pivdennyi,08/2019,1.5456250000000018,-0.0238090277777743,-0.0132962246423196,0.000122969774144,0.0012220444118725,0.0059861350292753,8.187772606384193e-05,-0.0009836462009031,0.001158600078736,0.0048994798745331,0.0063226677833577,0,0,0,0,0,1,0,0,0,0,0
78,FUIB,08/2019,1.5456250000000018,-0.0238090277777743,-0.0116809959047567,-3.881010066581151e-05,-2.869247917196261e-05,0.0022496242519621,-0.0004939712891663,-0.0061344025939627,0.0013407249755976,-0.0197260506829771,-0.0143951876865818,0,1,0,0,0,0,0,0,0,0,0
79,Ukrsibbank,08/2019,1.5456250000000018,-0.0238090277777743,0.0067288103516463,-6.896790003156552e-05,0.000403450763175,-0.0001340865063706,0.0001533584936898,-0.0029552669837851,-0.0015127372110015,0.018293221364998,-0.0348300147087922,0,0,0,0,0,0,0,0,0,1,0
80,Credit_Agricole,08/2019,1.5456250000000018,-0.0238090277777743,-0.0104919876798149,-2.9710256080960133e-05,0.0009921129773619,-0.0002436858993807,0.0004732684770958,0.002695455697214,0.0068025125163685,-0.0179650471246342,-0.0007428878330832,1,0,0,0,0,0,0,0,0,0,0
81,Universal,08/2019,1.5456250000000018,-0.0238090277777743,0.0114380342480176,0.0004725060393166,0.0001886818685473,0.0130493901605971,5.279074232481776e-05,-0.0050102933247685,0.0001208037582704,-0.0095683748239027,0.0083013107687413,0,0,0,0,0,0,0,0,0,0,1
82,OTP,08/2019,1.5456250000000018,-0.0238090277777743,1.802745294049056e-05,-0.000152564829283,-0.0002308936236374,-0.0023529809035836,-0.00029205103077,0.0015807331511206,0.0011286356603808,0.001420033043686,-0.0404081421311542,0,0,0,1,0,0,0,0,0,0,0
83,Raiffeisen,08/2019,1.5456250000000018,-0.0238090277777743,-0.0055041062990009,-1.0146813131359333e-05,-0.0009900075745534,-0.0012482977136373,-7.785141420087351e-05,0.000728942343911,0.0054650556571744,0.0098319763421254,-0.0349239279781911,0,0,0,0,0,0,0,1,0,0,0
84,Privat_Bank,08/2019,1.5456250000000018,-0.0238090277777743,-0.0024571987911572,0.000490931890721,-9.010675900862836e-06,-0.0020759155170075,-1.930908433464383e-05,-0.0078018588214863,0.0035099033617095,0.0091354586293164,-0.0325838544732736,0,0,0,0,0,0,1,0,0,0,0
85,Oschadbank,08/2019,1.5456250000000018,-0.0238090277777743,0.0016084428632917,0.0003810716626356,0.0009671829877218,0.0086230328715159,-5.814218188470014e-05,-0.0012684456761897,-0.001999202192203,0.001044488758935,-0.0310478881626264,0,0,0,0,1,0,0,0,0,0,0
86,Kredobank,08/2019,1.5456250000000018,-0.0238090277777743,0.0058519427140024,1.631383971955995e-06,2.5671089416462036e-05,-0.0041638511749132,-3.134155986527104e-05,-0.0031020089243825,-0.0010223540110091,0.0177972563238503,-0.0395577715130476,0,0,1,0,0,0,0,0,0,0,0
87,Sense,08/2019,1.5456250000000018,-0.0238090277777743,0.0001453604687443,0.0018190044497427,0.0025222399622388,0.0291822965127266,3.834703332460934e-06,0.0114957678553597,0.0015856237486922,0.0247470892744735,-0.0427192419290443,0,0,0,0,0,0,0,0,1,0,0
88,Pivdennyi,09/2019,0.9722916666666668,0.2657743055555567,-0.010474297301975,0.0002391183158807,0.0003403692266242,-0.006703004967414,-0.0001541038173969,0.0061532812831724,-0.0036485936417839,0.0074272229917374,0.0020673679601533,0,0,0,0,0,1,0,0,0,0,0
89,FUIB,09/2019,0.9722916666666668,0.2657743055555567,-0.0179483595659917,-0.0001917461522112,-0.0004501551518593,-0.0036111470724909,-0.0002775891132219,0.0012951548340668,0.0003145745787959,0.054569232198551,0.0125521746318671,0,1,0,0,0,0,0,0,0,0,0
90,Ukrsibbank,09/2019,0.9722916666666668,0.2657743055555567,0.0140289300066993,-0.0001536072031669,3.3977402414436683e-05,0.0313659250939604,-0.0002761175400171,0.005977145054098,-0.0029594736060548,0.0283274976156193,0.0104795271370209,0,0,0,0,0,0,0,0,0,1,0
91,Credit_Agricole,09/2019,0.9722916666666668,0.2657743055555567,-0.0057889046369566,0.0001420886698043,-1.2367921702979888e-05,-0.0009840824748041,0.0003219989969888,-0.0009541299542717,-0.0006054485017663,-0.0063618956919001,-0.0026129523734186,1,0,0,0,0,0,0,0,0,0,0
92,Universal,09/2019,0.9722916666666668,0.2657743055555567,0.0062198280841279,0.0003951003873275,-0.0026686306452356,-0.0114845604946893,7.083298348241573e-05,-0.0035240122360035,-2.9094777232009563e-05,0.0099349842718188,0.0041819293366267,0,0,0,0,0,0,0,0,0,0,1
93,OTP,09/2019,0.9722916666666668,0.2657743055555567,0.0104645828513173,-0.0002991589438979,-0.0001301992737103,0.0019974258499481,-6.392301128976631e-05,0.0033722895949882,-0.002391742212027,0.0245798260126476,-0.0140034220027501,0,0,0,1,0,0,0,0,0,0,0
94,Raiffeisen,09/2019,0.9722916666666668,0.2657743055555567,-0.0052249131999211,-0.0008592966868249,0.0010664841263583,0.001968167723042,-1.646600881228017e-05,-0.0005447545840221,-0.0028735108968583,0.0099497244149597,-0.0005333963655594,0,0,0,0,0,0,0,1,0,0,0
95,Privat_Bank,09/2019,0.9722916666666668,0.2657743055555567,-0.0027112053847135,-0.0001449107346154,-0.0001429540905055,-0.0004790914889257,-0.0001271944608136,0.0033877058017307,-0.0048945606652904,-0.0117371159759808,0.0056405068005658,0,0,0,0,0,0,1,0,0,0,0
96,Oschadbank,09/2019,0.9722916666666668,0.2657743055555567,0.0037508769841836,-0.0009550682053011,0.0013829584121644,-0.0131784886719317,0.0003381445168899,0.0034074788967161,-0.0036944784831077,-0.0196502774834981,0.0004095716134515,0,0,0,0,1,0,0,0,0,0,0
97,Kredobank,09/2019,0.9722916666666668,0.2657743055555567,0.0012512506774296,-0.0001915998604381,-0.0001533068053588,-0.0031137993155241,8.988064971726488e-05,0.0013302496135733,0.0004787821829133,-0.0075857434637426,-0.0033894978622614,0,0,1,0,0,0,0,0,0,0,0
98,Sense,09/2019,0.9722916666666668,0.2657743055555567,-0.0976231011584335,-0.0004719188840888,-0.0011999829897847,-0.0821267508023792,4.189112264102614e-05,0.009929854462544,-0.0023625480417013,0.0218530390645187,0.0142670540792734,0,0,0,0,0,0,0,0,1,0,0
99,Pivdennyi,10/2019,-0.0725000000000007,0.8625798611111113,0.0134872055270539,-0.0001195292223435,-0.0036087770797715,-0.0016978182233524,-0.0001400628433812,-0.0010455693359355,0.0010641922494907,0.007384273290435,-0.0160196553673393,0,0,0,0,0,1,0,0,0,0,0
100,FUIB,10/2019,-0.0725000000000007,0.8625798611111113,-0.004401059564477,-8.152269366711257e-05,0.0001570846393069,-0.0018223123430831,-4.189969809913948e-05,-0.000304879155829,-0.0005988566434329,0.0520119507745474,-0.0158801200742621,0,1,0,0,0,0,0,0,0,0,0
101,Ukrsibbank,10/2019,-0.0725000000000007,0.8625798611111113,0.0170863421690077,0.000124700386522,0.0005759937107294,-0.0067668798227234,0.0004604815268029,0.0052251588686809,-0.0027048490527383,0.0269475520778462,-0.0083574506150719,0,0,0,0,0,0,0,0,0,1,0
102,Credit_Agricole,10/2019,-0.0725000000000007,0.8625798611111113,-0.0025574618452206,0.0001843052425717,-1.0247958127708776e-05,-0.0031686646754251,-0.0002066676212176,0.0016975537003733,0.0034198080851391,-0.0018994987822141,0.0035752520108403,1,0,0,0,0,0,0,0,0,0,0
103,Universal,10/2019,-0.0725000000000007,0.8625798611111113,-0.0029920859239887,-6.640563511384776e-05,0.0025001500898662,-0.0035515969443103,5.415719673052791e-05,-0.0033872393581173,0.0019615866217456,0.0037074500994033,0.0120895092585795,0,0,0,0,0,0,0,0,0,0,1
104,OTP,10/2019,-0.0725000000000007,0.8625798611111113,-0.0043004066018145,-5.274454064130826e-05,0.0005351247720836,-6.810895710753287e-06,0.0002966865440909,-0.0009086638650541,0.0008533215092597,0.022089361356351,-0.0026762749148234,0,0,0,1,0,0,0,0,0,0,0
105,Raiffeisen,10/2019,-0.0725000000000007,0.8625798611111113,0.0001625804617202,0.0003015192165504,-0.0006432383630054,0.0017425931373295,-0.0003633746093614,-0.0042262029160635,0.0037774718018357,-0.0256533188821209,0.0026558131764855,0,0,0,0,0,0,0,1,0,0,0
