,Bank,Date,INF,PR,CDR,CR,LAS,NIA,NIM,OE,RA,ROA,SCTA,is_Credit_Agricole,is_FUIB,is_Kredobank,is_OTP,is_Oschadbank,is_Pivdennyi,is_Privat_Bank,is_Raiffeisen,is_Sense,is_Ukrsibbank,is_Universal
29,Raiffeisen,04/2019,,0.3429166666666638,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0
30,Sense,04/2019,,0.3429166666666638,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0
31,Ukrsibbank,04/2019,,0.3429166666666638,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0
32,Universal,04/2019,,0.3429166666666638,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1
33,Privat_Bank,05/2019,,0.0991666666666652,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0
34,Credit_Agricole,05/2019,,0.0991666666666652,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
35,FUIB,05/2019,,0.0991666666666652,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0
36,Kredobank,05/2019,,0.0991666666666652,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0
37,Oschadbank,05/2019,,0.0991666666666652,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0
38,OTP,05/2019,,0.0991666666666652,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0
39,Pivdennyi,05/2019,,0.0991666666666652,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0
40,Raiffeisen,05/2019,,0.0991666666666652,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0
41,Sense,05/2019,,0.0991666666666652,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0
42,Ukrsibbank,05/2019,,0.0991666666666652,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0
43,Universal,05/2019,,0.0991666666666652,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1
44,Privat_Bank,06/2019,,0.3587500000000005,0.0013147750475916,,-0.004424181390577,,,,-0.0046833501151397,,0.0044158853000442,0,0,0,0,0,0,1,0,0,0,0
45,Credit_Agricole,06/2019,,0.3587500000000005,-0.0290290350726313,,-0.025855867620943,,,,-0.0141116776811883,,0.0008516418546037,1,0,0,0,0,0,0,0,0,0,0
46,FUIB,06/2019,,0.3587500000000005,-0.0202436812712379,,-0.0119914325186038,,,,-0.0023329480060934,,-2.4337266490044585e-05,0,1,0,0,0,0,0,0,0,0,0
47,Kredobank,06/2019,,0.3587500000000005,0.0163545128320122,,0.0033032140158188,,,,-0.0009749406274016,,0.0016673597635115,0,0,1,0,0,0,0,0,0,0,0
48,Oschadbank,06/2019,,0.3587500000000005,-0.0034458689477245,,-0.0282332144362947,,,,-0.002472026939706,,-0.00360085162392,0,0,0,0,1,0,0,0,0,0,0
49,OTP,06/2019,,0.3587500000000005,0.0238424379406856,,-0.0206235221509392,,,,0.0023894274614846,,0.0027180850568036,0,0,0,1,0,0,0,0,0,0,0
50,Pivdennyi,06/2019,,0.3587500000000005,0.0242228724643399,,-0.0315783737912941,,,,0.0013481138073882,,-0.003996583840548,0,0,0,0,0,1,0,0,0,0,0
51,Raiffeisen,06/2019,,0.3587500000000005,-0.008533191353039,,-0.0413103046319779,,,,-0.0197938549804322,,0.0106501383447226,0,0,0,0,0,0,0,1,0,0,0
52,Sense,06/2019,,0.3587500000000005,-0.0170788865640187,,-0.0335446497847403,,,,-0.0005949527662722,,-0.0037564965976297,0,0,0,0,0,0,0,0,1,0,0
53,Ukrsibbank,06/2019,,0.3587500000000005,-0.0512721513387509,,0.01821367761815,,,,-0.0142198406811092,,-0.0094156137628267,0,0,0,0,0,0,0,0,0,1,0
54,Universal,06/2019,,0.3587500000000005,-0.0020755097621667,,-0.0098304718613368,,,,-0.0092192853112529,,0.0012029885574933,0,0,0,0,0,0,0,0,0,0,1
55,Privat_Bank,07/2019,1.4249999999999998,0.495000000000001,0.0079538425672356,-0.0139905601331554,-0.0059794492254603,-0.0038895912330122,1.5981339166704252e-05,-0.0003062978347987,-0.0017063430435555,-0.0010876075677197,0.0010202814341165,0,0,0,0,0,0,1,0,0,0,0
56,Credit_Agricole,07/2019,1.4249999999999998,0.495000000000001,-0.0409467037491344,-0.0166553702012152,-0.0131654458753548,0.011925073418491,-0.0005947432768812,0.000131821611217,-0.0062521960989342,0.00030147543031,-0.000272295902977,1,0,0,0,0,0,0,0,0,0,0
57,FUIB,07/2019,1.4249999999999998,0.495000000000001,-0.0145623184711968,0.0019334153043871,-0.0099547912185488,-0.0055270366465291,0.0007569635678264,-0.0002837616025925,-0.003865726302627,0.0004107273200828,-0.0049777950167887,0,1,0,0,0,0,0,0,0,0,0
58,Kredobank,07/2019,1.4249999999999998,0.495000000000001,-0.0272285755482888,0.0076621274522403,-0.0116333352224065,0.0178479641714812,0.000199606984508,-0.0002185374896206,0.0009972790671203,0.0003302260561764,0.00143539056382,0,0,1,0,0,0,0,0,0,0,0
59,Oschadbank,07/2019,1.4249999999999998,0.495000000000001,0.0057497884966488,0.0197746019180572,0.0040991448019864,0.0627544182103037,-3.1692909392790937e-06,-0.0001438972600436,0.0005615770280789,-0.0022627604205683,0.0006609335278229,0,0,0,0,1,0,0,0,0,0,0
60,OTP,07/2019,1.4249999999999998,0.495000000000001,-0.0290574698212148,-0.0058979532556864,-0.0275603882378796,-0.0030449242143261,9.817109798138796e-05,-0.000198925661808,-0.0023864295810698,0.000575742271431,-0.000341906243955,0,0,0,1,0,0,0,0,0,0,0
61,Pivdennyi,07/2019,1.4249999999999998,0.495000000000001,0.0355048756586392,-0.0029195797843601,-0.035127542465821,0.0045638127180947,0.0001622554944485,-0.0006764133923458,0.0028159517671471,0.0011154607447971,0.0034189548012273,0,0,0,0,0,1,0,0,0,0,0
62,Raiffeisen,07/2019,1.4249999999999998,0.495000000000001,-0.0275591467574338,-0.0004128048227823,0.0193687775650945,0.0001908302086868,-0.0001790344081498,-0.0003540660744516,-0.0091527521287138,0.0002321053403649,9.648365884330767e-05,0,0,0,0,0,0,0,1,0,0,0
63,Sense,07/2019,1.4249999999999998,0.495000000000001,-0.0215824107315796,0.018052999643545,-0.0063879375659036,-0.0177128087233377,-2.8594438407271265e-05,-0.000862392320883,-0.0002261925546572,0.0008609944411151,-0.0039541372502077,0,0,0,0,0,0,0,0,1,0,0
64,Ukrsibbank,07/2019,1.4249999999999998,0.495000000000001,0.0143381264832718,0.0055954853741827,-0.0343051008339061,-0.0119147883162265,-0.0001122808122615,-0.0005632654387558,-0.0058816837542758,-0.00060186041009,0.0032657703483478,0,0,0,0,0,0,0,0,0,1,0
65,Universal,07/2019,1.4249999999999998,0.495000000000001,0.0130453105753249,0.0170587910660715,-0.0224207501878684,0.0880099108477815,0.0002204816423455,6.427765662454614e-05,0.015029267356893,0.0013400187651796,0.0025400776073187,0,0,0,0,0,0,0,0,0,0,1
66,Privat_Bank,08/2019,1.6416666666666675,0.6875000000000036,0.0078726123411172,-0.0158738672017208,-0.0109883234957405,0.001329474492544,3.731697456637109e-05,-0.0002038833250908,0.0020705492788645,0.0032946927094732,0.0004689752378022,0,0,0,0,0,0,1,0,0,0,0
67,Credit_Agricole,08/2019,1.6416666666666675,0.6875000000000036,-0.0167823562802812,-0.0077224503664808,-0.0294839168800317,0.0012872277127513,-0.0005422780901933,-0.0001952299579606,-0.0047123368449726,0.0001617712390139,0.0014565023074051,1,0,0,0,0,0,0,0,0,0,0
68,FUIB,08/2019,1.6416666666666675,0.6875000000000036,0.0292514077639061,0.0063766212645771,-0.0596019333441812,-0.0013897504895285,-3.030953529836039e-06,-0.0006424118221571,-0.0019117729435415,-0.0002092395720739,-0.0009878322345356,0,1,0,0,0,0,0,0,0,0,0
69,Kredobank,08/2019,1.6416666666666675,0.6875000000000036,-0.0033053402054966,-0.0033691600920454,-0.0164872685613091,-0.0063829585787712,0.0003435503649642,-0.0001169507422284,0.0025198136866247,0.0007203669364005,0.0045180919194987,0,0,1,0,0,0,0,0,0,0,0
70,Oschadbank,08/2019,1.6416666666666675,0.6875000000000036,-0.0008314491633457,0.01797014754229,-0.0075326155403795,0.0102653889413012,-0.000140604073427,-4.801743684802436e-05,-1.040107655833622e-05,0.0027093174103438,0.0004009033456281,0,0,0,0,1,0,0,0,0,0,0
71,OTP,08/2019,1.6416666666666675,0.6875000000000036,-0.0007217149899029,0.0023355231017787,-0.0592117495980174,-0.0013570120042563,-0.0004007259481249,-0.0002433367587826,0.0022909101206117,-0.0003790321404271,0.0010340261812877,0,0,0,1,0,0,0,0,0,0,0
72,Pivdennyi,08/2019,1.6416666666666675,0.6875000000000036,0.0486715825080978,-0.0039909517031474,-0.0757849998446577,-0.0008812884402742,-8.104963341088725e-05,-0.0002642483150394,0.0026947998986874,-0.0004670825137617,0.0028299836069667,0,0,0,0,0,1,0,0,0,0,0
73,Raiffeisen,08/2019,1.6416666666666675,0.6875000000000036,0.01191268837924,-0.0002039196691805,-0.0398453256451069,-0.0008757729088918,0.0001406746748476,0.0002214969140077,-0.003096935798719,0.0003192747438169,-0.0001198604036465,0,0,0,0,0,0,0,1,0,0,0
74,Sense,08/2019,1.6416666666666675,0.6875000000000036,-0.0179915098538326,-0.0014517766638277,-0.035391723920361,0.0030074723650856,-9.015352129739928e-05,-0.0001817029255503,-0.0002994219445481,-0.00045488019548,-0.0041994763930847,0,0,0,0,0,0,0,0,1,0,0
75,Ukrsibbank,08/2019,1.6416666666666675,0.6875000000000036,0.0132697932870242,0.0030067196007228,-0.0438157813250358,-0.021005706369744,4.526546784394247e-05,-0.0008393992067729,-0.0029965723619189,-0.0003182222154156,-0.0004308386798906,0,0,0,0,0,0,0,0,0,1,0
76,Universal,08/2019,1.6416666666666675,0.6875000000000036,0.0328165379146584,0.0070339392859412,-0.0573118679063669,0.0051317178548169,0.0004544573995486,0.000749609675172,0.0155923422794007,0.000923922282373,-0.0002379304120968,0,0,0,0,0,0,0,0,0,0,1
77,Privat_Bank,10/2019,0.4124999999999996,1.232916666666668,0.0053975057755155,0.0038375147860329,-0.0115786304489179,-0.0077736705957264,-2.7207186388725213e-05,-0.000253452963308,-0.0008603333368672,-0.0047897359998935,-0.0014439636609143,0,0,0,0,0,0,1,0,0,0,0
78,Credit_Agricole,10/2019,0.4124999999999996,1.232916666666668,0.0758322685152059,0.0045114113884019,-0.0136555852149294,-0.0033735903629742,0.00018787197493,-0.0001812555302947,0.0007409588819006,0.0004400432021302,-0.0014414180962632,1,0,0,0,0,0,0,0,0,0,0
79,FUIB,10/2019,0.4124999999999996,1.232916666666668,0.0231774940590838,0.0193409123739739,-0.0164602211211934,-0.009844090236431,0.0004932673838798,0.0001154444393527,0.0033883599652713,0.0003635097643679,-0.0003484102373318,0,1,0,0,0,0,0,0,0,0,0
80,Kredobank,10/2019,0.4124999999999996,1.232916666666668,0.0156966669867386,-0.0089845844224002,0.0042004562076432,-0.0065932650391121,-4.8316356621924336e-05,0.0001658675962642,0.0008189410278644,0.0001128345742003,0.0029244710425788,0,0,1,0,0,0,0,0,0,0,0
81,Oschadbank,10/2019,0.4124999999999996,1.232916666666668,0.0232572432431029,-0.0036897861784011,0.0109557776584082,-0.0003796208537454,9.99062291847791e-05,0.0002315043680114,0.0010224151826207,0.0006505180215221,0.0018257992761622,0,0,0,0,1,0,0,0,0,0,0
82,OTP,10/2019,0.4124999999999996,1.232916666666668,0.0366023826404293,-0.0015480086192388,-0.0067051873109738,0.0014515619766033,0.0004649997075636,-7.610918694939172e-05,0.0012933402122868,0.0007717041043315,-0.0004760466740625,0,0,0,1,0,0,0,0,0,0,0
83,Pivdennyi,10/2019,0.4124999999999996,1.232916666666668,0.0258783084137662,0.0080679277855912,-0.0348379909416912,0.0026322380075175,-0.000376104498485,0.0001959460037972,-0.0020145504363712,-0.0012594455084762,0.000667238738171,0,0,0,0,0,1,0,0,0,0,0
84,Raiffeisen,10/2019,0.4124999999999996,1.232916666666668,-0.0110655883339877,7.549240950976976e-05,-0.0002942572386566,-0.0002375490490621,0.0004029169016489,0.0007261806623242,0.0018676978602045,0.0009215708559903,-0.0016705608021712,0,0,0,0,0,0,0,1,0,0,0
85,Sense,10/2019,0.4124999999999996,1.232916666666668,0.0298443807011439,-0.0075022195225464,-0.0184130793307806,0.0292391863426494,0.0005565128813957,0.000714033989898,-0.0018339130738961,0.0019461508004514,0.0005131055417692,0,0,0,0,0,0,0,0,1,0,0
86,Ukrsibbank,10/2019,0.4124999999999996,1.232916666666668,0.0148688327704696,0.0019324215437384,0.00185975572644,-0.0197834845517454,-4.4250491095042255e-05,-0.000523745062132,0.0034560770221641,5.735201667731588e-05,0.0018593547737382,0,0,0,0,0,0,0,0,0,1,0
87,Universal,10/2019,0.4124999999999996,1.232916666666668,0.0297785620916966,0.0543261958032675,-0.0064858031158929,-0.046221408614547,0.0008399389180778,-0.0006005993256553,0.0123911804654083,-0.0001317896994498,-7.196600868354663e-05,0,0,0,0,0,0,0,0,0,0,1
88,Privat_Bank,11/2019,-0.3791666666666673,1.208333333333332,0.0063124346385382,0.0105318863410663,-0.0170869340960717,0.0611785254144876,-5.245697258908673e-06,-0.0001934542891002,0.0033838789250526,0.0009993436978541,-0.0030923768179632,0,0,0,0,0,0,1,0,0,0,0
89,Credit_Agricole,11/2019,-0.3791666666666673,1.208333333333332,0.0485146872842278,0.0015400820550338,-0.0371384673086709,-0.0055213268876806,-9.010342701118706e-05,-0.0001788260467565,0.0062537045232667,-0.0002752998211086,-0.0020117739100565,1,0,0,0,0,0,0,0,0,0,0
90,FUIB,11/2019,-0.3791666666666673,1.208333333333332,0.0671698661813587,0.0220994836865071,-0.0037505039052079,-0.0086192026586553,0.000212804966693,0.0002157203962118,0.0111994466659424,-2.1145799663547377e-05,-0.0007456886712793,0,1,0,0,0,0,0,0,0,0,0
91,Kredobank,11/2019,-0.3791666666666673,1.208333333333332,0.0259213240831003,-0.0103677004594987,-0.0214322011662169,-0.0028703294089451,-5.637039937644948e-05,0.000347141554743,0.0048862489284259,-0.0003704108228893,0.0033059807454965,0,0,1,0,0,0,0,0,0,0,0
92,Oschadbank,11/2019,-0.3791666666666673,1.208333333333332,0.0246153104521706,-0.0005844178836935,-0.0003225562674211,0.0339783646942916,-4.85133735019501e-05,0.0002638998638791,0.0021460272860493,-0.0031234211982423,-0.0015420453611745,0,0,0,0,1,0,0,0,0,0,0
93,OTP,11/2019,-0.3791666666666673,1.208333333333332,0.0687213565735535,-0.004785152251551,-0.0301439831040223,0.0085302909613497,7.959273203202513e-05,0.0002246891338395,0.0038979071965882,-1.640771615936225e-05,0.0005091009716102,0,0,0,1,0,0,0,0,0,0,0
94,Pivdennyi,11/2019,-0.3791666666666673,1.208333333333332,0.0277652349012836,0.0063630603356896,0.0118323509764723,-0.0008938441143522,-0.0004390570359119,-0.0003260235560331,0.004508042756594,-0.0012683628829124,-0.0148747021521261,0,0,0,0,0,1,0,0,0,0,0
95,Raiffeisen,11/2019,-0.3791666666666673,1.208333333333332,0.0352867372132243,-0.0018403703840008,-0.0062397052643098,0.0015644811626777,8.999880411453016e-05,0.0003269478593082,0.0048629170106558,0.0003800783534446,-0.0121628983854823,0,0,0,0,0,0,0,1,0,0,0
96,Sense,11/2019,-0.3791666666666673,1.208333333333332,0.0635813318146568,-0.006852786011909,-9.078222496070044e-05,-0.0128722260363168,-0.0005226706466044,0.0003691832824498,-0.0008486299065928,-0.0030199332081893,-0.0015631561844436,0,0,0,0,0,0,0,0,1,0,0
97,Ukrsibbank,11/2019,-0.3791666666666673,1.208333333333332,0.0334727656313936,0.0010264135160684,-0.0320769610999264,-0.0128926882935725,-4.0688397997228586e-05,-0.0001000093649814,0.0058132223884211,-0.0006988296492573,-0.0012669902310782,0,0,0,0,0,0,0,0,0,1,0
98,Universal,11/2019,-0.3791666666666673,1.208333333333332,0.0099559359415348,0.0089236061550599,0.0302889595756417,-0.0180054717014371,0.0005690451403456,-0.0012656312099981,0.0045622968115237,0.0013846451593669,-0.0065109011438397,0,0,0,0,0,0,0,0,0,0,1
99,Privat_Bank,12/2019,-0.7749999999999995,0.8229166666666661,0.0054617466821453,0.0138282001789687,-0.0004782539351202,0.0236532869539161,1.932848721535388e-05,0.002339088313035,0.0037437881751976,-0.0021628701445452,0.0023753322770071,0,0,0,0,0,0,1,0,0,0,0
100,Credit_Agricole,12/2019,-0.7749999999999995,0.8229166666666661,0.046964584985518,-0.0203808758369258,-0.024299530345476,-0.0057486984508013,0.002943101391588,-3.830062532472018e-05,0.0136778538195186,0.0002054607218023,-9.558640395482264e-05,1,0,0,0,0,0,0,0,0,0,0
101,FUIB,12/2019,-0.7749999999999995,0.8229166666666661,0.0448005884828506,-0.0238525837143536,0.0127155618267415,-0.0029161438391114,-0.0015364963255893,0.0031427852685597,0.0080008830894354,-0.0003951578310489,0.0126019563092805,0,1,0,0,0,0,0,0,0,0,0
102,Kredobank,12/2019,-0.7749999999999995,0.8229166666666661,0.0190576194888929,-0.0036579514045833,0.006322669689178,0.0298238267661964,0.0003207332493905,0.0017770116808328,-0.001439396068873,0.0011426413610575,-0.0067439252588863,0,0,1,0,0,0,0,0,0,0,0
103,Oschadbank,12/2019,-0.7749999999999995,0.8229166666666661,-0.0388265819095887,-0.0101594636870401,0.0052588064230887,-0.0034928147283662,-8.335223801507496e-05,0.0008088972955038,-0.0052996596556641,0.0007143091071935,0.0012537987831971,0,0,0,0,1,0,0,0,0,0,0
104,OTP,12/2019,-0.7749999999999995,0.8229166666666661,-0.00837410657487,-0.0138887448521352,0.0524940190175471,0.0025285696002212,0.0007255591335429,0.0015523643537086,3.569231311068011e-05,0.0014290726464706,-0.0029804145629469,0,0,0,1,0,0,0,0,0,0,0
105,Pivdennyi,12/2019,-0.7749999999999995,0.8229166666666661,-0.1099674771477716,0.001326199504569,0.1256675104338964,-0.0015082940950641,0.0003975207560808,0.0032641269073212,-0.0012756765444924,0.0007722145546462,-0.0041126888228993,0,0,0,0,0,1,0,0,0,0,0
106,Raiffeisen,12/2019,-0.7749999999999995,0.8229166666666661,0.0331025799001972,-0.0016950807546741,-0.0177436347071468,0.0006807658692658,0.0005233259386509,0.000732367020471,-0.0053495639500238,0.0005327168287404,0.0059402463538209,0,0,0,0,0,0,0,1,0,0,0
107,Sense,12/2019,-0.7749999999999995,0.8229166666666661,0.0387343450034143,-0.0107833321778557,0.0416879052516125,0.0476274381366031,-0.0018649819728738,0.0047592138611405,0.0067266783375715,0.000924787253018,0.008451878724722,0,0,0,0,0,0,0,0,1,0,0
108,Ukrsibbank,12/2019,-0.7749999999999995,0.8229166666666661,-0.0008161757641729,-0.0004140633644636,0.0749758239448195,0.0023015544515804,0.0002277198828437,0.0038419687904679,0.0045095400595288,0.0026027946149306,-0.0050804114903361,0,0,0,0,0,0,0,0,0,1,0
109,Universal,12/2019,-0.7749999999999995,0.8229166666666661,-0.0001822133342255,-0.0017123462584815,0.0326128710390176,-0.0172315691995877,0.0004328061561065,0.0012293923294255,-0.0051663475148743,0.0036582049844594,-0.0025467445049563,0,0,0,0,0,0,0,0,0,0,1
110,Privat_Bank,01/2020,-1.120833333333333,0.8920833333333338,0.007361314983462,0.0143270364297615,-0.0062854876296185,-0.013216969463566,0.0001520760190857,-0.0006997727647061,0.010518281044507,0.0006778819592625,-0.0020957528090149,0,0,0,0,0,0,1,0,0,0,0
111,Credit_Agricole,01/2020,-1.120833333333333,0.8920833333333338,-0.0255502190587092,-0.015799583518627,0.0833417935202074,-0.0011672602360936,0.000725712941596,0.0005420571371912,0.0065926837760463,0.0007993082492212,-0.0015942160774956,1,0,0,0,0,0,0,0,0,0,0
112,FUIB,01/2020,-1.120833333333333,0.8920833333333338,-8.473111684625945e-05,-0.0189284063481735,0.0193861853912935,0.0279967088728515,0.0011231407682579,-6.534376763705791e-05,0.0114809137893414,0.0016413577564954,-0.0015777597186976,0,1,0,0,0,0,0,0,0,0,0
113,Kredobank,01/2020,-1.120833333333333,0.8920833333333338,-0.0052685611397705,-0.0014128226417646,-0.0092906339467682,-0.0074352097297714,0.0001629757103934,-0.0010149647149721,0.0035358699311767,0.0001032173722663,-0.000960196539278,0,0,1,0,0,0,0,0,0,0,0
114,Oschadbank,01/2020,-1.120833333333333,0.8920833333333338,-0.06240427589743,-0.0076097569591938,-0.0349004298832038,-0.0058623063658646,-3.946678744859997e-05,-0.0004810351667445,-0.0093810368401705,0.0017225415963727,-0.0042492047547896,0,0,0,0,1,0,0,0,0,0,0
115,OTP,01/2020,-1.120833333333333,0.8920833333333338,-0.0366739080970969,-0.0061103054347698,0.0742346769499103,-0.0021181962472327,0.0001041393386282,-0.0004089165429962,-2.671830106526496e-05,-0.0005593323456475,-0.0027660740712272,0,0,0,1,0,0,0,0,0,0,0
116,Pivdennyi,01/2020,-1.120833333333333,0.8920833333333338,-0.122517652856426,-0.002479934153643,0.1193157541586336,-0.0010221795474273,-0.0002788097728672,-0.0010747765198371,-0.0016487414180636,-0.0017157936885289,-0.0121065427327244,0,0,0,0,0,1,0,0,0,0,0
117,Raiffeisen,01/2020,-1.120833333333333,0.8920833333333338,-0.0131132268134466,0.0008721488028742,0.0472003477810066,-0.0028793425524372,-0.0001736765690311,-0.0006979634299113,0.0065395178985695,-0.000636095989607,-0.0060914487210188,0,0,0,0,0,0,0,1,0,0,0
118,Sense,01/2020,-1.120833333333333,0.8920833333333338,0.0207559253646392,0.0051871806159163,0.0480822939570073,-0.0091356789496282,0.0003489531658011,-0.0008856070038662,0.0025916314627275,0.0003376026220529,-0.0028462365462714,0,0,0,0,0,0,0,0,1,0,0
119,Ukrsibbank,01/2020,-1.120833333333333,0.8920833333333338,-0.0377491980479206,0.0033341493239227,0.0295973657868666,-0.0066329552803227,0.0004546537819928,-5.717307811684523e-05,0.0052891146609123,0.0003467775828223,-0.0025074623244278,0,0,0,0,0,0,0,0,0,1,0
120,Universal,01/2020,-1.120833333333333,0.8920833333333338,7.710358115797789e-05,0.009753810244116,0.0239679675707427,-0.0314509594676986,0.0009360590303995,0.0008307179190806,-0.0058022261821978,-0.000834592221161,-0.0025771554925396,0,0,0,0,0,0,0,0,0,0,1
121,Privat_Bank,02/2020,-1.3791666666666669,-0.5991666666666671,0.0111098805477427,0.0081229633290965,0.0011756513268129,-0.0114447119770917,-0.0001633282484421,-1.891183122371652e-05,0.0207792786334712,0.0056464072824536,-0.0016701071698026,0,0,0,0,0,0,1,0,0,0,0
122,Credit_Agricole,02/2020,-1.3791666666666669,-0.5991666666666671,-0.053661171663034,-0.014424742344514,0.091104076928503,-0.0057031809038621,-0.000136900667756,0.0002063750971747,0.0024675853235779,-0.0002773329581674,-0.0015776129839588,1,0,0,0,0,0,0,0,0,0,0
123,FUIB,02/2020,-1.3791666666666669,-0.5991666666666671,-0.009001878610386,-0.0146163800288323,0.0238131237698729,-0.0052706533482738,0.0004780750421525,-0.0001520826350177,0.0133200316246308,0.0004191844665709,6.808957764232321e-05,0,1,0,0,0,0,0,0,0,0,0
124,Kredobank,02/2020,-1.3791666666666669,-0.5991666666666671,-0.0041518162563272,-0.0001710655080362,-0.0018737250711619,0.0002990325211066,-0.0002879781676958,-0.00049249079925,0.0038220372185636,-0.0005572504196658,0.0034302272454868,0,0,1,0,0,0,0,0,0,0,0
125,Oschadbank,02/2020,-1.3791666666666669,-0.5991666666666671,-0.0301301163887188,-0.0069148353055629,-0.0215437363195189,-0.0023853769670302,-0.0005299062321043,-0.000556165460012,-0.0058485409251524,-0.0011114576415376,-0.0041114783933364,0,0,0,0,1,0,0,0,0,0,0
126,OTP,02/2020,-1.3791666666666669,-0.5991666666666671,-0.0543885419495854,-0.008314481655053,0.1127850322823665,6.579058056683032e-05,-0.0001382720147119,-9.823967451014604e-05,-0.0036917375256636,-0.0004092207475615,-0.0067542490233389,0,0,0,1,0,0,0,0,0,0,0
127,Pivdennyi,02/2020,-1.3791666666666669,-0.5991666666666671,-0.1018526573814551,-0.0007428148290154,0.085386670819701,0.0024606615034401,-0.0002327399538113,0.0001499034040262,-0.0004802207921092,-0.0012026924684065,-0.0132907624103799,0,0,0,0,0,1,0,0,0,0,0
