Year,INF
01/2019,
02/2019,
04/2019,
05/2019,
06/2019,
07/2019,1.4249999999999998
08/2019,1.6416666666666675
10/2019,0.4124999999999996
11/2019,-0.3791666666666673
12/2019,-0.7749999999999995
01/2020,-1.120833333333333
02/2020,-1.3791666666666669
03/2020,-1.0
04/2020,-0.8208333333333333
05/2020,-1.0041666666666662
06/2020,-0.2874999999999996
07/2020,-0.4458333333333324
09/2020,-1.3499999999999996
10/2020,-1.5708333333333333
11/2020,-0.958333333333333
01/2021,0.0999999999999996
02/2021,0.854166666666667
03/2021,1.1708333333333334
04/2021,0.3625000000000007
05/2021,0.8458333333333332
07/2021,0.6958333333333329
08/2021,0.4000000000000003
09/2021,0.8500000000000014
10/2021,0.2000000000000028
11/2021,-1.0874999999999986
01/2022,-3.2416666666666654
02/2022,-3.6083333333333343
05/2022,0.0083333333333328
06/2022,2.1416666666666693
07/2022,1.4833333333333378
08/2022,1.8249999999999995
09/2022,1.7166666666666686
10/2022,3.337500000000002
11/2022,3.2875000000000014
12/2022,3.862500000000004
01/2023,4.079166666666669
02/2023,4.06666666666667
03/2023,1.8291666666666693
04/2023,0.0458333333333307
05/2023,-0.7749999999999986
06/2023,-1.4875000000000007
07/2023,-1.2041666666666675
08/2023,-2.158333333333335
10/2023,
01/2024,
02/2024,
